LastName,Percentage
Kazlauskas,0.277945%
Jankauskas,0.254783%
Urbonas,0.222356%
Uab,0.208459%
Pocius,0.203826%
Ramanauskas,0.199194%
Stankevicius,0.199194%
Kavaliauskas,0.199194%
Petrauskas,0.199194%
Vasiliauskas,0.171399%
Balciunas,0.171399%
Rimkus,0.162135%
Vysniauskas,0.162135%
Petkevicius,0.162135%
Zukauskas,0.157502%
Simkus,0.152870%
Malinauskas,0.148237%
Markevicius,0.148237%
Kairys,0.148237%
Sakalauskas,0.143605%
Butkus,0.134340%
Kucinskas,0.125075%
Stankus,0.120443%
Cerniauskas,0.120443%
Navickas,0.115810%
Zilinskas,0.115810%
Baranauskas,0.115810%
Paulauskas,0.115810%
Grigaliunas,0.111178%
Jonaitis,0.111178%
Laurinavicius,0.111178%
Petraitis,0.111178%
Rutkauskas,0.106546%
Mockus,0.106546%
Bernotas,0.101913%
Lukosevicius,0.101913%
Gricius,0.097281%
Adomaitis,0.097281%
Vaiciulis,0.097281%
Butkevicius,0.097281%
Bagdonas,0.097281%
Kubilius,0.092648%
Lapinskas,0.092648%
Savickas,0.088016%
Sabaliauskas,0.088016%
Maciulis,0.088016%
Mikalauskas,0.088016%
Vaitkevicius,0.088016%
Vaitkus,0.088016%
Vosylius,0.088016%
Toleikis,0.083384%
Mazeika,0.083384%
Urbonavicius,0.078751%
Tamosiunas,0.078751%
Mickus,0.078751%
Jasaitis,0.078751%
Jokubauskas,0.078751%
Juska,0.078751%
Daugela,0.078751%
Radzevicius,0.074119%
Ivanauskas,0.074119%
Norkus,0.074119%
Noreika,0.074119%
Tamulis,0.074119%
Sukys,0.074119%
Satkauskas,0.074119%
Varnas,0.074119%
Baublys,0.074119%
Kaminskas,0.074119%
Paskevicius,0.074119%
Povilaitis,0.074119%
Grigaitis,0.069486%
Zemaitis,0.069486%
Sadauskas,0.069486%
Stonkus,0.069486%
Matulevicius,0.069486%
Venckus,0.069486%
Budrys,0.069486%
Banys,0.069486%
Bartkus,0.069486%
Paplauskas,0.069486%
Petreikis,0.069486%
Slimas,0.064854%
