LastName,Percentage
Michel,1.094356%
Sa,0.973718%
Philippe,0.939250%
Marc,0.913399%
Daniel,0.896165%
Sarl,0.853081%
Pierre,0.672124%
Patrick,0.663507%
Dominique,0.585954%
David,0.577337%
Laurent,0.551486%
Didier,0.542869%
Department,0.499785%
Pascal,0.491168%
Denis,0.413615%
Paul,0.379147%
Michael,0.370530%
Claude,0.370530%
Olivier,0.361913%
Alain,0.353296%
Eric,0.327445%
Bernard,0.327445%
Guy,0.318828%
Thomas,0.292977%
Frederic,0.284360%
Jean,0.275743%
Christian,0.267126%
Nicolas,0.249892%
Gilles,0.249892%
Francois,0.249892%
Martin,0.249892%
Marcel,0.249892%
Christophe,0.249892%
Vincent,0.249892%
Antoine,0.241275%
Georges,0.224041%
Schmit,0.224041%
Frank,0.224041%
Dieter,0.198190%
Franck,0.189573%
Muller,0.189573%
Robert,0.180956%
Charles,0.180956%
Ahmed,0.172340%
Louis,0.172340%
Thierry,0.163723%
Serge,0.163723%
Mathieu,0.163723%
Weber,0.163723%
Roland,0.155106%
Meyer,0.155106%
Xavier,0.155106%
Elbaz,0.155106%
Hoffmann,0.146489%
Marco,0.146489%
Jerome,0.146489%
Luc,0.146489%
Roger,0.137872%
Sebastien,0.137872%
Stephane,0.137872%
Manfred,0.137872%
Mike,0.137872%
Jarvis,0.137872%
Carlo,0.137872%
Romain,0.129255%
Tom,0.129255%
Andre,0.129255%
Faber,0.129255%
Maurice,0.129255%
Julien,0.129255%
Yves,0.129255%
Peter,0.129255%
Wagner,0.129255%
Steve,0.120638%
Fernandes,0.120638%
Dirk,0.120638%
De,0.120638%
Van,0.120638%
Bruno,0.120638%
Luxembourg,0.120638%
Richard,0.112021%
Schmitz,0.112021%
Monique,0.112021%
Manuel,0.112021%
Belotti,0.112021%
Paulo,0.112021%
Welter,0.112021%
Gerard,0.103404%
Schneider,0.103404%
Alexandre,0.103404%
Arnaud,0.103404%
Max,0.103404%
Gilbert,0.094787%
Andy,0.094787%
Fabien,0.094787%
Bertrand,0.094787%
Benoit,0.094787%
Ludovic,0.094787%
Peters,0.094787%
Raphael,0.086170%
Ries,0.086170%
Guillaume,0.086170%
Gerhard,0.086170%
Anne,0.086170%
Olsen,0.086170%
Manager,0.086170%
Jacques,0.086170%
Emmanuel,0.086170%
Benjamin,0.086170%
Lux,0.086170%
Patrice,0.086170%
Rollinger,0.077553%
Thill,0.077553%
Sylvie,0.077553%
Santos,0.077553%
Steffen,0.077553%
Sven,0.077553%
Silva,0.077553%
Alexandra,0.077553%
Almeida,0.077553%
Oliveira,0.077553%
Hansen,0.077553%
Martine,0.077553%
Marie,0.077553%
Catherine,0.077553%
Europe,0.077553%
Beek,0.077553%
Klein,0.077553%
Yannick,0.077553%
Rodrigues,0.068936%
It,0.068936%
Schroeder,0.068936%
Stephan,0.068936%
Ferreira,0.068936%
Frederick,0.068936%
Cyril,0.068936%
Cunha,0.068936%
Director,0.068936%
Danielle,0.068936%
Kremer,0.068936%
Laurence,0.068936%
Lefevre,0.068936%
Pascale,0.068936%
Werner,0.068936%
Wagener,0.068936%
Nuno,0.060319%
Gerd,0.060319%
Gaston,0.060319%
Gregory,0.060319%
Tonkin,0.060319%
Schilling,0.060319%
Schmitt,0.060319%
Senitz,0.060319%
Sophie,0.060319%
Stephanie,0.060319%
Albert,0.060319%
Anthony,0.060319%
Francis,0.060319%
Holding,0.060319%
Mireille,0.060319%
