LastName,Percentage
Sia,0.638268%
Ivanovs,0.360760%
Kalnins,0.353823%
Berzins,0.346885%
Ozolins,0.339947%
Petersons,0.249757%
Ozols,0.242819%
Liepins,0.235882%
Zarins,0.173442%
Jansons,0.173442%
Mucenieks,0.166505%
Petrovs,0.152629%
Krumins,0.145692%
Balodis,0.131816%
Silins,0.124879%
Berzina,0.124879%
Karklins,0.124879%
Linde,0.124879%
Grinbergs,0.117941%
Ozolina,0.117941%
Briedis,0.117941%
Pavlovs,0.117941%
Roze,0.111003%
Andersons,0.111003%
Matusevics,0.111003%
Petrov,0.111003%
Rudzitis,0.104065%
Ivanov,0.104065%
Smirnovs,0.104065%
Mihailovs,0.104065%
Dmitrijevs,0.104065%
Volkovs,0.104065%
Vanags,0.104065%
Vitols,0.104065%
Bogdanovs,0.104065%
Kalnina,0.104065%
Krastins,0.104065%
Ltd,0.104065%
Timofejevs,0.097128%
Aleksandrs,0.097128%
Cirulis,0.097128%
Vilks,0.097128%
Eglitis,0.097128%
Kruze,0.097128%
Irbe,0.090190%
Naglis,0.090190%
Neimanis,0.090190%
Gailis,0.090190%
Sokolovs,0.090190%
Abele,0.090190%
Jansone,0.090190%
Dzenis,0.090190%
Vasiljevs,0.090190%
Kibukevics,0.090190%
Lacis,0.090190%
Lapins,0.090190%
Licis,0.090190%
Graudins,0.083252%
Strazdins,0.083252%
Jankovskis,0.083252%
Baumanis,0.083252%
Klavins,0.083252%
Pauls,0.083252%
Paegle,0.083252%
Gulbis,0.076315%
Gaidis,0.076315%
Sulcs,0.076315%
Smith,0.076315%
Strods,0.076315%
Abolins,0.076315%
Meijers,0.076315%
Jekabsons,0.076315%
Kudrjavcevs,0.076315%
Purins,0.076315%
Nikitins,0.069377%
Glebs,0.069377%
Ziemelis,0.069377%
Zalitis,0.069377%
Sprogis,0.069377%
Stepanovs,0.069377%
Solovejs,0.069377%
Andrejevs,0.069377%
Janis,0.069377%
Jakovlevs,0.069377%
Viksna,0.069377%
Kucerenko,0.069377%
Liepa,0.069377%
Lazdins,0.069377%
Rozkalns,0.062439%
Rozentals,0.062439%
Smite,0.062439%
Skuja,0.062439%
Aboltins,0.062439%
Auzins,0.062439%
Andrejs,0.062439%
Fjodorovs,0.062439%
Freimanis,0.062439%
Mikelsons,0.062439%
Makarov,0.062439%
Makarovs,0.062439%
Druska,0.062439%
Veide,0.062439%
Valters,0.062439%
Blumentals,0.062439%
Baranovs,0.062439%
Kuznecovs,0.062439%
Krumina,0.062439%
Pavlovics,0.062439%
Popovs,0.062439%
Gorskis,0.055502%
Gross,0.055502%
Getmans,0.055502%
Gailiss,0.055502%
Gailitis,0.055502%
Zvejnieks,0.055502%
Zviedris,0.055502%
Zvaigzne,0.055502%
Semjonova,0.055502%
Simankovics,0.055502%
Abols,0.055502%
Avotins,0.055502%
Orlovs,0.055502%
Millers,0.055502%
Mironovs,0.055502%
Jaunzems,0.055502%
Vilums,0.055502%
Vorobjovs,0.055502%
Vanaga,0.055502%
Baumane,0.055502%
Birons,0.055502%
Kreslins,0.055502%
Kurpnieks,0.055502%
Lagzdins,0.055502%
Lusis,0.055502%
Putnins,0.055502%
Popov,0.055502%
Rudens,0.048564%
Rubins,0.048564%
Upenieks,0.048564%
Galejs,0.048564%
Geidans,0.048564%
Grigorjevs,0.048564%
Grinvalds,0.048564%
Zarina,0.048564%
Tjurins,0.048564%
Taroviks,0.048564%
Sproge,0.048564%
Smirnova,0.048564%
Sergejevs,0.048564%
Sirmais,0.048564%
Antonovs,0.048564%
Abbattista,0.048564%
Andersone,0.048564%
Aleksejevs,0.048564%
Arins,0.048564%
Alksnis,0.048564%
Feldmanis,0.048564%
Meiers,0.048564%
Mednis,0.048564%
Morozovs,0.048564%
Mezeckis,0.048564%
Jaudzems,0.048564%
Jefimovs,0.048564%
Celmins,0.048564%
Cvetkovs,0.048564%
Daugulis,0.048564%
Vaivars,0.048564%
Vilcans,0.048564%
Veidemanis,0.048564%
Viksne,0.048564%
Vitola,0.048564%
Eisaks,0.048564%
Blums,0.048564%
Bergs,0.048564%
Bruvelis,0.048564%
Bite,0.048564%
Blaus,0.048564%
Kovalenko,0.048564%
Kondratjevs,0.048564%
Kreicbergs,0.048564%
Lapsa,0.048564%
Lapina,0.048564%
Logins,0.048564%
Lukins,0.048564%
Petrovskis,0.048564%
Romanova,0.041626%
Ruza,0.041626%
Riekstins,0.041626%
Ivanova,0.041626%
Novickis,0.041626%
Gavrilovs,0.041626%
Grinberga,0.041626%
Gerhards,0.041626%
Gutmanis,0.041626%
Grinfelds,0.041626%
Grigorjeva,0.041626%
Zigurs,0.041626%
Zvirgzdins,0.041626%
Tuns,0.041626%
Tihomirovs,0.041626%
Strauss,0.041626%
Steinbergs,0.041626%
Steins,0.041626%
Ansons,0.041626%
Aldersons,0.041626%
Filipovs,0.041626%
Ozola,0.041626%
Ozolnieks,0.041626%
Osipovs,0.041626%
Mikelsone,0.041626%
Martins,0.041626%
Meldere,0.041626%
Jevgenijs,0.041626%
Jemeljanovs,0.041626%
Drozdovs,0.041626%
Dreimanis,0.041626%
Dimiters,0.041626%
Danilova,0.041626%
Dzene,0.041626%
Dzerve,0.041626%
Vilcins,0.041626%
Vasiljev,0.041626%
Vasiljeva,0.041626%
Veveris,0.041626%
Voss,0.041626%
Vitolins,0.041626%
Egle,0.041626%
Bondarenko,0.041626%
Balode,0.041626%
