LastName,Percentage
Andrei,0.702418%
Alexandru,0.648386%
Igor,0.567338%
Ion,0.567338%
Sergiu,0.445765%
Rusu,0.418749%
Victor,0.418749%
Mazuret,0.405241%
Serghei,0.378225%
Ceban,0.337701%
Dumitru,0.337701%
Lungu,0.324193%
Rotaru,0.297177%
Roman,0.270161%
Nicolae,0.270161%
Alexandr,0.270161%
Maxim,0.270161%
Mihail,0.270161%
Moraru,0.270161%
Vadim,0.270161%
Vladimir,0.270161%
Denis,0.256653%
Vasile,0.256653%
Iurie,0.243145%
Sirbu,0.243145%
Oleg,0.243145%
Munteanu,0.243145%
Baca,0.243145%
Ivan,0.229637%
Ivanov,0.229637%
Veaceslav,0.229637%
Popa,0.229637%
Irina,0.216129%
Mihai,0.216129%
Cojocaru,0.216129%
Ciobanu,0.216129%
Vladislav,0.216129%
Ursu,0.202621%
Alexei,0.202621%
Pavel,0.202621%
Melnic,0.189113%
Vitalie,0.189113%
Turcan,0.175604%
Adrian,0.175604%
Anatolie,0.175604%
Cebotari,0.175604%
Popov,0.175604%
Elena,0.162096%
Popovici,0.162096%
Radu,0.148588%
Nistor,0.148588%
Gheorghe,0.148588%
Stefan,0.148588%
Anatoli,0.148588%
Vieru,0.148588%
Ruslan,0.135080%
Ungureanu,0.135080%
Srl,0.135080%
Stanislav,0.135080%
Muntean,0.135080%
Cheban,0.135080%
Cazacu,0.135080%
Eugeniu,0.135080%
Popescu,0.135080%
Natalia,0.121572%
Grosu,0.121572%
Tudor,0.121572%
Cristina,0.121572%
Balan,0.121572%
Platon,0.121572%
Revenco,0.108064%
Raileanu,0.108064%
Rusnac,0.108064%
Grecu,0.108064%
Gutu,0.108064%
Tihon,0.108064%
Svetlana,0.108064%
Alexander,0.108064%
Jackson,0.108064%
Codreanu,0.108064%
Cirlig,0.108064%
Cretu,0.108064%
Cristian,0.108064%
Viorel,0.108064%
Vizitiu,0.108064%
Eugen,0.108064%
Burca,0.108064%
Botnari,0.108064%
Bulat,0.108064%
Petru,0.108064%
Prodan,0.108064%
Rosca,0.094556%
Rus,0.094556%
Novac,0.094556%
Zaharia,0.094556%
Spinu,0.094556%
Arabadji,0.094556%
Moldovanu,0.094556%
Morari,0.094556%
Dmitri,0.094556%
Daniel,0.094556%
Damaschin,0.094556%
Vrabie,0.094556%
Bargan,0.094556%
Bagrin,0.094556%
Luca,0.094556%
Lilia,0.094556%
Rotari,0.081048%
Rodideal,0.081048%
Nereutchi,0.081048%
Ghenadie,0.081048%
Gabriel,0.081048%
Guerra,0.081048%
Tataru,0.081048%
Trifan,0.081048%
Tatiana,0.081048%
Tabac,0.081048%
Aleksandr,0.081048%
Fiodorov,0.081048%
Orlov,0.081048%
Onica,0.081048%
Henry,0.081048%
Marin,0.081048%
Cojocari,0.081048%
Cernei,0.081048%
Donos,0.081048%
Dragan,0.081048%
Dorin,0.081048%
Vlad,0.081048%
Victoria,0.081048%
Valentina,0.081048%
Vasiliev,0.081048%
Valeriu,0.081048%
Evgheni,0.081048%
Bulgaru,0.081048%
Bolun,0.081048%
Buga,0.081048%
Bivol,0.081048%
Lupascu,0.081048%
Patic,0.081048%
Plamadeala,0.081048%
Popusoi,0.081048%
Plesca,0.081048%
Rotar,0.067540%
Russu,0.067540%
Nicolai,0.067540%
Nastas,0.067540%
Glavan,0.067540%
Golban,0.067540%
Tcaci,0.067540%
Toderean,0.067540%
Soltan,0.067540%
Stepanov,0.067540%
Scelcunov,0.067540%
Antonov,0.067540%
Artur,0.067540%
Anton,0.067540%
Florea,0.067540%
Mihailov,0.067540%
Madan,0.067540%
