LastName,Percentage
Andry,0.973574%
Randrianantenaina,0.741771%
Madagascar,0.602689%
Eric,0.602689%
Sarl,0.556328%
David,0.556328%
Rajaonarison,0.463607%
Fenosoa,0.463607%
Jean,0.463607%
Haja,0.417246%
Rakotobe,0.370885%
Ramarosandy,0.370885%
Ramaroson,0.370885%
Tiana,0.370885%
Alain,0.370885%
Lalaina,0.370885%
Rakotomalala,0.324525%
Rasoanindrainy,0.324525%
Ratsimbazafy,0.324525%
Aina,0.324525%
Hery,0.324525%
Michel,0.324525%
Emy,0.324525%
Rakoto,0.278164%
Raveloson,0.278164%
Razakavonison,0.278164%
Martin,0.278164%
Mialy,0.278164%
Mada,0.278164%
Christian,0.278164%
Philemon,0.278164%
Rakotoarivelo,0.231803%
Raharinosy,0.231803%
Rolland,0.231803%
Randrianarison,0.231803%
Ratsimba,0.231803%
Njaka,0.231803%
Toky,0.231803%
Tantely,0.231803%
Tehindrazanarivelo,0.231803%
Thierry,0.231803%
Francois,0.231803%
Claude,0.231803%
Lee,0.231803%
Lanto,0.231803%
Philippe,0.231803%
Patrick,0.231803%
Rakotoarisoa,0.185443%
Rafanomezantsoa,0.185443%
Raharison,0.185443%
Ramanantsoa,0.185443%
Richard,0.185443%
Rasoarimalala,0.185443%
Razafindramisa,0.185443%
Rasamison,0.185443%
Ramboniaina,0.185443%
Ratefiarison,0.185443%
Rahaingoson,0.185443%
Rakotondramanana,0.185443%
Rakotonirina,0.185443%
Rakotoson,0.185443%
Rado,0.185443%
Nicole,0.185443%
Nirina,0.185443%
Net,0.185443%
Tsiory,0.185443%
Test,0.185443%
Telma,0.185443%
Andriamananoro,0.185443%
Aime,0.185443%
Hobimalala,0.185443%
Hoby,0.185443%
Mamitiana,0.185443%
Malagasy,0.185443%
Charles,0.185443%
Dzery,0.185443%
Emilien,0.185443%
Bezara,0.185443%
Karine,0.185443%
Lova,0.185443%
Lapeyronie,0.185443%
Laurent,0.185443%
Rakotoarison,0.139082%
Rakotoarivony,0.139082%
Rakotomanana,0.139082%
Ravelojaona,0.139082%
Ravelonjaka,0.139082%
Radoniaina,0.139082%
Rajaonah,0.139082%
Rabary,0.139082%
Razanakolona,0.139082%
Roger,0.139082%
Raminoharijaona,0.139082%
Ramaromanana,0.139082%
Randriamahaleo,0.139082%
Randriamifidimanana,0.139082%
Randrianarivony,0.139082%
Randrianasolo,0.139082%
Renaud,0.139082%
Raza,0.139082%
Razafindramboa,0.139082%
Rabenandrasana,0.139082%
Rakotoniaina,0.139082%
Rakotozafy,0.139082%
Rija,0.139082%
Isaac,0.139082%
Nanja,0.139082%
Ndrialisoa,0.139082%
Nirilalaina,0.139082%
Nyh,0.139082%
Goehl,0.139082%
Gilles,0.139082%
Tsialonina,0.139082%
Tsiavanga,0.139082%
Simon,0.139082%
Spotti,0.139082%
Service,0.139082%
Sumbojee,0.139082%
Andriantsoa,0.139082%
Andriatsolondriaka,0.139082%
Andrianaivo,0.139082%
Andria,0.139082%
Fabrice,0.139082%
Franck,0.139082%
Frederic,0.139082%
Heryjeanmartin,0.139082%
Hajanirina,0.139082%
Hassim,0.139082%
Hajatiana,0.139082%
Mickael,0.139082%
Mbola,0.139082%
Mary,0.139082%
Manoa,0.139082%
Maminiaina,0.139082%
Marco,0.139082%
Marcel,0.139082%
Marc,0.139082%
Johary,0.139082%
Jose,0.139082%
John,0.139082%
Josephin,0.139082%
Cleroux,0.139082%
Daniel,0.139082%
Delphyne,0.139082%
Didier,0.139082%
Vincent,0.139082%
Elyah,0.139082%
Benil,0.139082%
Kossakowski,0.139082%
Lemanambina,0.139082%
Levy,0.139082%
Lala,0.139082%
Louis,0.139082%
Prosperin,0.139082%
Patricia,0.139082%
Pierre,0.139082%
Randimbisoa,0.092721%
Rakotoarimanana,0.092721%
Rakotomamonjy,0.092721%
Rakotomaniraka,0.092721%
Rafaliharinjatovo,0.092721%
Reserve,0.092721%
Ravel,0.092721%
Ravelomanantsoa,0.092721%
Rarivomanana,0.092721%
Ralison,0.092721%
Rafahavelo,0.092721%
Rabefitiavana,0.092721%
Rajaona,0.092721%
Rafenontsoa,0.092721%
Ranto,0.092721%
Ravanomanda,0.092721%
Ramandanirainy,0.092721%
Razazanirina,0.092721%
Rodialson,0.092721%
Ralaibozaka,0.092721%
Raminoarison,0.092721%
Ramarokoto,0.092721%
Randriamalala,0.092721%
Randriamampionona,0.092721%
Randriamiaranirina,0.092721%
Randriamihaja,0.092721%
Randrianandrasana,0.092721%
Rasoanaivo,0.092721%
Rasoloniaina,0.092721%
Ranaivo,0.092721%
Ranaivoson,0.092721%
Razafindramanitra,0.092721%
Rasamimanana,0.092721%
Ravalomanda,0.092721%
Rajerison,0.092721%
Ratovondrainy,0.092721%
Radjabaly,0.092721%
Rabemalanto,0.092721%
Rabenanahary,0.092721%
Rabenasolo,0.092721%
Rosin,0.092721%
Rakotondrahova,0.092721%
Rivo,0.092721%
Ratsiatandra,0.092721%
Ratsirahonana,0.092721%
Ratsitobaina,0.092721%
Iharizaka,0.092721%
Itanjaka,0.092721%
Ibonia,0.092721%
Iaina,0.092721%
Niry,0.092721%
Nilaina,0.092721%
Nathalie,0.092721%
Noel,0.092721%
Nantenaina,0.092721%
Nomenjanahary,0.092721%
Gautier,0.092721%
Guillaume,0.092721%
Gubler,0.092721%
Tahina,0.092721%
Tie,0.092721%
Tojo,0.092721%
Tsilavohery,0.092721%
Todisoa,0.092721%
Theodore,0.092721%
Tours,0.092721%
Tsirinarivo,0.092721%
Steinmetz,0.092721%
Sylvia,0.092721%
Sergent,0.092721%
Sa,0.092721%
Safidy,0.092721%
Stephano,0.092721%
Sarlu,0.092721%
Samuel,0.092721%
Sakay,0.092721%
Sylvain,0.092721%
Andriatsilavo,0.092721%
Andritiana,0.092721%
Andriamialy,0.092721%
Andriamihaja,0.092721%
Andriamirindra,0.092721%
Andriamoraniaina,0.092721%
Andriamparany,0.092721%
Andrianaivoarijao,0.092721%
Andrianantenaina,0.092721%
Andrianarijaona,0.092721%
Andrianarison,0.092721%
Andrianasolo,0.092721%
Andrianiaina,0.092721%
Andrianirina,0.092721%
Andrianjafisoa,0.092721%
Andriamahefa,0.092721%
Andriamamehiony,0.092721%
Andriamaroson,0.092721%
Ambinintsoa,0.092721%
Alibay,0.092721%
Ali,0.092721%
Fidele,0.092721%
Fitia,0.092721%
Frachet,0.092721%
Fidy,0.092721%
Fanomezantsoa,0.092721%
Felix,0.092721%
Fanantenana,0.092721%
Fetra,0.092721%
Oili,0.092721%
Olivier,0.092721%
Oliva,0.092721%
Onjanirina,0.092721%
Haingotiana,0.092721%
Harry,0.092721%
Hasimbola,0.092721%
Hasina,0.092721%
Harimefy,0.092721%
Henintsoa,0.092721%
Holisoa,0.092721%
Harijaona,0.092721%
Hanitra,0.092721%
Henri,0.092721%
Hary,0.092721%
Harison,0.092721%
Helvia,0.092721%
Maurice,0.092721%
Mulipah,0.092721%
Mbolatiana,0.092721%
Martins,0.092721%
Marie,0.092721%
Mi,0.092721%
Manitra,0.092721%
Mahery,0.092721%
Mihanta,0.092721%
Mg,0.092721%
Mamy,0.092721%
Marline,0.092721%
Mahefa,0.092721%
Mariedenise,0.092721%
Malala,0.092721%
Maalouf,0.092721%
Mirceta,0.092721%
Markus,0.092721%
Jean-charles,0.092721%
Julio,0.092721%
Claudine,0.092721%
Co,0.092721%
Cie,0.092721%
Christophe,0.092721%
Dina,0.092721%
Dinah,0.092721%
Dedem,0.092721%
Duguy,0.092721%
Dera,0.092721%
Daphne,0.092721%
Danielle,0.092721%
Vahatraina,0.092721%
Voninahitsy,0.092721%
Vonjy,0.092721%
Eddy,0.092721%
Ely,0.092721%
Emynorane,0.092721%
Expert,0.092721%
Elise,0.092721%
Eva,0.092721%
Erick,0.092721%
Bakoly,0.092721%
Baron,0.092721%
Baptiste,0.092721%
Kryl,0.092721%
Karmaly,0.092721%
Kiady,0.092721%
Lemoine,0.092721%
Lalao,0.092721%
Leonie,0.092721%
Lucman,0.092721%
Leonard,0.092721%
Laurence,0.092721%
Lantou,0.092721%
Lionel,0.092721%
Lahadi,0.092721%
Legrain,0.092721%
Yves,0.092721%
Yvon,0.092721%
Pelitera,0.092721%
Persona,0.092721%
Pandya,0.092721%
Willy,0.092721%
Radotiana,0.046361%
Raitra,0.046361%
Rindra,0.046361%
Randimbison,0.046361%
Rhaja,0.046361%
