LastName,Percentage
Ltd,5.936073%
Smith,1.826484%
Inc,1.369863%
Gronbech,1.141553%
Karigis,1.141553%
Kurz,0.913242%
Graf,0.684932%
Amos,0.684932%
Andrew,0.684932%
Abila,0.684932%
Media,0.684932%
Durov,0.684932%
Betito,0.684932%
Kalopong,0.684932%
Program,0.684932%
Walters,0.684932%
Reeder,0.456621%
Rodriguez,0.456621%
Ibric,0.456621%
Novak,0.456621%
Nieb,0.456621%
Noor,0.456621%
Gaskin,0.456621%
Gagnon,0.456621%
Garcia,0.456621%
Goncalves,0.456621%
Groenbech,0.456621%
Treen,0.456621%
Trade,0.456621%
Tihonov,0.456621%
Smirnov,0.456621%
Sai,0.456621%
Stinnett,0.456621%
Samson,0.456621%
Simpson,0.456621%
Andriotis,0.456621%
Alvaro,0.456621%
Anderson,0.456621%
Husaric,0.456621%
Maloney,0.456621%
Matayoshi,0.456621%
Maritime,0.456621%
Mustafic,0.456621%
Michael,0.456621%
Matous,0.456621%
John,0.456621%
Johns,0.456621%
Cordiner,0.456621%
Co,0.456621%
Capital,0.456621%
Davidenko,0.456621%
Victor,0.456621%
Vincent,0.456621%
Bahou,0.456621%
Bing,0.456621%
Kroutil,0.456621%
Lytvyn,0.456621%
Yashkov,0.456621%
Pritopak,0.456621%
Patrick,0.456621%
Probierz,0.456621%
Rogeau,0.228311%
Ricandolero,0.228311%
Reimers,0.228311%
Ranjan,0.228311%
Rdf,0.228311%
Read,0.228311%
Roditis,0.228311%
Rathod,0.228311%
Rufus,0.228311%
Reinhard,0.228311%
Rulz,0.228311%
Rahimov,0.228311%
Randall,0.228311%
Rad,0.228311%
Radovanovic,0.228311%
Rozen,0.228311%
Illing,0.228311%
India,0.228311%
Iskandiarova,0.228311%
Iyer,0.228311%
Ng,0.228311%
Nuhanovic,0.228311%
Navarro,0.228311%
Novoselov,0.228311%
Nadar,0.228311%
North,0.228311%
Goldman,0.228311%
Guavis,0.228311%
Ghose,0.228311%
George,0.228311%
Groza,0.228311%
Goldberg,0.228311%
Giordano,0.228311%
Galt,0.228311%
Gorantala,0.228311%
Ghotankar,0.228311%
Golebniak,0.228311%
Gargatte,0.228311%
Gaudio,0.228311%
Gracias,0.228311%
Gupta,0.228311%
Gaikwad,0.228311%
Zhou,0.228311%
Zinchenko,0.228311%
Zivanovic,0.228311%
Zivkovic,0.228311%
Zivojinovic,0.228311%
Tahirovic,0.228311%
Two,0.228311%
Temko,0.228311%
Touta,0.228311%
Tariq,0.228311%
Tembhurnikar,0.228311%
Trifonova,0.228311%
Trapani,0.228311%
Tidke,0.228311%
Trading,0.228311%
Tazabana,0.228311%
Tikhonov,0.228311%
Struck,0.228311%
Sakellis,0.228311%
Stuart,0.228311%
Samsuddin,0.228311%
Slavicow,0.228311%
Shaikh,0.228311%
Stojnic,0.228311%
Shipping,0.228311%
Suljic,0.228311%
Stefaniak,0.228311%
Sa,0.228311%
Santosh,0.228311%
Snakkelstick,0.228311%
Sidorov,0.228311%
Sadovnikov,0.228311%
Skobinskaya,0.228311%
Schembri,0.228311%
Sietins,0.228311%
Sugak,0.228311%
Shin,0.228311%
Sebastian,0.228311%
Spirit,0.228311%
Salcedo,0.228311%
Shirokov,0.228311%
Stephen,0.228311%
Scicluna,0.228311%
Singh,0.228311%
Semwal,0.228311%
Staykov,0.228311%
Shah,0.228311%
Shaffner,0.228311%
Stavros,0.228311%
Sabo,0.228311%
Sinining,0.228311%
Surve,0.228311%
Silva,0.228311%
Athinodorou,0.228311%
Avista,0.228311%
Aleksic,0.228311%
Aristedes,0.228311%
Andjelic,0.228311%
Allison,0.228311%
Alik,0.228311%
Africawala,0.228311%
Adu,0.228311%
Anoshko,0.228311%
Alvares,0.228311%
Adamovic,0.228311%
Adrianna,0.228311%
Alessio,0.228311%
Anjel,0.228311%
Alonso,0.228311%
Fehjo,0.228311%
Fernandes,0.228311%
Filipovic,0.228311%
Fontaine,0.228311%
Frosh,0.228311%
Fionza,0.228311%
One,0.228311%
Olsen,0.228311%
Husic,0.228311%
Hendl,0.228311%
Holdingllc,0.228311%
Heine,0.228311%
Hasanovic,0.228311%
Horizon,0.228311%
Mishra,0.228311%
Matale,0.228311%
Mujicic,0.228311%
Mall,0.228311%
Mitrovic,0.228311%
Mjeda,0.228311%
Mehra,0.228311%
Meli,0.228311%
Mercantile,0.228311%
Magdy,0.228311%
Milunovic,0.228311%
Moses,0.228311%
Mehta,0.228311%
Marlinsky,0.228311%
Majik,0.228311%
Mahmoud,0.228311%
Mojsilovic,0.228311%
Music,0.228311%
Modzelewski,0.228311%
Jela,0.228311%
Janevski,0.228311%
