LastName,Percentage
Stojanovski,0.772622%
Nikolovski,0.683551%
Jovanovski,0.659934%
Trajkovski,0.581660%
Petrovski,0.547246%
Stojanov,0.521829%
Gorgiev,0.483592%
Ilievski,0.457500%
Gorgievski,0.451877%
Nikolov,0.424661%
Ivanovski,0.411390%
Jovanov,0.403068%
Dimovski,0.397670%
Atanasov,0.392721%
Petrov,0.390247%
Krstevski,0.387323%
Petkovski,0.347061%
Ristov,0.344587%
Ristovski,0.334915%
Spasovski,0.331316%
Risteski,0.328617%
Angelovski,0.328392%
Ivanov,0.317146%
Mitev,0.311523%
Stefanovski,0.309724%
Todorovski,0.308374%
Petreski,0.308374%
Cvetkovski,0.303651%
Popovski,0.293304%
Trajkov,0.270361%
Georgievski,0.269912%
Kocev,0.266988%
Tasevski,0.266088%
Iliev,0.263839%
Stojkovski,0.259565%
Ramadani,0.255966%
Dimitrov,0.255066%
Dimitrovski,0.250568%
Markovski,0.249443%
Atanasovski,0.248769%
Stojanoski,0.242920%
Angelov,0.242246%
Nikoloski,0.241796%
Janev,0.241346%
Janevski,0.229875%
Georgiev,0.229425%
Kostovski,0.228750%
Ristevski,0.224476%
Bajrami,0.222227%
Mladenovski,0.221552%
Arsov,0.220878%
Arsovski,0.215704%
Jovanoski,0.212106%
Stojcevski,0.209856%
Jakimovski,0.208732%
Bozinovski,0.203333%
Petrusevski,0.202884%
Sulejmani,0.201309%
Pavlovski,0.199960%
Mitrevski,0.199735%
Ismaili,0.199510%
Naumovski,0.197710%
Ademi,0.195461%
Asani,0.192987%
Andonov,0.192087%
Dimov,0.191862%
Lazarov,0.190738%
Velkovski,0.189613%
Kostadinov,0.186014%
Tasev,0.185789%
Rezepi,0.185114%
Lazarevski,0.183540%
Dimitrievski,0.181516%
Sabani,0.178367%
Mitevski,0.177917%
Blazevski,0.177917%
Vasilevski,0.176792%
Osmani,0.175892%
Vasilev,0.174318%
Krstev,0.168920%
Todorov,0.168245%
Dimoski,0.168245%
Simonovski,0.167345%
Aleksovski,0.167120%
Naumoski,0.166445%
Talevski,0.163971%
Ibraimi,0.162622%
Velkov,0.159473%
Velickovski,0.159248%
Trajkoski,0.157673%
Mihajlovski,0.156099%
Kuzmanovski,0.151825%
Donev,0.150701%
Stankovski,0.148901%
Kostov,0.147777%
Markoski,0.146427%
Hristov,0.139229%
Milosevski,0.137880%
Idrizi,0.137430%
Mitreski,0.135631%
Jusufi,0.132257%
Imeri,0.130007%
Spasov,0.129782%
Stojkov,0.129558%
Boskovski,0.129108%
Micevski,0.127533%
Dodevski,0.127533%
Manev,0.126634%
Bekiri,0.126634%
Cvetanovski,0.125509%
Gorgioski,0.124384%
Andonovski,0.124159%
Hristovski,0.123485%
Popov,0.120785%
Jasari,0.120336%
Velanovski,0.120336%
Trajcevski,0.119661%
Ameti,0.119211%
Stojanovska,0.116062%
Zekiri,0.115612%
Selmani,0.115612%
Filipovski,0.112688%
Emini,0.112463%
Poposki,0.112238%
Pavlov,0.111339%
Jordanov,0.110889%
Selimi,0.109764%
Stojkoski,0.109089%
Manevski,0.109089%
Velanoski,0.108639%
Jovanovik,0.107965%
Panov,0.107740%
Demiri,0.107515%
Jovanovska,0.107065%
Nikolovska,0.106840%
Kolevski,0.106615%
Dauti,0.106390%
Eftimov,0.104141%
Taleski,0.102341%
Kolev,0.101892%
Nakov,0.101217%
Alili,0.100542%
Krsteski,0.100317%
Angeleski,0.099417%
Bogdanovski,0.098968%
Kostadinovski,0.098968%
Memedi,0.098518%
Kocevski,0.098068%
Stefanov,0.097618%
Aleksov,0.097618%
Zafirovski,0.096718%
Mitrov,0.096718%
Mihajlov,0.096044%
Todoroski,0.095594%
Nedelkovski,0.095369%
Ivanoski,0.094919%
Memeti,0.094919%
Mustafa,0.094919%
Iseni,0.094244%
Arifi,0.094019%
Mitrovski,0.093794%
Kitanovski,0.093794%
Tanevski,0.093569%
Stefanoski,0.093569%
Abazi,0.092895%
Bozinov,0.092895%
Petkov,0.092220%
Trajkovska,0.091095%
Islami,0.090870%
Limani,0.090870%
Blazeski,0.090645%
Mitrev,0.090195%
Markov,0.089521%
Pesevski,0.089521%
Trajanovski,0.089071%
Cvetanoski,0.088396%
Stoilov,0.087271%
Josifovski,0.086372%
Zdravkovski,0.086147%
Sakiri,0.086147%
Dimeski,0.086147%
Mustafi,0.085922%
Mircevski,0.085247%
Micev,0.084797%
