LastName,Percentage
Tun,4.918033%
Aung,4.918033%
Ye,4.918033%
Naing,3.278689%
Thu,3.278689%
Thein,3.278689%
Soe,3.278689%
Oo,3.278689%
Mon,3.278689%
Myanmar,3.278689%
Ko,3.278689%
Paing,3.278689%
Zin,1.639344%
Zox,1.639344%
Thway,1.639344%
Tharsoe,1.639344%
Thant,1.639344%
Swe,1.639344%
Shein,1.639344%
Alcaraz,1.639344%
Aye,1.639344%
Ooaung,1.639344%
Han,1.639344%
Htun,1.639344%
Myat,1.639344%
May,1.639344%
Maillard,1.639344%
Minn,1.639344%
Minthu,1.639344%
Mane,1.639344%
Myo,1.639344%
Myonaing,1.639344%
Jaechun,1.639344%
Chan,1.639344%
Daily,1.639344%
Xin,1.639344%
Bo,1.639344%
Kyaw,1.639344%
Linn,1.639344%
Lim,1.639344%
Lilani,1.639344%
Lin,1.639344%
Yong,1.639344%
Phyo,1.639344%
Pyae,1.639344%
Power,1.639344%
