LastName,Percentage
Ganbold,0.994200%
Ganbat,0.745650%
Jargalsaikhan,0.690417%
Ganbaatar,0.524717%
Altangerel,0.524717%
Batbayar,0.524717%
Bold,0.497100%
Batbaatar,0.497100%
Gantumur,0.469484%
Davaa,0.441867%
Batsaikhan,0.441867%
Bayarsaikhan,0.414250%
Ch,0.386634%
Bayaraa,0.386634%
Batjargal,0.386634%
Battulga,0.386634%
Sukhbaatar,0.359017%
Mongolia,0.359017%
Gankhuyag,0.331400%
Gantogtokh,0.331400%
Byambaa,0.331400%
Baatar,0.331400%
Batsukh,0.331400%
Llc,0.331400%
Purevdorj,0.331400%
Dorj,0.303783%
Enkhbaatar,0.303783%
Enkhtur,0.303783%
Bayar,0.303783%
Boldbaatar,0.303783%
Lkhagvasuren,0.303783%
Tumenjargal,0.276167%
Adiya,0.276167%
Enkhbat,0.276167%
Enkhbayar,0.276167%
Baasanjav,0.276167%
Batmunkh,0.276167%
Gantulga,0.248550%
Amarsanaa,0.248550%
Munkhjargal,0.248550%
Choi,0.248550%
Erdene,0.248550%
Ganzorig,0.220933%
Tsogbadrakh,0.220933%
Mendbayar,0.220933%
Dashdavaa,0.220933%
Dashnyam,0.220933%
Dorjravdan,0.220933%
Dagvadorj,0.220933%
Enkhjargal,0.220933%
Batzorig,0.220933%
Batbold,0.220933%
Purev,0.220933%
Purevjav,0.220933%
Natsagdorj,0.193317%
Gansukh,0.193317%
Gombo,0.193317%
Galbadrakh,0.193317%
Zorigt,0.193317%
Tumurbaatar,0.193317%
Turbat,0.193317%
Ts,0.193317%
Sharavdorj,0.193317%
Anderson,0.193317%
Altankhuyag,0.193317%
Myagmar,0.193317%
Johnson,0.193317%
Chuluunbaatar,0.193317%
Davaasuren,0.193317%
Dashdorj,0.193317%
Erdenebaatar,0.193317%
Erdenebat,0.193317%
Bayanmunkh,0.193317%
Byambasuren,0.193317%
Lamjav,0.193317%
Ulziikhuu,0.165700%
Ulziisaikhan,0.165700%
Urtnasan,0.165700%
Nyamjav,0.165700%
Gombosuren,0.165700%
Tserendorj,0.165700%
Tumur,0.165700%
Selenge,0.165700%
Avirmed,0.165700%
Oidovjamts,0.165700%
Myagmarsuren,0.165700%
Jamsran,0.165700%
Chuluukhai,0.165700%
Chuluun,0.165700%
