LastName,Percentage
Chan,3.625281%
Wong,2.759063%
Leong,1.636189%
Lei,1.636189%
Lam,1.539942%
Ho,1.058710%
Choi,1.058710%
Lao,1.058710%
Cheong,0.866218%
Fong,0.737889%
Macau,0.737889%
Chi,0.737889%
Lee,0.737889%
Lai,0.705807%
Ng,0.641643%
Tang,0.641643%
Cheang,0.577478%
Lau,0.577478%
Li,0.577478%
Ieong,0.513314%
Hoi,0.513314%
Wai,0.513314%
Ip,0.481232%
Man,0.481232%
Kuok,0.481232%
Wu,0.481232%
Sio,0.449150%
Ka,0.449150%
Wang,0.449150%
Chen,0.417068%
Chang,0.417068%
Wan,0.417068%
Tong,0.384986%
Hong,0.384986%
Sam,0.352903%
Huang,0.352903%
Chu,0.352903%
Kin,0.352903%
Weng,0.352903%
Tam,0.320821%
Si,0.320821%
Lou,0.320821%
Che,0.288739%
Lo,0.288739%
Zhang,0.256657%
Sou,0.256657%
Ao,0.256657%
Ma,0.256657%
Cheung,0.256657%
Chou,0.256657%
Chon,0.256657%
Vong,0.256657%
Loi,0.256657%
Ltd,0.256657%
Yang,0.256657%
Silva,0.224575%
Jones,0.224575%
Chao,0.224575%
Wilson,0.224575%
Game,0.192493%
Almeida,0.192493%
Au,0.192493%
Farinha,0.192493%
Oliveira,0.192493%
Maia,0.192493%
Mak,0.192493%
Johnson,0.192493%
Chiang,0.192493%
Cardoso,0.192493%
Valls,0.192493%
Ku,0.192493%
Kou,0.192493%
Leung,0.192493%
Lin,0.192493%
Wa,0.192493%
Un,0.160411%
Iong,0.160411%
Tashio,0.160411%
Tan,0.160411%
Seng,0.160411%
Samsuddin,0.160411%
Son,0.160411%
Smith,0.160411%
Futuo,0.160411%
Fernandes,0.160411%
Ortet,0.160411%
Macao,0.160411%
Jose,0.160411%
Cheng,0.160411%
Chio,0.160411%
Cheok,0.160411%
Chau,0.160411%
Chong,0.160411%
Veloso,0.160411%
Xie,0.160411%
Brown,0.160411%
Kong,0.160411%
Lio,0.160411%
Yew,0.160411%
Pun,0.160411%
Peng,0.160411%
Paul,0.160411%
Wei,0.160411%
Ieng,0.128329%
Iao,0.128329%
Iam,0.128329%
Garcia,0.128329%
Thomas,0.128329%
Tsang,0.128329%
Tou,0.128329%
Simoes,0.128329%
Santos,0.128329%
So,0.128329%
Sun,0.128329%
Sin,0.128329%
Scott,0.128329%
Fung,0.128329%
Fan,0.128329%
Fok,0.128329%
Hou,0.128329%
Mark,0.128329%
Martins,0.128329%
Martinez,0.128329%
Meng,0.128329%
Manuel,0.128329%
Muiuane,0.128329%
Marques,0.128329%
Master,0.128329%
Club,0.128329%
Chak,0.128329%
Duque,0.128329%
Davis,0.128329%
Vaz,0.128329%
Kim,0.128329%
Long,0.128329%
Lourenco,0.128329%
