LastName,Percentage
Mohamed,4.675029%
Bediyouh,3.078677%
Ahmed,2.166477%
Sidi,1.596351%
Cheikh,1.596351%
Lemine,1.254276%
Taleb,1.026226%
Mehlou,1.026226%
Ahmedou,0.912201%
Abdellahi,0.912201%
Aryan,0.912201%
Fall,0.912201%
Moctar,0.912201%
Mohamedou,0.912201%
Youba,0.912201%
Sy,0.798176%
Abderrahmane,0.798176%
Aly,0.798176%
Med,0.798176%
Salem,0.684151%
Dah,0.684151%
Ebnou,0.684151%
Info,0.570125%
Saleck,0.570125%
Fadel,0.570125%
Hmednah,0.570125%
Hacen,0.570125%
Melainine,0.570125%
Mahmoud,0.570125%
Dendou,0.570125%
Baya,0.570125%
Brahim,0.570125%
Rabani,0.456100%
Gueye,0.456100%
Traore,0.456100%
Moussa,0.456100%
Md,0.456100%
Diallo,0.456100%
Die,0.456100%
Vall,0.456100%
Bah,0.456100%
Ba,0.456100%
Khlil,0.456100%
Ly,0.456100%
Yahya,0.456100%
Rimtic,0.342075%
Zoubeir,0.342075%
Tayeb,0.342075%
Tijani,0.342075%
Taki,0.342075%
Sejad,0.342075%
Sarl,0.342075%
Sa,0.342075%
Sidiya,0.342075%
Sid,0.342075%
Abdou,0.342075%
Alassane,0.342075%
Ould,0.342075%
Olamen,0.342075%
M-bareck,0.342075%
Jeilany,0.342075%
Deya,0.342075%
Deddah,0.342075%
Diagana,0.342075%
Beddiyouh,0.342075%
Bechir,0.342075%
Boukhreiss,0.342075%
Khiyar,0.342075%
Kane,0.342075%
Lamotte,0.342075%
Yacoub,0.342075%
Gnanou,0.228050%
Thierno,0.228050%
Soueidi,0.228050%
Sarr,0.228050%
Syzone,0.228050%
Salihi,0.228050%
Sidahmedsalem,0.228050%
Sahrawi,0.228050%
Saadbouh,0.228050%
Abdallahi,0.228050%
Abou,0.228050%
Abdi,0.228050%
Ahrimou,0.228050%
Agbakogba,0.228050%
Arias,0.228050%
Adel,0.228050%
Ab,0.228050%
Abib,0.228050%
Fatma,0.228050%
Fatimetou,0.228050%
Haidara,0.228050%
Hamdi,0.228050%
Horma,0.228050%
Moulay,0.228050%
Maham,0.228050%
Mokhtar,0.228050%
Meny,0.228050%
Mauritanie,0.228050%
Media,0.228050%
Mega,0.228050%
Mbareck,0.228050%
Miting,0.228050%
Meddah,0.228050%
Mpeze,0.228050%
Jiddou,0.228050%
Jyankez,0.228050%
Cheibani,0.228050%
Camara,0.228050%
Cheiguer,0.228050%
Danielou,0.228050%
Dioulde,0.228050%
Diakhite,0.228050%
Diakite,0.228050%
Douwah,0.228050%
Diop,0.228050%
Veten,0.228050%
Erebih,0.228050%
Elkheir,0.228050%
Elhacen,0.228050%
Eleyatt,0.228050%
Bedda,0.228050%
Bouh,0.228050%
Baba,0.228050%
Babou,0.228050%
Biyah,0.228050%
Khalihenna,0.228050%
Khattary,0.228050%
Lebghail,0.228050%
Yeslem,0.228050%
Wedoud,0.228050%
Ramdane,0.114025%
Rashid,0.114025%
Rubin,0.114025%
Rim,0.114025%
Regis,0.114025%
Roggeri,0.114025%
Robledo,0.114025%
Using,0.114025%
Iires,0.114025%
In,0.114025%
Ichidou,0.114025%
Idriss,0.114025%
Izle,0.114025%
Isselmou,0.114025%
Ndiaye,0.114025%
Nundlallne,0.114025%
Nouakchott,0.114025%
Nanne,0.114025%
Navaa,0.114025%
Niang,0.114025%
Nah,0.114025%
Naha,0.114025%
Najem,0.114025%
Nicklen,0.114025%
Net,0.114025%
Nouh,0.114025%
Noueih,0.114025%
Ghanim,0.114025%
Gragon,0.114025%
Gunesh,0.114025%
Ghazaly,0.114025%
Guisse,0.114025%
Gonzalez,0.114025%
Gaumond,0.114025%
Greimich,0.114025%
Ghassem,0.114025%
Ghaillani,0.114025%
Ghadda,0.114025%
Grenier,0.114025%
Zeidane,0.114025%
Zouber,0.114025%
Zein,0.114025%
Zeinabidine,0.114025%
Today,0.114025%
Tall,0.114025%
Teyssir,0.114025%
Therme,0.114025%
Tissage,0.114025%
Toinssi,0.114025%
Team,0.114025%
Twerjenah,0.114025%
Tweynsi,0.114025%
Toulba,0.114025%
Tijane,0.114025%
Tayib,0.114025%
Tyib,0.114025%
Soule,0.114025%
Souleymane,0.114025%
Sall,0.114025%
Sakeda,0.114025%
Sozale,0.114025%
Soueina,0.114025%
Seck,0.114025%
Sidina,0.114025%
Salah,0.114025%
Sbai,0.114025%
Sky,0.114025%
Sidelemine,0.114025%
Sidels,0.114025%
Safra,0.114025%
Samouri,0.114025%
Sala,0.114025%
Sidisalem,0.114025%
Slam,0.114025%
Slama,0.114025%
Szy,0.114025%
Satouyouba,0.114025%
Soumare,0.114025%
Sidna,0.114025%
Sow,0.114025%
Samba,0.114025%
Siyed,0.114025%
Sida,0.114025%
Samir,0.114025%
Steveninck,0.114025%
Sherman,0.114025%
Saif,0.114025%
Abeid,0.114025%
Abeidy,0.114025%
Abeih,0.114025%
Abdallah,0.114025%
Ahmedoune,0.114025%
Amid,0.114025%
Abdelwedoud,0.114025%
Abdem,0.114025%
Abderrahman,0.114025%
Ahmedelmoctar,0.114025%
Arguine,0.114025%
Ahid,0.114025%
Azize,0.114025%
Alderawe,0.114025%
Abdarrehman,0.114025%
Antic,0.114025%
Abdeljelil,0.114025%
Akani,0.114025%
Abdel,0.114025%
Abdoul,0.114025%
Amar,0.114025%
Azzabi,0.114025%
Abdellah,0.114025%
Alm,0.114025%
Arafat,0.114025%
Alem,0.114025%
Afecrim,0.114025%
Abidine,0.114025%
Abdre,0.114025%
Azeddine,0.114025%
Aguirre,0.114025%
Asm,0.114025%
Ano,0.114025%
Arby,0.114025%
Alioune,0.114025%
Arbi,0.114025%
Abd,0.114025%
Aboubaker,0.114025%
Full,0.114025%
Fatimetounouakchott,0.114025%
Farabi,0.114025%
Ousmane,0.114025%
Omigec,0.114025%
Oul,0.114025%
Onnatop,0.114025%
Ojeda,0.114025%
Oumar,0.114025%
Oueissi,0.114025%
Olamest,0.114025%
Oca,0.114025%
Hator,0.114025%
Hachem,0.114025%
Hassen,0.114025%
Hood,0.114025%
Hill,0.114025%
Hawya,0.114025%
Hmeida,0.114025%
Hmeidy,0.114025%
Hmety,0.114025%
Haboulla,0.114025%
Hertani,0.114025%
Hajkbnn,0.114025%
Herma,0.114025%
Haye,0.114025%
Hamadi,0.114025%
Mahlou,0.114025%
Moulaye,0.114025%
Mavre,0.114025%
Medah,0.114025%
Mhaimed,0.114025%
Moulins,0.114025%
Mariem,0.114025%
Mounir,0.114025%
Mohd,0.114025%
Medou,0.114025%
Maurisports,0.114025%
Mauritania,0.114025%
Medelmoctarhenoun,0.114025%
Msrim,0.114025%
Meskini,0.114025%
Man,0.114025%
Mejid,0.114025%
Menar,0.114025%
Medlemine,0.114025%
Mahfoudh,0.114025%
Mjder,0.114025%
Maouloud,0.114025%
Mohammed,0.114025%
Moreno,0.114025%
