LastName,Percentage
Borg,1.955264%
Ltd,1.892695%
Camilleri,1.626779%
Farrugia,1.509463%
Zammit,1.329579%
Vella,1.306116%
Grech,1.165337%
Attard,1.102769%
Azzopardi,0.993274%
Spiteri,0.961990%
Galea,0.946348%
Cassar,0.883779%
Mifsud,0.844674%
Schembri,0.829032%
Micallef,0.782105%
Agius,0.766463%
Muscat,0.656969%
Abela,0.625684%
Gatt,0.617863%
Sammut,0.610042%
Pace,0.594400%
Caruana,0.578758%
Debono,0.578758%
Bugeja,0.570937%
Cutajar,0.547474%
Fenech,0.508369%
Mallia,0.492726%
Calleja,0.492726%
Bonnici,0.469263%
Aquilina,0.445800%
Falzon,0.445800%
Vassallo,0.445800%
Gauci,0.430158%
Portelli,0.430158%
Mizzi,0.414516%
Scicluna,0.391053%
Saliba,0.383232%
Xuereb,0.359768%
Malta,0.351947%
Cachia,0.351947%
Sciberras,0.328484%
Briffa,0.328484%
Grima,0.320663%
Mercieca,0.320663%
Busuttil,0.320663%
Scerri,0.312842%
Dalli,0.312842%
Bonello,0.305021%
Darmanin,0.289379%
Tabone,0.281558%
Cauchi,0.273737%
Buttigieg,0.273737%
Bezzina,0.265916%
Zerafa,0.258095%
Bartolo,0.258095%
Psaila,0.250274%
Formosa,0.242453%
Buhagiar,0.234632%
Smith,0.226811%
Frendo,0.226811%
Chetcuti,0.226811%
Chircop,0.218990%
Ellul,0.218990%
Pisani,0.218990%
Sultana,0.203347%
Ciantar,0.203347%
Zahra,0.195526%
James,0.195526%
Debattista,0.195526%
Dimech,0.195526%
Brincat,0.195526%
Baldacchino,0.195526%
Sant,0.179884%
Department,0.179884%
Cilia,0.172063%
Mamo,0.164242%
Balzan,0.164242%
Zarb,0.156421%
Jones,0.148600%
Degiorgio,0.148600%
Larsson,0.148600%
Pettersson,0.148600%
Capozzi,0.140779%
Cefai,0.140779%
Deguara,0.140779%
Cardona,0.132958%
Baddar,0.132958%
Theuma,0.125137%
Tonna,0.125137%
Farina,0.125137%
Magri,0.125137%
Martin,0.125137%
Mangion,0.125137%
Cordina,0.125137%
Coleiro,0.125137%
Desira,0.125137%
Xerri,0.125137%
Bajada,0.125137%
Bergman,0.125137%
Jean,0.117316%
John,0.117316%
Cuschieri,0.117316%
Sullivan,0.109495%
Stivala,0.109495%
Hili,0.109495%
Tanti,0.101674%
Axisa,0.101674%
Meilak,0.101674%
Catania,0.101674%
Bianco,0.101674%
Persson,0.101674%
Rosa,0.093853%
Anastasi,0.093853%
Magro,0.093853%
Meli,0.093853%
Media,0.093853%
Camenzuli,0.093853%
Curmi,0.093853%
Nilsson,0.086032%
Taylor,0.086032%
Mark,0.086032%
Cini,0.086032%
Cremona,0.086032%
Carabott,0.086032%
Delia,0.086032%
Barbara,0.086032%
Bondin,0.086032%
Petersen,0.086032%
Pullicino,0.086032%
Pavesi,0.086032%
Grixti,0.078211%
