LastName,Percentage
Ltd,2.218403%
Chamroo,0.437432%
Jean,0.312451%
Gopaul,0.296829%
Appadoo,0.265584%
Veerabadren,0.249961%
Li,0.249961%
Marie,0.218716%
Bundhoo,0.218716%
Francois,0.203093%
David,0.203093%
Ibrahim,0.187471%
Mauritius,0.187471%
Beeharry,0.187471%
Ghunowa,0.171848%
Gupta,0.171848%
Zachara,0.171848%
Manager,0.171848%
Mazade,0.171848%
James,0.171848%
Comarmond,0.171848%
Pillay,0.171848%
Wong,0.171848%
Anand,0.156226%
Ambroise,0.156226%
Baijnath,0.156226%
Koborg,0.156226%
Kumar,0.156226%
Lacoste,0.156226%
Ramdass,0.140603%
Ramchurn,0.140603%
Ramasawmy,0.140603%
Raman,0.140603%
Ramiah,0.140603%
Sham,0.140603%
Swart,0.140603%
Sookun,0.140603%
Flache,0.140603%
Olivier,0.140603%
Obeegadoo,0.140603%
Hardy,0.140603%
Hosenbokus,0.140603%
Hossen,0.140603%
Jeetun,0.140603%
Bholah,0.140603%
Leveille,0.140603%
Ramsamy,0.124980%
Staub,0.124980%
Seechurn,0.124980%
Singh,0.124980%
Scrive,0.124980%
Stephan,0.124980%
Aubeeluck,0.124980%
Maillard,0.124980%
Mohabuth,0.124980%
Darbary,0.124980%
Xavier,0.124980%
Eric,0.124980%
Boodhoo,0.124980%
Khan,0.124980%
Rabbani,0.109358%
Roy,0.109358%
Ramnarain,0.109358%
Nundlall,0.109358%
Goder,0.109358%
Secretary,0.109358%
Saminathen,0.109358%
Algoo,0.109358%
Atchia,0.109358%
Ayoub,0.109358%
Foolchand,0.109358%
Fowdar,0.109358%
Forstreuter,0.109358%
Fleurant,0.109358%
Motah,0.109358%
Mallet,0.109358%
Joseph,0.109358%
Chummun,0.109358%
Cooper,0.109358%
Dorasami,0.109358%
Kishtoo,0.109358%
Koonja,0.109358%
Lafolle,0.109358%
Leclezio,0.109358%
Latimer,0.109358%
Wei,0.109358%
Ram,0.093735%
Rahimbux,0.093735%
Ramphul,0.093735%
Rughoo,0.093735%
Ramgutty,0.093735%
Ujhoodha,0.093735%
Neermul,0.093735%
Nain,0.093735%
Gokhool,0.093735%
Grandpierre,0.093735%
Gervel,0.093735%
Gopee,0.093735%
Torabally,0.093735%
Sunassee,0.093735%
Seneque,0.093735%
Soobrayen,0.093735%
Augustin,0.093735%
Avi,0.093735%
Appanah,0.093735%
Alcide,0.093735%
Fitch,0.093735%
Fayolle,0.093735%
Hurkoo,0.093735%
Herve,0.093735%
Malie,0.093735%
Mamet,0.093735%
Mungur,0.093735%
Moorghen,0.093735%
Joomun,0.093735%
Cordiner,0.093735%
Christophe,0.093735%
Dhunput,0.093735%
Dookhit,0.093735%
Bertrand,0.093735%
Bhoyroo,0.093735%
Bernard,0.093735%
Brasse,0.093735%
Lamusse,0.093735%
Lalljee,0.093735%
Ltee,0.093735%
Lee,0.093735%
Labour,0.093735%
Yan,0.093735%
Pascal,0.093735%
Remy,0.078113%
Rajah,0.078113%
Roshan,0.078113%
Rhone,0.078113%
Rajoo,0.078113%
Rose,0.078113%
Rusooly,0.078113%
Ramgoolam,0.078113%
Rainer,0.078113%
Naidoo,0.078113%
Nes,0.078113%
Nicolas,0.078113%
Grenade,0.078113%
Gougeon,0.078113%
Ghunsawn,0.078113%
Gajadhar,0.078113%
Tanner,0.078113%
Thomas,0.078113%
Savannah,0.078113%
Seegobin,0.078113%
Sockalingum,0.078113%
Shaw,0.078113%
Sanawa,0.078113%
Stephane,0.078113%
Amolvin,0.078113%
Ahmad,0.078113%
Arnaldi,0.078113%
