LastName,Percentage
Malawi,1.668405%
Kassam,1.147028%
Nyirenda,1.042753%
Dyton,1.042753%
Nyirongo,0.834202%
Brown,0.834202%
Kaleke,0.834202%
Hara,0.729927%
Moyo,0.729927%
Malanga,0.625652%
Mchenga,0.625652%
Mzumara,0.625652%
Msiska,0.625652%
Chapuma,0.625652%
Kumwenda,0.625652%
Kapeleta,0.625652%
Ngoma,0.521376%
Tembo,0.521376%
Malombe,0.521376%
Jere,0.521376%
Chirwa,0.521376%
Dube,0.521376%
Ingrams,0.417101%
Thakwalakwa,0.417101%
Sambo,0.417101%
Sambakunsi,0.417101%
Silumbu,0.417101%
Mw,0.417101%
Mtonga,0.417101%
Mbepula,0.417101%
Mkandawire,0.417101%
Mbewe,0.417101%
Chibisa,0.417101%
Banda,0.417101%
Kansichi,0.417101%
Kamera,0.417101%
Kaliyapa,0.417101%
Katema,0.417101%
Phiri,0.417101%
Panjwani,0.417101%
Ilemba,0.312826%
Nkhata,0.312826%
Ngauma,0.312826%
Nyoni,0.312826%
Ndaombwa,0.312826%
Ndhlovu,0.312826%
Gondwe,0.312826%
Trust,0.312826%
Savjani,0.312826%
Sinalo,0.312826%
Sato,0.312826%
Shela,0.312826%
Smith,0.312826%
Singh,0.312826%
Harawa,0.312826%
Host,0.312826%
Mpinganjira,0.312826%
Mhango,0.312826%
Mulonya,0.312826%
Mwalwanda,0.312826%
Munthali,0.312826%
Mwangonde,0.312826%
Mziya,0.312826%
Mwase,0.312826%
Munlo,0.312826%
Muleme,0.312826%
Manda,0.312826%
Milazi,0.312826%
Maere,0.312826%
Chiwinga,0.312826%
Chimpololo,0.312826%
Chavula,0.312826%
Chibowa,0.312826%
Cheleuka,0.312826%
Dissanayake,0.312826%
Bikoko,0.312826%
Bomba,0.312826%
Kumasewera,0.312826%
Kankuzi,0.312826%
Kazembe,0.312826%
Kamwendo,0.312826%
Ligomeka,0.312826%
Pemba,0.312826%
Ramessur,0.208551%
Ingrid,0.208551%
Nkhoma,0.208551%
Namaluweso,0.208551%
Nazombe,0.208551%
Nguluwe,0.208551%
Gadzirayi,0.208551%
