LastName,Percentage
Garcia,1.828245%
Hernandez,1.753869%
Gonzalez,1.687462%
Martinez,1.409036%
Lopez,1.356393%
Rodriguez,1.353495%
Jose,1.229616%
Sanchez,1.020736%
Perez,1.004315%
Ramirez,0.936942%
Juan,0.824413%
Flores,0.754866%
Luis,0.736755%
Gomez,0.686528%
Torres,0.596697%
Carlos,0.553714%
Gutierrez,0.540915%
Cruz,0.537051%
Diaz,0.518458%
Reyes,0.501071%
Jorge,0.500347%
Ruiz,0.490929%
Vazquez,0.473784%
Jimenez,0.452775%
Morales,0.448911%
Cv,0.439977%
Alvarez,0.414138%
Aguilar,0.412206%
Castillo,0.399408%
Mendoza,0.396269%
Romero,0.385644%
Ortiz,0.383953%
Miguel,0.363427%
Chavez,0.347490%
Rivera,0.346765%
Moreno,0.345799%
Fernandez,0.344109%
Maria,0.337106%
Garza,0.336623%
Herrera,0.317788%
Jesus,0.315131%
Ramos,0.312958%
Castro,0.304023%
Alejandro,0.298952%
Medina,0.296054%
Francisco,0.291949%
Vargas,0.286878%
Ortega,0.271424%
Guzman,0.269009%
Leon,0.264179%
Guerrero,0.262972%
Rojas,0.252347%
Mendez,0.250173%
Victor,0.243412%
Salazar,0.239548%
Dominguez,0.237616%
Luna,0.224576%
Estrada,0.223128%
Daniel,0.213951%
Velazquez,0.211778%
Juarez,0.206465%
Eduardo,0.199945%
Ricardo,0.198014%
Avila,0.194633%
Marco,0.194391%
Rios,0.193667%
Orozco,0.190045%
Hector,0.189803%
Cortes,0.189803%
Oscar,0.186664%
Navarro,0.186181%
Lara,0.185215%
Vega,0.184491%
Campos,0.183042%
Padilla,0.182800%
Sergio,0.182559%
Espinosa,0.178937%
Cervantes,0.178454%
Silva,0.178212%
Sandoval,0.177971%
Soto,0.177971%
Mario,0.176763%
Fernando,0.175556%
Munoz,0.174832%
David,0.173866%
Delgado,0.171451%
Roberto,0.170726%
Carrillo,0.169760%
Marquez,0.169277%
Cesar,0.168312%
Manuel,0.162516%
Robles,0.160826%
Lozano,0.160343%
Fuentes,0.160101%
Alvarado,0.157686%
Ibarra,0.156962%
Cardenas,0.155513%
Edgar,0.155030%
Aguirre,0.154547%
Gerardo,0.154306%
Solis,0.152132%
Angel,0.151166%
Ana,0.150201%
Javier,0.149959%
Acosta,0.145612%
Ayala,0.145129%
Ochoa,0.141990%
Maldonado,0.141749%
Rosas,0.141507%
Cabrera,0.140783%
Antonio,0.139092%
Camacho,0.137885%
Julio,0.137644%
Calderon,0.137402%
Valdez,0.135470%
Franco,0.132331%
Pena,0.131607%
Raul,0.131365%
Miranda,0.130399%
Mora,0.129916%
Alberto,0.128709%
Santiago,0.127743%
Villarreal,0.126053%
Huerta,0.125087%
Arturo,0.124845%
Nava,0.123879%
Mejia,0.123879%
Duran,0.123879%
Mexico,0.123638%
Enrique,0.123155%
Valencia,0.121706%
Espinoza,0.121464%
Macias,0.120257%
Pacheco,0.118808%
Guillermo,0.117842%
Rangel,0.116152%
Sosa,0.115427%
Molina,0.115427%
Salas,0.115186%
Santos,0.113496%
Salinas,0.113496%
Rosales,0.113013%
Martin,0.112771%
Tapia,0.112530%
Jaime,0.112530%
Arellano,0.112047%
Alonso,0.112047%
Suarez,0.111805%
Trejo,0.111564%
Figueroa,0.111322%
Serrano,0.109632%
Velasco,0.108183%
Rafael,0.106734%
Galvan,0.106734%
Olvera,0.106734%
Guerra,0.106251%
Nunez,0.105527%
Corona,0.105044%
Meza,0.103836%
Cuevas,0.103112%
Pedro,0.103112%
Zamora,0.100939%
Omar,0.100697%
Rosa,0.100456%
Andrade,0.100214%
Leal,0.100214%
Rubio,0.099973%
Bautista,0.099248%
Villegas,0.098765%
Ponce,0.098765%
Pineda,0.097799%
Castellanos,0.097075%
Hugo,0.096592%
Rocha,0.095868%
Barrera,0.094902%
Bravo,0.092004%
Mauricio,0.091762%
Arias,0.091521%
Villanueva,0.091279%
Pablo,0.091279%
Ivan,0.091038%
Trujillo,0.090796%
Palacios,0.090796%
Gabriel,0.090314%
Cano,0.090314%
Rodrigo,0.090072%
Diego,0.089831%
Rivas,0.089106%
Gustavo,0.089106%
Gallegos,0.088865%
Castaneda,0.088623%
Beltran,0.088623%
Arroyo,0.088382%
Cantu,0.088382%
Zavala,0.086933%
Galindo,0.086691%
Trevino,0.086691%
Marin,0.085484%
Caballero,0.084518%
Parra,0.083069%
Valenzuela,0.081137%
Montes,0.080896%
Quintero,0.080413%
Mercado,0.079205%
Felix,0.078964%
Uribe,0.078722%
Davila,0.078722%
Salgado,0.078240%
Roman,0.077515%
Romo,0.076791%
Monroy,0.076791%
Enriquez,0.075825%
Valdes,0.075342%
Esquivel,0.074376%
Armando,0.074134%
Bernal,0.074134%
Osorio,0.073893%
Leyva,0.073893%
Adrian,0.073410%
Escobar,0.073168%
Benitez,0.073168%
Ruben,0.072685%
Alfredo,0.072685%
Claudia,0.072203%
Gallardo,0.071720%
Carmona,0.071478%
Villalobos,0.071478%
Andres,0.070995%
Valle,0.070995%
Ernesto,0.070271%
Montoya,0.069305%
Cisneros,0.068580%
Vera,0.068580%
Alfonso,0.068339%
Elizondo,0.067373%
Aguilera,0.067131%
Paredes,0.066890%
Tellez,0.065924%
Guevara,0.065683%
Christian,0.064717%
Olivares,0.064475%
Salvador,0.064234%
Blanco,0.064234%
Mondragon,0.063751%
Esparza,0.063751%
Islas,0.063268%
Tovar,0.063026%
Villa,0.063026%
Quiroz,0.063026%
Sierra,0.062302%
Barajas,0.062302%
Reyna,0.061819%
Murillo,0.061336%
Nieto,0.060853%
Alarcon,0.060853%
Zepeda,0.060611%
Correa,0.060611%
Erick,0.060611%
Lugo,0.060370%
Gil,0.060129%
Zuniga,0.060129%
Becerra,0.060129%
Navarrete,0.059887%
Carrasco,0.059163%
Cordova,0.059163%
Zarate,0.058921%
Ramon,0.058197%
Torre,0.058197%
Ocampo,0.057955%
Duarte,0.057955%
Laura,0.057472%
Israel,0.057231%
Sc,0.056506%
Segura,0.056506%
Angeles,0.056023%
Ojeda,0.056023%
Avalos,0.055782%
Mata,0.055299%
Jonathan,0.055057%
Acevedo,0.054816%
Dominios,0.054092%
Granados,0.053850%
Felipe,0.053367%
Martha,0.053367%
Rodolfo,0.053126%
Covarrubias,0.052884%
Resendiz,0.052643%
Rico,0.052643%
Anaya,0.052401%
Toledo,0.052160%
Hurtado,0.051918%
Alanis,0.051194%
Casillas,0.051194%
Reynoso,0.050952%
Alba,0.050952%
Alfaro,0.050952%
Arredondo,0.050952%
Escamilla,0.050952%
Hinojosa,0.049986%
Peralta,0.049986%
Guillen,0.049745%
Alcantara,0.049745%
Montiel,0.049503%
Escalante,0.049503%
Gamboa,0.049020%
Santana,0.049020%
Saucedo,0.049020%
Aranda,0.048779%
Zapata,0.048537%
Galicia,0.048296%
Gabriela,0.048055%
Aceves,0.047813%
Marcos,0.047813%
Bustamante,0.047813%
Godinez,0.047572%
Abraham,0.047572%
Josue,0.047572%
Arce,0.047330%
Arreola,0.047330%
Varela,0.047330%
Fonseca,0.047089%
Ceballos,0.047089%
Melendez,0.046847%
Colin,0.046847%
Alan,0.046606%
Madrigal,0.046606%
Armenta,0.046364%
Moran,0.046364%
Barragan,0.046123%
Yanez,0.046123%
Paz,0.046123%
Carranza,0.045881%
Noriega,0.045398%
Magana,0.045398%
Vidal,0.044915%
Ornelas,0.044674%
Hidalgo,0.044674%
Cortez,0.044674%
Medrano,0.044432%
Cuellar,0.044191%
Rogelio,0.043949%
Ma,0.043949%
Quezada,0.043949%
Rendon,0.043708%
Arriaga,0.043708%
Lira,0.043708%
Carbajal,0.043466%
Alejandra,0.043225%
Quintana,0.043225%
Osuna,0.042983%
Escobedo,0.042983%
Ignacio,0.042742%
Patricia,0.042500%
Emmanuel,0.042259%
Balderas,0.042018%
Pulido,0.042018%
Palma,0.042018%
Arteaga,0.041776%
Casas,0.041776%
Barrios,0.041776%
Delgadillo,0.041535%
Rivero,0.041293%
Saavedra,0.041293%
Rueda,0.041052%
Salcedo,0.041052%
Cordero,0.041052%
Galvez,0.040810%
Amador,0.040810%
Bonilla,0.040810%
Becerril,0.040569%
Monica,0.040327%
Karla,0.040327%
Meneses,0.040086%
Vasquez,0.040086%
Vergara,0.040086%
Zaragoza,0.039603%
Soriano,0.039603%
Aviles,0.039603%
Vallejo,0.039603%
Adriana,0.038878%
Baez,0.038878%
Altamirano,0.038637%
Ac,0.038637%
Diana,0.038637%
Saenz,0.038395%
Luz,0.038395%
Montano,0.038154%
Coronado,0.038154%
Sepulveda,0.037671%
Barron,0.037671%
Rene,0.037429%
Garrido,0.037188%
Humberto,0.037188%
Veronica,0.037188%
Velez,0.037188%
Web,0.037188%
Zamudio,0.036946%
Haro,0.036946%
Heredia,0.036946%
Carrera,0.036946%
Prieto,0.036705%
Millan,0.036463%
Montero,0.036222%
Prado,0.036222%
Rincon,0.035981%
Guadarrama,0.035981%
Gaytan,0.035739%
Solano,0.035739%
Anguiano,0.035498%
Alcala,0.035498%
Leonardo,0.035498%
Grupo,0.035015%
Alvaro,0.035015%
Aragon,0.034773%
Maya,0.034773%
Vicente,0.034773%
Villasenor,0.034773%
Najera,0.034532%
Gilberto,0.034532%
Mena,0.034532%
Mx,0.034532%
Barba,0.034532%
Lizarraga,0.034532%
Saldana,0.034290%
Angulo,0.034290%
Vela,0.034290%
Sandra,0.034049%
Arenas,0.034049%
Montemayor,0.034049%
Jaramillo,0.034049%
Cazares,0.034049%
Guadalupe,0.033807%
Sotelo,0.033807%
Elias,0.033807%
Isaac,0.033566%
Gamez,0.033324%
Cerda,0.033324%
Limon,0.033324%
Linares,0.033324%
Larios,0.033324%
Portillo,0.033324%
Garduno,0.033083%
Serna,0.033083%
Ledesma,0.033083%
Alma,0.032841%
Olguin,0.032841%
Joel,0.032841%
Cavazos,0.032841%
Bermudez,0.032841%
Plascencia,0.032841%
Santillan,0.032600%
Fierro,0.032600%
Cedillo,0.032600%
Farias,0.032358%
Renteria,0.032117%
Samuel,0.032117%
Moises,0.032117%
Cornejo,0.032117%
Venegas,0.032117%
Tamez,0.031875%
Camarena,0.031875%
Chacon,0.031875%
Davalos,0.031875%
Ballesteros,0.031875%
Roldan,0.031392%
Chapa,0.031392%
Guajardo,0.030909%
Alcocer,0.030909%
Cota,0.030909%
Razo,0.030668%
Aldo,0.030668%
Canales,0.030668%
Benavides,0.030426%
Lomeli,0.030426%
Solorzano,0.030185%
Rojo,0.029944%
Frias,0.029944%
Betancourt,0.029944%
Landa,0.029944%
Jasso,0.029702%
Ventura,0.029702%
Valadez,0.029702%
Erika,0.029702%
Teran,0.029461%
Tello,0.029461%
Obregon,0.029461%
Mariana,0.029461%
Joaquin,0.029461%
Lemus,0.029461%
Rio,0.029219%
