LastName,Percentage
Tan,2.142857%
Lee,1.852861%
Lim,1.731543%
Mohd,1.663423%
Wong,1.315687%
Ahmad,1.024393%
Ng,0.959517%
Chong,0.746724%
Chan,0.726612%
Muhammad,0.605943%
Mohamad,0.573505%
Ong,0.570910%
Ismail,0.563124%
Abdullah,0.560529%
Chin,0.508629%
Yap,0.454781%
Leong,0.429480%
Ali,0.418451%
Rahman,0.408071%
Low,0.406773%
Goh,0.398339%
Bhd,0.391203%
Yong,0.384715%
Ibrahim,0.338004%
Hassan,0.319190%
Lai,0.317893%
Chee,0.316595%
Wan,0.315947%
Liew,0.314649%
Loh,0.306864%
Aziz,0.301674%
Lau,0.286752%
Nor,0.281562%
Ho,0.274426%
Chew,0.264694%
Ooi,0.261451%
Othman,0.260802%
Mohamed,0.258207%
Teh,0.254963%
Hashim,0.240042%
Chua,0.231608%
Chen,0.228364%
Abdul,0.225769%
Noor,0.223174%
Yusof,0.223174%
Mohammad,0.220579%
Ang,0.219281%
Wei,0.217984%
Singh,0.214091%
Ramli,0.209550%
Muhamad,0.209550%
Hong,0.208901%
Siti,0.206306%
Teoh,0.201116%
Rahim,0.199818%
Gan,0.197872%
Cheong,0.196575%
Yee,0.194628%
Khoo,0.193979%
Zakaria,0.189438%
Tang,0.189438%
Salleh,0.189438%
Ling,0.188789%
Kumar,0.186843%
Hamid,0.186194%
Tee,0.184897%
Foo,0.184248%
Choo,0.179707%
Cheng,0.179058%
Koh,0.179058%
Nur,0.178409%
Chai,0.178409%
Bakar,0.177112%
Chang,0.172570%
Kok,0.172570%
Chia,0.171922%
Cheah,0.169975%
Heng,0.168678%
Wai,0.165434%
Yeoh,0.163488%
Kong,0.162839%
Omar,0.161541%
Teo,0.158298%
Razak,0.157649%
Yusoff,0.145971%
Loo,0.144025%
Tay,0.139484%
Anuar,0.135591%
Chow,0.134293%
Hamzah,0.133645%
Seng,0.132347%
Law,0.132347%
Razali,0.131698%
Soon,0.131698%
Halim,0.131698%
Sim,0.131050%
Choong,0.130401%
Zainal,0.129103%
Daud,0.127806%
Lam,0.127806%
Rashid,0.127157%
Ishak,0.125860%
Ghazali,0.125860%
Pang,0.125860%
Fong,0.124562%
Malaysia,0.123913%
Teng,0.122616%
Wee,0.122616%
Sulaiman,0.121318%
Siew,0.121318%
Soo,0.118723%
Jaafar,0.118723%
Nordin,0.118074%
Azmi,0.116128%
Khalid,0.115479%
Yew,0.115479%
Amin,0.114831%
Khor,0.114831%
Idris,0.114182%
Hussin,0.112884%
Osman,0.112236%
Harun,0.108343%
Rosli,0.105748%
Chung,0.105748%
How,0.104450%
See,0.103802%
Eng,0.103802%
Azman,0.103153%
Alias,0.102504%
Chuah,0.101855%
Nasir,0.101207%
Zulkifli,0.101207%
Ariffin,0.101207%
Shah,0.099260%
Hasan,0.098612%
Khan,0.097963%
Khairul,0.097314%
Kee,0.097314%
Meng,0.096665%
Roslan,0.096017%
Toh,0.096017%
Abidin,0.096017%
Nurul,0.095368%
Ting,0.095368%
Mokhtar,0.095368%
Boon,0.094719%
Kim,0.094719%
Poh,0.094070%
Subramaniam,0.093422%
Soh,0.092773%
Wahab,0.092773%
Hui,0.092124%
Fauzi,0.091475%
Isa,0.089529%
Ghani,0.089529%
Azhar,0.088880%
Kamaruddin,0.088880%
Yeo,0.088880%
Tai,0.088231%
Ming,0.086934%
Mansor,0.086934%
Han,0.084988%
Yahya,0.084988%
Pages,0.081744%
Syed,0.081095%
Ching,0.081095%
Hafiz,0.080446%
Amir,0.079798%
Md,0.079149%
Jamil,0.079149%
Nik,0.078500%
Mustafa,0.077203%
Tong,0.076554%
Ahmed,0.075905%
Mr,0.075905%
Kadir,0.075905%
Adnan,0.075256%
Kamal,0.075256%
Yang,0.075256%
Oh,0.074607%
Krishnan,0.074607%
Lin,0.073959%
Karim,0.073310%
Johari,0.072012%
Lo,0.072012%
Hussain,0.071364%
Musa,0.071364%
Li,0.071364%
Awang,0.070715%
Wang,0.070715%
Peng,0.070066%
Raj,0.068769%
Tham,0.068769%
Chun,0.068769%
Zain,0.068120%
Salim,0.068120%
Saad,0.067471%
Firdaus,0.067471%
Hakim,0.067471%
Yaacob,0.066822%
Suhaimi,0.066174%
Foong,0.064876%
Leow,0.064876%
John,0.064227%
Din,0.064227%
Nizam,0.063579%
Chu,0.063579%
Keong,0.063579%
Yeong,0.063579%
Kassim,0.062930%
David,0.061632%
Kuan,0.061632%
Latif,0.061632%
Liang,0.061632%
Woo,0.061632%
Loke,0.060984%
Yeap,0.060984%
Woon,0.060984%
Anwar,0.060335%
Hadi,0.060335%
Yunus,0.059686%
Phang,0.059686%
Saw,0.059037%
Jamaludin,0.059037%
Choon,0.059037%
Mun,0.058388%
Raja,0.057740%
Adam,0.057740%
Hoo,0.057740%
Husin,0.057740%
Majid,0.057740%
Yu,0.057740%
Faiz,0.057091%
Mahmud,0.057091%
Kang,0.057091%
Joseph,0.056442%
Daniel,0.056442%
Kaur,0.056442%
Nair,0.055793%
Department,0.055793%
Yip,0.055793%
Mei,0.055145%
Basri,0.054496%
Kamarudin,0.054496%
Yen,0.054496%
Tey,0.053847%
Abd,0.053198%
Choy,0.053198%
Kasim,0.053198%
Guan,0.052550%
Chuan,0.052550%
Lew,0.052550%
Zainuddin,0.051901%
Beh,0.051901%
Yoong,0.051901%
Hoong,0.051252%
Yin,0.051252%
Yan,0.051252%
Tahir,0.050603%
Siow,0.050603%
Sin,0.050603%
Studio,0.050603%
Mazlan,0.050603%
Jalil,0.050603%
Azizan,0.049955%
Azlan,0.049955%
Asia,0.049955%
Michael,0.049955%
Koay,0.049955%
Koo,0.049955%
Hamdan,0.049306%
Beng,0.049306%
Weng,0.049306%
Team,0.048657%
Man,0.048657%
Wah,0.048657%
Loong,0.048008%
Seow,0.047360%
Faizal,0.047360%
