LastName,Percentage
Lda,2.119205%
Silva,0.927152%
Machava,0.706402%
Junior,0.662252%
Nunes,0.618102%
Santos,0.618102%
Fernandes,0.618102%
Francisco,0.573951%
Langa,0.529801%
Mussagi,0.485651%
Cossa,0.485651%
Costa,0.485651%
Ismael,0.441501%
Manuel,0.441501%
Correia,0.441501%
Dias,0.441501%
Bila,0.441501%
Ubisse,0.397351%
Tembe,0.397351%
Adamo,0.397351%
Matsinhe,0.397351%
Varela,0.397351%
Pereira,0.397351%
Rodrigues,0.353201%
Marques,0.353201%
Cassamo,0.353201%
Lopes,0.353201%
Rebelo,0.309051%
Inacio,0.309051%
Guinda,0.309051%
Amorim,0.309051%
Armando,0.309051%
Antonio,0.309051%
Mandlate,0.309051%
Mocambique,0.309051%
Monteiro,0.309051%
Chissaque,0.309051%
Domingos,0.309051%
Vaz,0.309051%
Pinto,0.309051%
Tualufo,0.264901%
Tomas,0.264901%
Ferreira,0.264901%
Figueiredo,0.264901%
Mondlane,0.264901%
Melo,0.264901%
Mosse,0.264901%
Marcelino,0.264901%
Carvalho,0.264901%
Cuna,0.264901%
Dalsuco,0.264901%
Badru,0.264901%
Luis,0.264901%
Gemo,0.220751%
Timana,0.220751%
Sambo,0.220751%
Alves,0.220751%
Abdul,0.220751%
Amade,0.220751%
Amaral,0.220751%
Oliveira,0.220751%
Messa,0.220751%
Macuacua,0.220751%
Martins,0.220751%
Matusse,0.220751%
Manjate,0.220751%
Mushonga,0.220751%
Jose,0.220751%
Joao,0.220751%
Chilaule,0.220751%
Coutinho,0.220751%
Carlos,0.220751%
Baloi,0.220751%
Leonor,0.220751%
Limitada,0.220751%
Patel,0.220751%
Ribeiro,0.176600%
Ricardo,0.176600%
Nhantumbo,0.176600%
Guambe,0.176600%
Gomes,0.176600%
Gimo,0.176600%
Guevane,0.176600%
Zango,0.176600%
Tiago,0.176600%
Timba,0.176600%
Tivane,0.176600%
Schwalbach,0.176600%
Agostinho,0.176600%
Araujo,0.176600%
Henrique,0.176600%
Moz,0.176600%
Morriane,0.176600%
Macamo,0.176600%
Malinga,0.176600%
Mussa,0.176600%
Mussagy,0.176600%
Manhica,0.176600%
Muchanga,0.176600%
Chizavane,0.176600%
Caetano,0.176600%
Cumbe,0.176600%
Coelho,0.176600%
Dau,0.176600%
Vipinchandre,0.176600%
Bacar,0.176600%
Bulamugy,0.176600%
Braga,0.176600%
Benedito,0.176600%
Kande,0.176600%
Laice,0.176600%
Pedro,0.176600%
Ponyoka,0.176600%
Powell,0.176600%
Wilson,0.176600%
Rocha,0.132450%
Rendeiro,0.132450%
Raposo,0.132450%
Rinze,0.132450%
Rafael,0.132450%
Rawjee,0.132450%
Insa,0.132450%
Issa,0.132450%
Ibraimo,0.132450%
Nuvunga,0.132450%
Novela,0.132450%
Neves,0.132450%
Nhaquila,0.132450%
Gulube,0.132450%
Gulamo,0.132450%
Goncalves,0.132450%
Gouteux,0.132450%
Zivane,0.132450%
Zunguene,0.132450%
Taquidir,0.132450%
Trindade,0.132450%
Thomson,0.132450%
Tomaselli,0.132450%
Torres,0.132450%
Tamele,0.132450%
Scuzzarella,0.132450%
Simbine,0.132450%
Sousa,0.132450%
Salomao,0.132450%
Simao,0.132450%
Sow,0.132450%
Servicos,0.132450%
Sarifo,0.132450%
Suege,0.132450%
Sales,0.132450%
Alberty,0.132450%
Altaf,0.132450%
