LastName,Percentage
Smith,0.438596%
Burger,0.331911%
Louw,0.296349%
Coetzee,0.284495%
Erasmus,0.248933%
Schneider,0.225225%
Mouton,0.225225%
Jones,0.213371%
Jovanovic,0.213371%
Botha,0.213371%
Merwe,0.201517%
Potgieter,0.201517%
Williams,0.189663%
Thomas,0.177809%
Taylor,0.177809%
Angula,0.177809%
Martin,0.177809%
Brown,0.177809%
Rodi,0.165955%
Strauss,0.165955%
Hansen,0.165955%
Marais,0.165955%
Markovic,0.165955%
Nikolic,0.154101%
Namibia,0.154101%
Shigwedha,0.154101%
Shivute,0.154101%
Wyk,0.154101%
Nguyen,0.142248%
Smit,0.142248%
Kruger,0.142248%
Rooyen,0.130394%
Nakuumba,0.130394%
Steenkamp,0.130394%
Oosthuizen,0.130394%
Meyer,0.130394%
Bohm,0.130394%
Ristic,0.118540%
Ilic,0.118540%
Nel,0.118540%
Gonzalez,0.118540%
Ahrens,0.118540%
Hamukwaya,0.118540%
Mitrovic,0.118540%
Milenkovic,0.118540%
Moller,0.118540%
Visser,0.118540%
Vermeulen,0.118540%
Blaauw,0.118540%
Rigava,0.106686%
Uirab,0.106686%
Grobler,0.106686%
Zyl,0.106686%
Silva,0.106686%
Miller,0.106686%
Johnson,0.106686%
Deite,0.106686%
Duvenhage,0.106686%
Davis,0.106686%
Basson,0.106686%
Khan,0.106686%
Kumar,0.106686%
Lee,0.106686%
Petrovic,0.106686%
Wang,0.106686%
Rodriguez,0.094832%
Timotheus,0.094832%
Turner,0.094832%
Thompson,0.094832%
Slabbert,0.094832%
Swanepoel,0.094832%
Hill,0.094832%
Hoxha,0.094832%
Campbell,0.094832%
Cloete,0.094832%
Venter,0.094832%
Bernstein,0.094832%
Bosch,0.094832%
Kandukira,0.094832%
Kovacevic,0.094832%
Knezevic,0.094832%
Paulo,0.094832%
Roux,0.082978%
Rossouw,0.082978%
Ihmig,0.082978%
Nangolo,0.082978%
Niekerk,0.082978%
Narib,0.082978%
Gideon,0.082978%
Toit,0.082978%
Simic,0.082978%
Santos,0.082978%
Savic,0.082978%
Shiindi,0.082978%
Alberts,0.082978%
Adams,0.082978%
Ausiku,0.082978%
Ferreira,0.082978%
Hathaway,0.082978%
Muteka,0.082978%
Media,0.082978%
Marinkovic,0.082978%
Maria,0.082978%
Mueller,0.082978%
Jafet,0.082978%
Jankowski,0.082978%
Cn,0.082978%
Chen,0.082978%
Baker,0.082978%
Kusworo,0.082978%
Westhuizen,0.082978%
Roberts,0.071124%
Rust,0.071124%
Ramos,0.071124%
Nasilowski,0.071124%
Nyamuziwa,0.071124%
Nicholson,0.071124%
Gomez,0.071124%
Theisinger,0.071124%
Stankovic,0.071124%
Singh,0.071124%
Serfontein,0.071124%
Ahmed,0.071124%
Fuentes,0.071124%
Opperman,0.071124%
Hugo,0.071124%
Huang,0.071124%
Horn,0.071124%
Harris,0.071124%
Hayes,0.071124%
Minney,0.071124%
Mkabeta,0.071124%
Makuchete,0.071124%
Muller,0.071124%
Michael,0.071124%
Mohammed,0.071124%
Marques,0.071124%
Matovic,0.071124%
Jansen,0.071124%
Cc,0.071124%
Djordjevic,0.071124%
Dreyer,0.071124%
David,0.071124%
Djukic,0.071124%
Viljoen,0.071124%
Bruwer,0.071124%
Kotze,0.071124%
Kwoa,0.071124%
Kolbe,0.071124%
Kolf,0.071124%
Kwalela,0.071124%
Kambonde,0.071124%
Louwrens,0.071124%
Pretorius,0.071124%
Parker,0.071124%
Phiri,0.071124%
Prinsloo,0.071124%
West,0.071124%
White,0.071124%
Rensburg,0.059270%
Nabot,0.059270%
Guzman,0.059270%
Goeieman,0.059270%
Technician,0.059270%
Tomic,0.059270%
Sajin,0.059270%
Shikongo,0.059270%
Stander,0.059270%
Sanchez,0.059270%
Shilongo,0.059270%
Stamenkov,0.059270%
Scheepers,0.059270%
Scott,0.059270%
Schlabitz,0.059270%
Amunyela,0.059270%
Aschenborn,0.059270%
Fourie,0.059270%
Forbes,0.059270%
Filipovic,0.059270%
Haukongo,0.059270%
Hamata,0.059270%
Muronga,0.059270%
Maritz,0.059270%
Jarvis,0.059270%
Carter,0.059270%
Corvalan,0.059270%
