LastName,Percentage
Ismael,2.588556%
Abdou,2.179837%
Amadou,1.498638%
Moussa,1.362398%
Ibrahim,0.953678%
Adamou,0.817439%
Rabiou,0.681199%
Olivier,0.681199%
Oumarou,0.681199%
Mamane,0.681199%
Moustapha,0.681199%
Vankirk,0.681199%
Labo,0.681199%
Niger,0.544959%
Gregoire,0.544959%
Toure,0.544959%
Abdoul,0.544959%
Abdoulaye,0.544959%
Alassane,0.544959%
Ali,0.544959%
Ousmane,0.544959%
Boubacar,0.544959%
Idrissa,0.408719%
Smith,0.408719%
Sophie,0.408719%
Sani,0.408719%
Alhassane,0.408719%
Aghali,0.408719%
Ousseini,0.408719%
Hima,0.408719%
Hamadou,0.408719%
Mahamane,0.408719%
Mohamed,0.408719%
Chaibou,0.408719%
Diallo,0.408719%
Boukari,0.408719%
Razafiarinaivo,0.272480%
Radaii,0.272480%
Informatique,0.272480%
Ganda,0.272480%
Goza,0.272480%
Godspower,0.272480%
Garba,0.272480%
Tetegah,0.272480%
Tatem,0.272480%
Tassiou,0.272480%
Sarl,0.272480%
Sanshec,0.272480%
Sosthene,0.272480%
Songoti,0.272480%
Solanke,0.272480%
Saidou,0.272480%
Amenuvor,0.272480%
Angela,0.272480%
Abani,0.272480%
Abdoulkarim,0.272480%
Alkassoum,0.272480%
Ahmed,0.272480%
Almoustapha,0.272480%
Omaha,0.272480%
Oumar,0.272480%
Ouaba,0.272480%
Ojutalayo,0.272480%
Hamani,0.272480%
Himayankori,0.272480%
Habibou,0.272480%
Mamadou,0.272480%
Mougani,0.272480%
Mahamadou,0.272480%
Mare,0.272480%
Mossi,0.272480%
Maina,0.272480%
Massaoudou,0.272480%
Maiga,0.272480%
Djermakoye,0.272480%
Daouda,0.272480%
Davis,0.272480%
Vpn,0.272480%
Emmanuel,0.272480%
Elad,0.272480%
Elisee,0.272480%
Brownson,0.272480%
Beidari,0.272480%
Bisiriyu,0.272480%
Bitim,0.272480%
Kader,0.272480%
Yao,0.272480%
Yahaya,0.272480%
Plus,0.272480%
Wright,0.272480%
World,0.272480%
Wahidi,0.272480%
Reserve,0.136240%
Rupin,0.136240%
Ryan,0.136240%
Raluca,0.136240%
Razak,0.136240%
Rozimatov,0.136240%
Rhea,0.136240%
Rodriguez,0.136240%
Rae,0.136240%
Radio,0.136240%
Rikli,0.136240%
Reay,0.136240%
Richmond,0.136240%
Rokes,0.136240%
Rabo,0.136240%
Reisig,0.136240%
Uko,0.136240%
Ukachukwu,0.136240%
Udo,0.136240%
Igs,0.136240%
Issa,0.136240%
Ile,0.136240%
Ikhols,0.136240%
Ide,0.136240%
Ismail,0.136240%
Ibrahima,0.136240%
Ijaware,0.136240%
Inf,0.136240%
