LastName,Percentage
Emmanuel,0.575198%
Samuel,0.389143%
John,0.341319%
David,0.326251%
Michael,0.309873%
Ajayi,0.307253%
Daniel,0.300702%
Joseph,0.300047%
Adebayo,0.279083%
James,0.279083%
Lawal,0.277772%
Adeyemi,0.253533%
Ibrahim,0.252878%
Okafor,0.245016%
Ojo,0.243706%
Johnson,0.233224%
Victor,0.233224%
Williams,0.221432%
Balogun,0.210950%
Nigeria,0.204398%
Bello,0.199813%
Peter,0.199813%
Paul,0.195882%
Taiwo,0.195227%
Yusuf,0.186055%
Abiodun,0.184090%
Sunday,0.182779%
Obi,0.180814%
Afolabi,0.179504%
Okoro,0.176883%
Okeke,0.175573%
Eze,0.173608%
Alabi,0.169022%
Ltd,0.158540%
Anthony,0.150023%
Kalu,0.145437%
Moses,0.144127%
Okonkwo,0.142162%
Bassey,0.140852%
George,0.140196%
Akpan,0.139541%
Abubakar,0.138231%
Adeniyi,0.135611%
Olanrewaju,0.135611%
Adekunle,0.134955%
Solomon,0.134300%
Babatunde,0.133645%
Nwachukwu,0.132990%
Mohammed,0.132335%
Olatunji,0.131680%
Idowu,0.130370%
Kolawole,0.128404%
Kehinde,0.127094%
Oni,0.125784%
Charles,0.125784%
Abdullahi,0.124473%
Chukwu,0.124473%
Isaac,0.123163%
Godwin,0.122508%
Henry,0.122508%
Gabriel,0.121853%
Stephen,0.121198%
Adewale,0.121198%
Ademola,0.119888%
Media,0.118577%
Joshua,0.118577%
Ahmed,0.117267%
Okoye,0.115957%
Dada,0.115302%
Ayodele,0.114647%
Hassan,0.114647%
Kayode,0.113991%
Oke,0.113336%
Uche,0.112681%
Olawale,0.112026%
Kingsley,0.110716%
Adeleke,0.108095%
Oluwaseun,0.108095%
Adedeji,0.104820%
Abiola,0.104820%
Francis,0.104820%
Okon,0.104165%
Babalola,0.103509%
Olalekan,0.102199%
Musa,0.102199%
Akinola,0.101544%
Amadi,0.100889%
Opeyemi,0.098269%
Usman,0.097613%
Nwosu,0.096303%
Anyanwu,0.096303%
Olajide,0.094993%
Nwankwo,0.094338%
Chinedu,0.093028%
Adeyemo,0.092372%
Udoh,0.091717%
Umar,0.091062%
Smith,0.091062%
Samson,0.091062%
Martins,0.091062%
Adesanya,0.090407%
Ogbonna,0.090407%
Olumide,0.089752%
Essien,0.088442%
Ola,0.087131%
Okechukwu,0.087131%
Abraham,0.086476%
Ayodeji,0.085821%
Ikechukwu,0.085166%
Peters,0.085166%
Adebowale,0.084511%
Adesina,0.084511%
Adeoye,0.084511%
Olayinka,0.083856%
Brown,0.083856%
Ugochukwu,0.083201%
Mark,0.083201%
Thomas,0.082546%
Bakare,0.082546%
Owolabi,0.081235%
Collins,0.081235%
Njoku,0.079925%
Okorie,0.079925%
Oladele,0.079925%
Felix,0.079270%
Bamidele,0.079270%
Benjamin,0.079270%
Inc,0.078615%
Muhammad,0.078615%
Christian,0.078615%
Popoola,0.078615%
Tech,0.077960%
Adams,0.077960%
Igwe,0.077305%
Temitope,0.075994%
Okoli,0.075339%
King,0.075339%
Christopher,0.074684%
Haruna,0.074029%
Global,0.072719%
Oladipo,0.072719%
Adewumi,0.072064%
Ogunleye,0.072064%
Emeka,0.072064%
Richard,0.071408%
Obinna,0.071408%
Adegoke,0.070753%
Onuoha,0.070753%
Akande,0.070098%
Ali,0.070098%
Ugwu,0.069443%
Idris,0.069443%
Oluwafemi,0.069443%
Philip,0.069443%
Ifeanyi,0.068788%
Aliyu,0.068133%
