LastName,Percentage
Martinez,1.750515%
Wilson,1.471021%
Lopez,1.397470%
Gutierrez,1.309209%
Garcia,1.250368%
Rodriguez,1.235658%
Hernandez,1.206237%
Nicaragua,1.103266%
Gonzalez,1.000294%
Perez,1.000294%
Castillo,0.853192%
Sanchez,0.794351%
Castro,0.661959%
Morales,0.647249%
Flores,0.632539%
Rivera,0.617829%
Reyes,0.603119%
Miranda,0.544278%
Jose,0.514857%
Ruiz,0.485437%
Espinoza,0.485437%
Sa,0.470727%
Herrera,0.470727%
Estrada,0.470727%
Mejia,0.456016%
Arguello,0.441306%
Cuadra,0.441306%
Alvarez,0.426596%
Urbina,0.411886%
Gomez,0.411886%
Molina,0.411886%
Juan,0.411886%
Castellon,0.411886%
Diaz,0.411886%
Zeledon,0.397176%
Mendoza,0.397176%
Delgado,0.382465%
Lacayo,0.382465%
Rivas,0.367755%
Ramirez,0.367755%
Sequeira,0.367755%
Orozco,0.353045%
Rocha,0.338335%
Romero,0.338335%
Silva,0.338335%
Jiron,0.338335%
Larios,0.338335%
Mayorga,0.323625%
Jarquin,0.323625%
Chamorro,0.323625%
Carlos,0.323625%
Torres,0.308914%
Talavera,0.308914%
Arce,0.308914%
Jimenez,0.308914%
Chavez,0.308914%
Centeno,0.308914%
Guerrero,0.294204%
Solis,0.294204%
Aguilar,0.294204%
Mora,0.294204%
Velasquez,0.294204%
Pineda,0.294204%
Picado,0.294204%
Guillen,0.279494%
Guevara,0.279494%
Cruz,0.279494%
Chavarria,0.279494%
Campos,0.279494%
Vega,0.279494%
Valle,0.279494%
Bonilla,0.279494%
Tinoco,0.264784%
Rios,0.250074%
Somarriba,0.250074%
Salinas,0.250074%
Sevilla,0.250074%
Vanegas,0.250074%
Ramos,0.235363%
Guadamuz,0.235363%
Tapia,0.235363%
Solorzano,0.235363%
Amador,0.235363%
Marin,0.235363%
Moreno,0.235363%
Davila,0.235363%
Ibarra,0.220653%
Zamora,0.220653%
Obando,0.220653%
Vargas,0.220653%
Leiva,0.220653%
Rojas,0.205943%
Zuniga,0.205943%
Torrez,0.205943%
Sandoval,0.205943%
Meza,0.205943%
Cortez,0.205943%
Delgadillo,0.205943%
Vasquez,0.205943%
Blandon,0.205943%
Pereira,0.205943%
Duarte,0.191233%
Palacios,0.191233%
Navarro,0.176523%
Gaitan,0.176523%
Zelaya,0.176523%
Zapata,0.176523%
Tellez,0.176523%
Sandino,0.176523%
Salazar,0.176523%
Salgado,0.176523%
Arana,0.176523%
Aguilera,0.176523%
Ortega,0.176523%
Montoya,0.176523%
Mairena,0.176523%
Mendez,0.176523%
Cabrera,0.176523%
Canales,0.176523%
Quintanilla,0.176523%
Guido,0.161812%
Aguirre,0.161812%
Arauz,0.161812%
Fonseca,0.161812%
Fernandez,0.161812%
Ortiz,0.161812%
Calderon,0.161812%
Callejas,0.161812%
Carcamo,0.161812%
Corea,0.161812%
Baltodano,0.161812%
Balmaceda,0.161812%
Luis,0.161812%
Padilla,0.161812%
Palma,0.161812%
Rayo,0.147102%
Nesme,0.147102%
Nunez,0.147102%
Guerra,0.147102%
Serrano,0.147102%
Aleman,0.147102%
Fajardo,0.147102%
Jorge,0.147102%
Caldera,0.147102%
Cano,0.147102%
Caceres,0.147102%
Calero,0.147102%
Cordero,0.147102%
Valdivia,0.147102%
Quiroz,0.147102%
Escobar,0.147102%
Barquero,0.147102%
Pedro,0.147102%
Parrales,0.147102%
Nestor,0.132392%
Gallo,0.132392%
Zavala,0.132392%
Suarez,0.132392%
Arias,0.132392%
Aragon,0.132392%
Hurtado,0.132392%
Montenegro,0.132392%
Montiel,0.132392%
Colindres,0.132392%
Cardenas,0.132392%
Cajina,0.132392%
Bermudez,0.132392%
Bravo,0.132392%
Baca,0.132392%
Lanzas,0.132392%
Robleto,0.117682%
Rizo,0.117682%
Guzman,0.117682%
Gallegos,0.117682%
Toruno,0.117682%
Soza,0.117682%
Alaniz,0.117682%
Acevedo,0.117682%
Alvarado,0.117682%
Fuentes,0.117682%
Henriquez,0.117682%
Maradiaga,0.117682%
Mendieta,0.117682%
Maria,0.117682%
Carcache,0.117682%
Cerda,0.117682%
Cisneros,0.117682%
Castrillo,0.117682%
Bustamante,0.117682%
Lara,0.117682%
Payan,0.117682%
Prado,0.117682%
Real,0.102971%
Rosales,0.102971%
Roberto,0.102971%
Roque,0.102971%
