LastName,Percentage
Jansen,0.364641%
Bakker,0.347355%
Bv,0.335626%
Visser,0.308051%
Jong,0.286033%
Smit,0.276979%
Janssen,0.271834%
Dijk,0.252079%
Vries,0.249816%
Mulder,0.223888%
Meijer,0.221830%
Berg,0.217714%
Groot,0.216068%
Boer,0.212776%
Bos,0.210512%
Vos,0.200429%
Peters,0.183349%
Hendriks,0.178616%
Dijkstra,0.145074%
Dekker,0.144663%
Brouwer,0.142605%
Kok,0.139107%
Smits,0.130052%
Veen,0.129641%
Vermeulen,0.128612%
Leeuwen,0.115648%
Koning,0.112355%
Graaf,0.107005%
Jan,0.106594%
Jacobs,0.105359%
Maas,0.101243%
Bosch,0.101038%
Beek,0.099391%
Schouten,0.097539%
Wit,0.097539%
Prins,0.096305%
Blom,0.094453%
Post,0.094453%
Verhoeven,0.093218%
Koster,0.092806%
Haan,0.091983%
Huisman,0.091366%
Willems,0.090543%
Dam,0.088485%
Brink,0.088073%
Peter,0.086427%
Kuipers,0.083958%
Roos,0.082723%
Linden,0.079842%
Meer,0.079431%
Van,0.078813%
Hoekstra,0.078608%
Kramer,0.078196%
Heuvel,0.077167%
Bruin,0.076138%
Peeters,0.075315%
Ruiter,0.074904%
Kuiper,0.073875%
Vliet,0.073257%
Muller,0.072434%
Heijden,0.072228%
Postma,0.072228%
Broek,0.071611%
Jonker,0.069965%
Kroon,0.068113%
Vink,0.067701%
Hoek,0.067084%
Driessen,0.064820%
Timmermans,0.064615%
Martens,0.063997%
Jager,0.063997%
Groen,0.063792%
Scholten,0.063174%
Horst,0.062968%
Doorn,0.062557%
Pol,0.060911%
Hofman,0.059676%
Wijk,0.059470%
Bruijn,0.059264%
Mol,0.058853%
Simons,0.058030%
Rooij,0.057618%
Lange,0.057618%
Willemsen,0.057618%
Wal,0.057207%
Sanders,0.057001%
Klein,0.057001%
Smith,0.056795%
Jeroen,0.056383%
Veenstra,0.055560%
Evers,0.055560%
Schipper,0.055355%
Hermans,0.055355%
Molenaar,0.055149%
Mark,0.053297%
Bosman,0.053297%
Leeuw,0.053297%
Smeets,0.053091%
Valk,0.052679%
Stevens,0.052268%
Gerritsen,0.051445%
Klaassen,0.051239%
Wolters,0.051033%
Stolk,0.050622%
Bouman,0.050416%
Laan,0.050416%
Wouters,0.050416%
Stam,0.050004%
Boon,0.050004%
Groeneveld,0.049593%
Hans,0.049593%
Dekkers,0.049387%
Rob,0.049181%
Verbeek,0.049181%
Verhagen,0.049181%
