LastName,Percentage
Hansen,0.875134%
Johansen,0.800033%
Olsen,0.685296%
Larsen,0.672779%
Andersen,0.666521%
Pedersen,0.619583%
Nilsen,0.499630%
As,0.458950%
Kristiansen,0.446433%
Jan,0.347342%
Jensen,0.333782%
Pettersen,0.332739%
Karlsen,0.331696%
Eriksen,0.318136%
Johnsen,0.299361%
Berg,0.298318%
Haugen,0.267025%
Halvorsen,0.235733%
Johannessen,0.235733%
Hagen,0.232604%
Lund,0.227389%
Ole,0.221130%
Jacobsen,0.214872%
Henriksen,0.211743%
Dahl,0.209657%
Per,0.195054%
Gundersen,0.189838%
Andreassen,0.189838%
Lars,0.189838%
Solberg,0.182537%
Iversen,0.181494%
Strand,0.170020%
Eide,0.170020%
Danielsen,0.161676%
Moen,0.160633%
Anne,0.158546%
Lunde,0.151245%
Hans,0.143943%
Svendsen,0.142900%
Kristoffersen,0.142900%
Rasmussen,0.139771%
Christensen,0.137685%
Tor,0.135599%
Berge,0.134556%
Amundsen,0.133513%
Jakobsen,0.132470%
Martinsen,0.131427%
John,0.130384%
Lie,0.128297%
Isaksen,0.127254%
Kristensen,0.126211%
Tom,0.123082%
Knutsen,0.122039%
Andresen,0.118910%
Arnesen,0.118910%
Mathisen,0.118910%
Paulsen,0.118910%
Bakke,0.117867%
Knut,0.113694%
Lien,0.112651%
Hauge,0.109522%
Aas,0.108479%
Thomassen,0.107436%
Sivertsen,0.107436%
Fredriksen,0.107436%
Kjell,0.107436%
Jon,0.106393%
Nielsen,0.104307%
Thoresen,0.104307%
Knudsen,0.104307%
Bakken,0.102221%
Holm,0.101178%
Moe,0.101178%
Thorsen,0.100135%
Hanssen,0.095962%
Geir,0.094919%
Svein,0.094919%
Aasen,0.094919%
Berntsen,0.094919%
Birkeland,0.092833%
Simonsen,0.091790%
Haugland,0.090747%
Wilhelmsen,0.086575%
Nguyen,0.085532%
Solheim,0.085532%
Gulbrandsen,0.083445%
Evensen,0.083445%
Ellingsen,0.081359%
Ruud,0.079273%
Nygaard,0.079273%
Stein,0.077187%
Andersson,0.077187%
Brekke,0.077187%
Sandvik,0.076144%
Abrahamsen,0.075101%
Odd,0.074058%
Christiansen,0.074058%
Haug,0.073015%
Aune,0.070929%
Smith,0.069886%
Mikkelsen,0.069886%
Tangen,0.068843%
Myklebust,0.068843%
Hammer,0.067799%
Hermansen,0.067799%
Jenssen,0.067799%
Bjerke,0.067799%
Naess,0.066756%
Vik,0.066756%
Thomas,0.065713%
Anders,0.064670%
Joergensen,0.063627%
Edvardsen,0.063627%
Haaland,0.062584%
Soerensen,0.061541%
Antonsen,0.061541%
Ali,0.061541%
Hoff,0.061541%
Dale,0.061541%
Dag,0.061541%
Torgersen,0.060498%
Sunde,0.060498%
Helgesen,0.060498%
Carlsen,0.060498%
Braathen,0.060498%
Winther,0.060498%
Holmen,0.059455%
Hoel,0.059455%
Karl,0.059455%
Ann,0.058412%
Monsen,0.058412%
Jansen,0.058412%
Wiik,0.058412%
Madsen,0.057369%
Bjorn,0.057369%
Andreas,0.056326%
Foss,0.056326%
Fjeld,0.056326%
Helland,0.056326%
Wold,0.056326%
Nils,0.055283%
Nilssen,0.055283%
Gustavsen,0.055283%
Trond,0.055283%
Singh,0.055283%
Haugan,0.055283%
Christian,0.055283%
Eliassen,0.055283%
Leif,0.055283%
Erik,0.054240%
Engebretsen,0.054240%
Eilertsen,0.054240%
Nordby,0.053196%
Davidsen,0.053196%
Breivik,0.053196%
Lind,0.053196%
Jonassen,0.052153%
Borge,0.052153%
Ingebrigtsen,0.051110%
Gabrielsen,0.051110%
Tollefsen,0.051110%
Sorensen,0.051110%
Ottesen,0.051110%
Martin,0.051110%
Viken,0.051110%
Thune,0.050067%
Meyer,0.050067%
Mortensen,0.050067%
Mathiesen,0.050067%
Ludvigsen,0.050067%
Lorentzen,0.050067%
Tveit,0.049024%
Sandnes,0.049024%
Stig,0.049024%
Arne,0.049024%
Bye,0.049024%
Gjerde,0.047981%
Solli,0.047981%
Bjoern,0.047981%
Sveen,0.046938%
Haraldsen,0.046938%
Magnussen,0.046938%
Mikalsen,0.046938%
Johannesen,0.046938%
Jorgensen,0.046938%
Egeland,0.046938%
Engen,0.046938%
Thor,0.045895%
Saether,0.045895%
Skaar,0.045895%
Berger,0.045895%
Kim,0.045895%
Tran,0.044852%
Syversen,0.044852%
Sandberg,0.044852%
Hovland,0.044852%
Kvam,0.044852%
Petersen,0.044852%
Samuelsen,0.043809%
Hetland,0.043809%
Espen,0.043809%
Rolf,0.042766%
Sande,0.042766%
Solbakken,0.042766%
Stene,0.042766%
Stokke,0.042766%
Aase,0.042766%
Enger,0.042766%
Syvertsen,0.041723%
Saetre,0.041723%
Steen,0.041723%
Alf,0.041723%
Alexander,0.041723%
Hole,0.041723%
Haga,0.041723%
Bjrn,0.041723%
Rune,0.040680%
Teigen,0.040680%
Torp,0.040680%
Sand,0.040680%
Frank,0.040680%
Fossum,0.040680%
Fredrik,0.040680%
Marius,0.040680%
Johansson,0.040680%
Langeland,0.040680%
Nygard,0.039637%
Nikolaisen,0.039637%
Arntsen,0.039637%
Husby,0.039637%
Morten,0.039637%
Bergh,0.039637%
Riise,0.038594%
Gran,0.038594%
Silje,0.038594%
Arntzen,0.038594%
Dahle,0.038594%
Boe,0.038594%
