LastName,Percentage
Shrestha,6.452845%
Thapa,2.271859%
Adhikari,2.265496%
Maharjan,1.858216%
Gurung,1.590938%
Sharma,1.584574%
Ghimire,1.438208%
Rai,1.406389%
Acharya,1.355479%
Nepal,1.342752%
Lama,1.247295%
Pandey,1.221840%
Karki,1.202749%
Bhattarai,1.158203%
Neupane,1.062747%
Dahal,1.043655%
Gautam,1.030928%
Dhakal,0.986382%
Giri,0.967290%
Aryal,0.948199%
Poudel,0.941835%
Chaudhary,0.929108%
Bhandari,0.929108%
Sapkota,0.922744%
Tamang,0.903653%
Khadka,0.890925%
Kc,0.865470%
Joshi,0.833652%
Khanal,0.801833%
Shakya,0.795469%
Singh,0.789105%
Subedi,0.776378%
Paudel,0.725468%
Pradhan,0.693649%
Yadav,0.661830%
Shah,0.604556%
Basnet,0.598193%
Magar,0.585465%
Lamichhane,0.585465%
Sherpa,0.566374%
Pokharel,0.547283%
Bhatta,0.515464%
Koirala,0.509100%
Regmi,0.496373%
Manandhar,0.477281%
Bajracharya,0.464554%
Gupta,0.439099%
Pokhrel,0.439099%
Ltd,0.413644%
Rana,0.394553%
Baral,0.369098%
Dangol,0.362734%
Khatiwada,0.362734%
Khatri,0.350006%
Tiwari,0.343643%
Agrawal,0.343643%
Dhungana,0.343643%
Chhetri,0.330915%
Lamsal,0.330915%
Pathak,0.330915%
Kunwar,0.324551%
Limbu,0.324551%
Bhusal,0.318188%
Kafle,0.318188%
Shahi,0.311824%
Parajuli,0.305460%
Gorkhali,0.299096%
Kharel,0.292733%
Devkota,0.286369%
Kandel,0.286369%
Rimal,0.280005%
Rijal,0.280005%
Tuladhar,0.280005%
Nepali,0.260914%
Prajapati,0.254550%
Sah,0.241823%
Mishra,0.241823%
Jha,0.241823%
Pant,0.235459%
Budhathoki,0.229095%
Rajbhandari,0.222731%
Thakuri,0.216368%
Mahato,0.216368%
Ram,0.210004%
Niraula,0.210004%
Thakur,0.210004%
Kumar,0.210004%
Bista,0.203640%
Mahat,0.197276%
Dulal,0.190913%
Bastola,0.184549%
Luitel,0.184549%
Rauniyar,0.178185%
Chaulagain,0.178185%
Bohara,0.178185%
Upreti,0.171821%
Tamrakar,0.171821%
Malla,0.171821%
Dhungel,0.171821%
Karmacharya,0.171821%
Pun,0.171821%
Niroula,0.165458%
Gyawali,0.165458%
Gaire,0.165458%
Timilsina,0.165458%
Thapaliya,0.165458%
Prasai,0.165458%
Raj,0.159094%
Timalsina,0.159094%
Panta,0.159094%
Mainali,0.152730%
Raut,0.146366%
Tandukar,0.146366%
Ojha,0.146366%
Chandra,0.146366%
Khadgi,0.146366%
Pandit,0.146366%
Pariyar,0.146366%
Timsina,0.140003%
Oli,0.140003%
Chand,0.140003%
Dhamala,0.140003%
Sunuwar,0.133639%
Sitaula,0.133639%
Chalise,0.133639%
Bhagat,0.133639%
Lohani,0.133639%
Ghale,0.127275%
Ali,0.127275%
Chapagain,0.127275%
Baniya,0.127275%
Paudyal,0.127275%
Simkhada,0.120911%
Gc,0.114548%
Tech,0.114548%
Tripathi,0.114548%
Ansari,0.114548%
Jain,0.114548%
Paneru,0.114548%
Roka,0.108184%
Gharti,0.108184%
Guragain,0.108184%
Moktan,0.108184%
