LastName,Percentage
Van,0.386687%
Smith,0.251818%
Williams,0.179716%
Jones,0.179056%
Brown,0.163446%
Young,0.158078%
Scott,0.157665%
Wilson,0.155435%
Taylor,0.153948%
Edwards,0.152957%
King,0.152875%
Anderson,0.152627%
Thompson,0.150149%
Davis,0.148910%
Robinson,0.147754%
Johnston,0.146515%
Harris,0.146102%
White,0.145937%
Mitchell,0.143294%
Johnson,0.141477%
Watson,0.140569%
Miller,0.139908%
Phillips,0.139577%
Robertson,0.138091%
Simpson,0.136852%
Walker,0.136604%
Morgan,0.136109%
Jackson,0.135035%
Reid,0.134622%
Thomas,0.134539%
Moore,0.134127%
Turner,0.133879%
Cooper,0.133796%
Stewart,0.133301%
Mcdonald,0.132805%
Hill,0.132062%
Evans,0.131731%
Morris,0.131401%
Marshall,0.131071%
Gray,0.130327%
Clarke,0.129749%
Ward,0.129749%
Mclean,0.129667%
Macdonald,0.129667%
Thomson,0.129584%
Martin,0.128510%
Hughes,0.127437%
Kelly,0.127272%
Baker,0.127106%
Henderson,0.126859%
Te,0.126446%
Parker,0.126363%
Mckenzie,0.126198%
Murray,0.124216%
Davies,0.123307%
Roberts,0.123142%
Green,0.122977%
Grant,0.122481%
Campbell,0.121160%
Shaw,0.120830%
Bennett,0.120334%
Carter,0.119756%
Collins,0.119756%
Russell,0.119591%
Clark,0.118434%
Allen,0.118352%
Cook,0.117608%
Hall,0.116783%
Bell,0.116535%
Lewis,0.116452%
James,0.116370%
Ross,0.116122%
Gibson,0.115874%
Sutherland,0.114305%
Wright,0.114222%
Duncan,0.113149%
Wallace,0.113066%
Graham,0.110919%
Cameron,0.109762%
Lee,0.109762%
Stevenson,0.109597%
Hunt,0.108854%
Fraser,0.108358%
Paterson,0.107945%
Sinclair,0.105303%
Mckay,0.104477%
Adams,0.104311%
Murphy,0.104064%
Ryan,0.103155%
Kennedy,0.103155%
Wood,0.102494%
Wells,0.102412%
Harrison,0.101421%
Harvey,0.101008%
Black,0.100430%
Gordon,0.099604%
Bailey,0.099521%
Price,0.099521%
Stevens,0.099439%
Mason,0.099439%
Crawford,0.098530%
Richardson,0.098035%
Rogers,0.095805%
Williamson,0.095639%
Morrison,0.095474%
Hunter,0.095061%
Jenkins,0.094979%
Hansen,0.094648%
Mills,0.094566%
Kerr,0.094235%
Allan,0.092831%
Andrews,0.091345%
Mcgregor,0.091345%
Hamilton,0.091014%
O-connor,0.090436%
Nelson,0.090354%
Davidson,0.090189%
Foster,0.089610%
Wilkinson,0.089363%
Burgess,0.089115%
Dunn,0.088784%
Mcleod,0.087380%
Pearce,0.087215%
Lawrence,0.086885%
Walsh,0.086802%
Bradley,0.086389%
Oliver,0.086224%
Boyd,0.085068%
Alexander,0.084572%
Matthews,0.084407%
Fisher,0.084242%
Ellis,0.083581%
Armstrong,0.083416%
Cox,0.083086%
Saunders,0.083003%
Palmer,0.082921%
Ford,0.082755%
Dawson,0.082590%
Butler,0.082590%
Munro,0.082425%
Mackenzie,0.082342%
Rowe,0.081599%
West,0.081269%
Barnes,0.080856%
Patterson,0.080525%
Richards,0.080360%
Mcmillan,0.080360%
Sutton,0.080195%
Craig,0.079782%
Bishop,0.079617%
Ferguson,0.079452%
Griffiths,0.079287%
Jamieson,0.079204%
Fletcher,0.079039%
Hart,0.079039%
Chapman,0.078461%
Knight,0.078461%
Payne,0.077635%
Milne,0.077222%
Elliott,0.076479%
Holmes,0.075900%
Donaldson,0.075900%
Douglas,0.075653%
Barker,0.075405%
O-brien,0.075240%
Cunningham,0.074744%
Woods,0.074249%
Todd,0.074083%
Perry,0.074001%
Mackay,0.073753%
Hayes,0.073505%
Dixon,0.073423%
Fleming,0.073092%
Cole,0.072762%
Peters,0.072184%
Singh,0.072101%
Reynolds,0.071771%
O-neill,0.071441%
Johnstone,0.071441%
Webb,0.071441%
Webster,0.070202%
Millar,0.069871%
Booth,0.069458%
Powell,0.069458%
Burns,0.069211%
Pearson,0.069128%
Fox,0.068880%
Muir,0.068880%
Rose,0.067724%
Hay,0.067641%
Marsh,0.067476%
Osborne,0.067228%
Day,0.067063%
Read,0.066320%
Holland,0.066237%
Lloyd,0.065907%
Gardiner,0.065494%
Atkinson,0.065494%
Bryant,0.065494%
Jensen,0.065246%
Henry,0.064999%
Buchanan,0.064999%
Coleman,0.064916%
Gibbs,0.064751%
Stephens,0.064668%
Barrett,0.064586%
Stuart,0.064007%
Griffin,0.063677%
Cross,0.063594%
Hammond,0.063512%
Hawkins,0.063512%
Mcintosh,0.063347%
Barnett,0.062769%
Mcintyre,0.062686%
Paul,0.062686%
Harper,0.062356%
Sullivan,0.062273%
Nicholson,0.061447%
Carr,0.061447%
Gardner,0.061117%
Page,0.060869%
Maxwell,0.060621%
Lynch,0.060621%
Francis,0.060456%
Berry,0.060126%
Warren,0.060126%
Lawson,0.059878%
Hooper,0.059795%
Dickson,0.059795%
Shepherd,0.059300%
Fitzgerald,0.059052%
Lindsay,0.058969%
Newton,0.058722%
Aitken,0.058722%
Blair,0.058309%
Harding,0.058226%
Little,0.058226%
Watts,0.058144%
Bruce,0.057648%
Austin,0.056822%
Hudson,0.056822%
Lowe,0.056822%
Porter,0.056739%
Ritchie,0.056574%
Sharp,0.056244%
Curtis,0.056161%
Stone,0.056079%
Fowler,0.056079%
Nicholls,0.055996%
Jordan,0.055996%
Burton,0.055914%
George,0.055335%
Newman,0.055170%
Hopkins,0.054757%
Frost,0.054592%
Mccarthy,0.054510%
Hayward,0.054262%
Parsons,0.054262%
Currie,0.054097%
Goodwin,0.053849%
Gilbert,0.053766%
Watt,0.053766%
Weir,0.053766%
Gill,0.053353%
Olsen,0.053106%
Wheeler,0.052610%
Joyce,0.052445%
Bird,0.052445%
Howard,0.052362%
May,0.052362%
Browne,0.052362%
Wills,0.052197%
Vincent,0.052114%
Reed,0.051949%
Christie,0.051949%
Bartlett,0.051784%
Riley,0.051536%
Owen,0.051371%
Sanders,0.050958%
Kemp,0.050958%
Spencer,0.050793%
Hodgson,0.050380%
Tait,0.050050%
Field,0.049967%
Gallagher,0.049802%
Willis,0.049802%
O-sullivan,0.049472%
Tucker,0.049141%
Dean,0.049059%
Baxter,0.048976%
Larsen,0.048893%
Johns,0.048563%
Brooks,0.048563%
Freeman,0.048480%
Kirk,0.048398%
Ball,0.047902%
Davey,0.047572%
Herbert,0.047489%
Watkins,0.047489%
Arnold,0.046994%
Beattie,0.046663%
Robson,0.046581%
Drummond,0.046581%
Chambers,0.046416%
Ltd,0.046003%
Barton,0.045672%
Lamb,0.045672%
Winter,0.045259%
Burke,0.045177%
Morton,0.045012%
Baird,0.045012%
Walters,0.044846%
O-donnell,0.044764%
Lucas,0.044516%
Steele,0.044434%
Blake,0.044434%
O-connell,0.044351%
Cooke,0.044351%
Parkinson,0.044268%
Cochrane,0.044103%
Bates,0.043855%
Corbett,0.043690%
Banks,0.043608%
Savage,0.043442%
Quinn,0.043442%
Buckley,0.043360%
Manning,0.043277%
Small,0.043195%
Pope,0.043112%
Peterson,0.043112%
Lambert,0.043030%
Andrew,0.042617%
Higgins,0.042617%
Cullen,0.042617%
Carroll,0.042617%
Pratt,0.042534%
Forbes,0.042451%
Logan,0.042286%
Park,0.042286%
Irvine,0.042121%
Bond,0.042121%
Gregory,0.042038%
Giles,0.042038%
Wong,0.042038%
Hewitt,0.041956%
Preston,0.041956%
Waters,0.041873%
Lane,0.041708%
Turnbull,0.041543%
Hutchinson,0.041543%
Yates,0.041378%
Murdoch,0.041295%
Potter,0.041130%
Law,0.041047%
Long,0.041047%
Bain,0.040965%
Christensen,0.040882%
Mcfarlane,0.040800%
Malcolm,0.040800%
Smart,0.040634%
Whitehead,0.040552%
Jennings,0.040387%
Manson,0.039974%
Wall,0.039974%
Hancock,0.039808%
Dobson,0.039808%
Rae,0.039726%
Calder,0.039561%
Cowan,0.039396%
Matheson,0.039313%
Stokes,0.039230%
Rhodes,0.038983%
Mcgrath,0.038983%
Dick,0.038983%
Mcpherson,0.038735%
Davison,0.038652%
Burt,0.038652%
Knowles,0.038652%
Mclaren,0.038570%
Miles,0.038570%
Carson,0.038570%
Skinner,0.038404%
Gillespie,0.038322%
Spence,0.038322%
Norton,0.038239%
Dyer,0.038074%
Ramsay,0.037992%
Rutherford,0.037909%
Edmonds,0.037909%
Barlow,0.037909%
Archer,0.037826%
Robb,0.037579%
Neal,0.037496%
Ashton,0.037413%
French,0.037413%
Middleton,0.037248%
Burrows,0.037248%
Simmons,0.037166%
Hartley,0.037083%
Collier,0.037083%
Hope,0.037000%
Patel,0.037000%
Low,0.036918%
Findlay,0.036835%
Mccallum,0.036835%
Rodgers,0.036753%
Gibbons,0.036753%
Caldwell,0.036753%
Donald,0.036587%
Wallis,0.036587%
Kim,0.036505%
Laing,0.036422%
Stanley,0.036257%
Norris,0.036175%
Barr,0.036175%
Stephenson,0.036092%
Nicol,0.036009%
Mccormick,0.036009%
Walton,0.036009%
Nicholas,0.035927%
Barclay,0.035927%
Bull,0.035927%
Allison,0.035762%
Webber,0.035762%
Mackie,0.035679%
Kay,0.035679%
Casey,0.035514%
Mclachlan,0.035431%
Mcrae,0.035349%
Boyle,0.035183%
Chamberlain,0.035018%
Hogg,0.034936%
Neilson,0.034770%
Norman,0.034770%
Ashby,0.034688%
Mann,0.034605%
Gould,0.034275%
Franklin,0.034027%
Cairns,0.033862%
Petersen,0.033862%
Pritchard,0.033862%
Atkins,0.033779%
Hogan,0.033779%
Love,0.033779%
Farrell,0.033697%
Meyer,0.033614%
Irwin,0.033532%
Reeves,0.033449%
Holden,0.033366%
Hurley,0.033284%
Lang,0.033201%
Maclean,0.033119%
Barry,0.032871%
Howell,0.032788%
Jacobs,0.032788%
Abbott,0.032706%
Leslie,0.032706%
Hyde,0.032623%
Montgomery,0.032541%
Hardy,0.032458%
Barber,0.032458%
Arthur,0.032375%
Gunn,0.032293%
Orr,0.032293%
Wilkins,0.032210%
Horne,0.032128%
Hale,0.032128%
Judd,0.032128%
Mead,0.032045%
Bowden,0.032045%
Howe,0.031962%
Houghton,0.031962%
Jack,0.031962%
Dale,0.031962%
Boyce,0.031962%
Townsend,0.031880%
Fuller,0.031797%
Heath,0.031797%
Hutton,0.031797%
Clayton,0.031797%
Steel,0.031715%
Woodward,0.031715%
Short,0.031632%
Greig,0.031549%
Glover,0.031549%
Adamson,0.031549%
Moss,0.031549%
Daly,0.031549%
Byrne,0.031549%
Grace,0.031384%
Hills,0.031384%
Hodge,0.031302%
Baldwin,0.031137%
Parkes,0.031137%
Macfarlane,0.030971%
Noble,0.030889%
Goodall,0.030889%
Doyle,0.030806%
Drake,0.030806%
Ireland,0.030724%
Hobbs,0.030724%
Keenan,0.030724%
Weston,0.030724%
Nixon,0.030641%
Thornton,0.030641%
Macleod,0.030641%
Foote,0.030476%
Perkins,0.030476%
Pickering,0.030476%
Power,0.030476%
Poole,0.030476%
Welch,0.030476%
Ng,0.030393%
Kumar,0.030393%
Huang,0.030311%
Garrett,0.030145%
Brady,0.030063%
Butcher,0.030063%
Yang,0.030063%
Whittaker,0.030063%
Mclaughlin,0.029980%
Molloy,0.029980%
Burnett,0.029980%
Kidd,0.029980%
Simmonds,0.029815%
Clements,0.029815%
Searle,0.029732%
Macpherson,0.029732%
Keen,0.029732%
Tan,0.029650%
Carey,0.029650%
Donovan,0.029650%
Paton,0.029650%
Wang,0.029650%
Rees,0.029567%
Jury,0.029567%
Kingi,0.029567%
Kane,0.029567%
Guy,0.029485%
Wyatt,0.029485%
Forsyth,0.029320%
Mckinnon,0.029320%
Bourke,0.029320%
Smyth,0.029237%
Monk,0.029237%
Mckee,0.029237%
Chen,0.029237%
Li,0.029154%
Mcbride,0.028989%
Jarvis,0.028989%
Wylie,0.028989%
Duff,0.028907%
Beck,0.028824%
Hicks,0.028741%
Broughton,0.028659%
Grey,0.028576%
Greenwood,0.028494%
Bray,0.028494%
Shearer,0.028411%
Mcdowell,0.028411%
Dodd,0.028411%
Best,0.028328%
Hood,0.028246%
Harrington,0.028246%
Chand,0.028246%
O-leary,0.028163%
Dunlop,0.028163%
Pedersen,0.028163%
Wu,0.028163%
Hampton,0.028081%
Briggs,0.028081%
Donnelly,0.027998%
Mercer,0.027915%
Thorpe,0.027833%
Ryder,0.027750%
Hickey,0.027750%
Nolan,0.027585%
Clarkson,0.027503%
Lin,0.027503%
Godfrey,0.027420%
Foley,0.027420%
Masters,0.027420%
Flynn,0.027255%
Dalton,0.027255%
Knox,0.027255%
Welsh,0.027255%
Waugh,0.027255%
Ingram,0.027090%
Falconer,0.027090%
Wilton,0.027090%
Hodges,0.027007%
Chalmers,0.027007%
Leonard,0.027007%
