LastName,Percentage
Gonzalez,1.729516%
Rodriguez,1.421520%
Panama,0.845015%
Perez,0.805528%
Sanchez,0.730503%
Diaz,0.718657%
Garcia,0.698914%
Martinez,0.683119%
Castillo,0.647581%
Hernandez,0.580454%
Lopez,0.572557%
Fernandez,0.513327%
Gomez,0.489635%
Moreno,0.477789%
Inc,0.402764%
Herrera,0.402764%
Quintero,0.402764%
Juan,0.390918%
Morales,0.379072%
Rivera,0.367226%
Rios,0.351431%
Ortega,0.347483%
Leon,0.339585%
Jimenez,0.335637%
Caballero,0.335637%
Alvarado,0.319842%
Jose,0.311945%
Vasquez,0.311945%
Arauz,0.307996%
Torres,0.304047%
Vega,0.296150%
Batista,0.292201%
Delgado,0.284304%
Guerra,0.276407%
Alvarez,0.268509%
Rojas,0.264561%
Reyes,0.260612%
Vargas,0.260612%
Gutierrez,0.256663%
Protected,0.256663%
Ruiz,0.248766%
Romero,0.244817%
Villarreal,0.244817%
Santamaria,0.240869%
Miranda,0.240869%
Ramos,0.236920%
Luis,0.236920%
Chen,0.221125%
Smith,0.213228%
Aguilar,0.213228%
Ramirez,0.205331%
Cedeno,0.205331%
Suarez,0.201382%
Mendez,0.201382%
Arosemena,0.197433%
Castro,0.197433%
Dominguez,0.197433%
Mendoza,0.193485%
Carlos,0.193485%
Brown,0.193485%
Barrios,0.193485%
Guardia,0.177690%
Silva,0.177690%
Navarro,0.173741%
Valdes,0.173741%
Bernal,0.173741%
Lee,0.173741%
Williams,0.173741%
Medina,0.169793%
Espino,0.169793%
Paredes,0.169793%
Ortiz,0.161895%
Vergara,0.161895%
Escobar,0.161895%
Espinosa,0.161895%
Sa,0.157947%
Avila,0.157947%
Montenegro,0.153998%
Rivas,0.150049%
Arias,0.150049%
Acosta,0.150049%
Cruz,0.150049%
Cardenas,0.150049%
Munoz,0.146101%
Campos,0.146101%
Gracia,0.142152%
Soto,0.142152%
Maria,0.142152%
Jaen,0.142152%
Cohen,0.142152%
Guevara,0.138203%
Franco,0.138203%
Molina,0.138203%
Quinones,0.138203%
Palacios,0.138203%
Salazar,0.134255%
Murillo,0.134255%
Castrellon,0.134255%
Bonilla,0.134255%
Blanco,0.134255%
Marquez,0.130306%
Carrillo,0.130306%
Abrego,0.126357%
Cordoba,0.126357%
Correa,0.126357%
Guzman,0.122409%
Nunez,0.118460%
Solis,0.118460%
Flores,0.118460%
Mora,0.118460%
Cisneros,0.118460%
Guerrero,0.114511%
Marin,0.114511%
Velasquez,0.114511%
Pinto,0.114511%
Fabrega,0.110563%
Cabrera,0.110563%
Garrido,0.106614%
Salas,0.106614%
Chong,0.106614%
Pitti,0.106614%
Robles,0.102665%
Fuentes,0.102665%
Meneses,0.102665%
Martin,0.102665%
Julio,0.102665%
Calderon,0.102665%
Chan,0.102665%
Cepeda,0.102665%
Varela,0.102665%
Urriola,0.098717%
Cerrud,0.098717%
Lara,0.098717%
Nieto,0.094768%
Guillen,0.094768%
Sandoval,0.094768%
Saavedra,0.094768%
Ana,0.094768%
Jorge,0.094768%
Vallarino,0.094768%
Lezcano,0.094768%
Pineda,0.094768%
Galvez,0.090819%
Arango,0.090819%
Acevedo,0.090819%
Arjona,0.090819%
Jaramillo,0.090819%
David,0.090819%
Samaniego,0.086871%
Samudio,0.086871%
Andrade,0.086871%
Aparicio,0.086871%
Media,0.086871%
Carvajal,0.086871%
Chavez,0.086871%
Chacon,0.086871%
Barria,0.086871%
Zapata,0.082922%
Tejada,0.082922%
Serrano,0.082922%
Atencio,0.082922%
Ferrer,0.082922%
Osorio,0.082922%
Montero,0.082922%
Cortes,0.082922%
Vigil,0.082922%
Espinoza,0.082922%
Benavides,0.082922%
Lasso,0.082922%
Linares,0.082922%
Ledezma,0.082922%
Padilla,0.082922%
Ayala,0.078973%
Ali,0.078973%
Chang,0.078973%
Valencia,0.078973%
Quiros,0.078973%
Bello,0.078973%
Pinilla,0.078973%
Pinzon,0.078973%
Prado,0.078973%
Parra,0.078973%
Wong,0.078973%
Rangel,0.075025%
Rosas,0.075025%
Ricardo,0.075025%
Zambrano,0.075025%
Sosa,0.075025%
Carrasco,0.075025%
Cano,0.075025%
Valderrama,0.075025%
Bermudez,0.075025%
Web,0.075025%
Robinson,0.071076%
Rosa,0.071076%
Ibarra,0.071076%
Ng,0.071076%
Sanjur,0.071076%
Mendieta,0.071076%
Mejia,0.071076%
Johnson,0.071076%
Calvo,0.071076%
Levy,0.071076%
Thomas,0.067127%
Arroyo,0.067127%
Francisco,0.067127%
Ochoa,0.067127%
Marciaga,0.067127%
Miguel,0.067127%
Caceres,0.067127%
Chiari,0.067127%
Becerra,0.067127%
Paz,0.067127%
Porras,0.067127%
Peralta,0.067127%
Ryan,0.063179%
Rubio,0.063179%
Ring,0.063179%
Granados,0.063179%
Gil,0.063179%
Tapia,0.063179%
Taylor,0.063179%
Santos,0.063179%
Saldana,0.063179%
Aizprua,0.063179%
Alejandro,0.063179%
Angel,0.063179%
Hidalgo,0.063179%
Mojica,0.063179%
Miller,0.063179%
Mata,0.063179%
Madrid,0.063179%
Javier,0.063179%
Cid,0.063179%
Ceballos,0.063179%
Candanedo,0.063179%
Castillero,0.063179%
Estrada,0.063179%
Barahona,0.063179%
Pereira,0.063179%
Paul,0.063179%
Roberto,0.059230%
Restrepo,0.059230%
Guizado,0.059230%
Godoy,0.059230%
Zamora,0.059230%
Zuniga,0.059230%
Alba,0.059230%
Aleman,0.059230%
Alexander,0.059230%
Hurtado,0.059230%
Montilla,0.059230%
Macias,0.059230%
Jones,0.059230%
Carrera,0.059230%
Cornejo,0.059230%
Cordero,0.059230%
Dan,0.059230%
Villalobos,0.059230%
Vera,0.059230%
Lorenzo,0.059230%
Yau,0.059230%
Protect,0.059230%
Isaza,0.055281%
Trejos,0.055281%
Thompson,0.055281%
Sierra,0.055281%
Antonio,0.055281%
Otero,0.055281%
Ho,0.055281%
John,0.055281%
Camarena,0.055281%
Caicedo,0.055281%
Daniel,0.055281%
Diego,0.055281%
Velez,0.055281%
Eduardo,0.055281%
Esquivel,0.055281%
Benitez,0.055281%
Pimentel,0.055281%
Pena,0.055281%
Rosen,0.051333%
Uzcategui,0.051333%
Iglesias,0.051333%
Ivanov,0.051333%
Noriega,0.051333%
Manuel,0.051333%
Cesar,0.051333%
Degracia,0.051333%
Duque,0.051333%
Estribi,0.051333%
Lau,0.051333%
Loo,0.051333%
Pino,0.051333%
Urdaneta,0.047384%
Icaza,0.047384%
Gallardo,0.047384%
Tovar,0.047384%
Tarte,0.047384%
Antunez,0.047384%
