LastName,Percentage
Rodriguez,0.852761%
Sac,0.804473%
Garcia,0.675062%
Sanchez,0.666371%
Flores,0.650918%
Jose,0.639329%
Diaz,0.605528%
Rojas,0.591042%
Lopez,0.584281%
Luis,0.573658%
Juan,0.561103%
Quispe,0.544685%
Peru,0.543720%
Torres,0.511850%
Ramirez,0.510884%
Gonzales,0.506055%
Chavez,0.487706%
Carlos,0.477083%
Perez,0.467425%
Vasquez,0.459699%
Ramos,0.429761%
Castillo,0.412377%
Gutierrez,0.407548%
Mendoza,0.398857%
Cruz,0.394994%
Fernandez,0.384370%
Herrera,0.364089%
Espinoza,0.359261%
Vargas,0.354432%
Huaman,0.346706%
Jorge,0.343809%
Romero,0.339946%
Castro,0.332219%
Ruiz,0.326425%
Paredes,0.321596%
Martinez,0.305178%
Salazar,0.302281%
Gomez,0.282000%
Miguel,0.274274%
Medina,0.272343%
Rivera,0.271377%
Leon,0.271377%
Silva,0.270411%
Cardenas,0.270411%
Delgado,0.261719%
Morales,0.250130%
Calderon,0.250130%
Palomino,0.250130%
Alvarez,0.237576%
Aguilar,0.234678%
Cordova,0.232747%
Campos,0.231781%
Rios,0.225021%
Cesar,0.212466%
Palacios,0.208603%
Reyes,0.198945%
Victor,0.195082%
Alvarado,0.194117%
Salas,0.191219%
Mamani,0.188322%
Moreno,0.184459%
Maria,0.179630%
Velasquez,0.179630%
Eirl,0.176733%
Vega,0.175767%
Julio,0.174802%
Villanueva,0.170939%
Valdivia,0.170939%
Soto,0.169007%
Navarro,0.162247%
Guevara,0.161281%
Miranda,0.160315%
Meza,0.159349%
Ortiz,0.157418%
Hernandez,0.156452%
Nunez,0.155486%
Hurtado,0.152589%
Javier,0.151623%
Jimenez,0.151623%
Gonzalez,0.150658%
Manrique,0.147760%
Tapia,0.142932%
Saavedra,0.142932%
David,0.141000%
Jesus,0.140034%
Daniel,0.140034%
Guzman,0.139069%
Manuel,0.137137%
Cabrera,0.136171%
Pacheco,0.134240%
Caceres,0.130377%
Aguirre,0.129411%
Quiroz,0.127480%
Suarez,0.125548%
Alarcon,0.125548%
Arias,0.124582%
Marco,0.123617%
Davila,0.123617%
Mejia,0.120719%
Luna,0.120719%
Ricardo,0.119754%
Vera,0.119754%
Bravo,0.119754%
Guerrero,0.117822%
Huamani,0.117822%
Tello,0.116856%
Ponce,0.116856%
Eduardo,0.114925%
Zapata,0.113959%
Alejandro,0.112993%
Jara,0.112993%
Cornejo,0.112993%
Valencia,0.112028%
Bustamante,0.112028%
Munoz,0.111062%
Carrasco,0.111062%
Vilca,0.110096%
Guerra,0.109130%
Hidalgo,0.109130%
Lazo,0.109130%
Vidal,0.108164%
Rosales,0.107199%
Apaza,0.106233%
Fernando,0.106233%
Zevallos,0.104301%
Arroyo,0.104301%
Oscar,0.104301%
Zegarra,0.103336%
Christian,0.103336%
Santos,0.102370%
Carpio,0.101404%
Figueroa,0.100438%
Cueva,0.100438%
Peralta,0.100438%
Gamarra,0.098507%
Carbajal,0.098507%
Ortega,0.097541%
Vilchez,0.097541%
