LastName,Percentage
Cruz,0.844835%
Santos,0.619958%
Tan,0.586949%
Reyes,0.557034%
Garcia,0.524025%
Lim,0.473479%
Jr,0.451817%
John,0.410555%
Mendoza,0.347631%
Lee,0.342473%
Mark,0.340410%
Chua,0.331126%
Ramos,0.321842%
Inc,0.291927%
Gonzales,0.279549%
Ong,0.275422%
Maria,0.263044%
Bautista,0.262012%
Lopez,0.252728%
Go,0.243445%
Perez,0.243445%
Villanueva,0.238287%
Fernandez,0.236224%
Flores,0.224877%
Jose,0.212498%
Uy,0.207340%
Ma,0.201151%
Guzman,0.200120%
Castro,0.193930%
Co,0.191867%
Mary,0.187741%
David,0.182583%
Aquino,0.180520%
Francisco,0.178457%
Rosario,0.177426%
Hernandez,0.173299%
Domingo,0.173299%
Sy,0.171236%
Castillo,0.171236%
Rivera,0.168142%
Santiago,0.167110%
Rodriguez,0.162984%
Yu,0.161953%
Torres,0.155763%
Ii,0.150606%
Soriano,0.148542%
Yap,0.148542%
Diaz,0.147511%
Sanchez,0.140290%
Ang,0.140290%
Chan,0.139259%
Martinez,0.138227%
Tolentino,0.137195%
Kim,0.136164%
Dizon,0.135132%
Cordiner,0.132038%
Gutierrez,0.124817%
Ramirez,0.123785%
Mercado,0.123785%
Juan,0.122754%
Ocampo,0.120691%
Leon,0.120691%
Philippines,0.117596%
Michael,0.115533%
Gomez,0.114501%
Javier,0.114501%
Pascual,0.114501%
Miranda,0.111407%
Aguilar,0.108312%
Pineda,0.108312%
Angeles,0.105218%
Morales,0.105218%
Joseph,0.105218%
Dy,0.105218%
Medina,0.104186%
Evangelista,0.102123%
Enriquez,0.100060%
Salvador,0.099028%
Antonio,0.097997%
Navarro,0.095934%
Salazar,0.092839%
Jimenez,0.092839%
Alcantara,0.089744%
Alvarez,0.089744%
Valdez,0.089744%
Luna,0.089744%
Sarmiento,0.087681%
Jan,0.087681%
Padilla,0.086650%
Manalo,0.085618%
Marquez,0.084587%
Martin,0.084587%
Cortez,0.084587%
Manuel,0.083555%
Velasco,0.083555%
Wong,0.083555%
Ng,0.081492%
Jesus,0.081492%
Bernardo,0.081492%
Wang,0.080460%
Valencia,0.079429%
Chavez,0.077366%
Smith,0.076334%
Sison,0.074271%
Paul,0.074271%
Romero,0.073240%
Francis,0.073240%
Roxas,0.072208%
Guevarra,0.072208%
Trinidad,0.072208%
Atienza,0.072208%
Mariano,0.072208%
