LastName,Percentage
Khan,5.998130%
Ali,4.838345%
Ahmed,3.242266%
Ahmad,2.270075%
Hussain,1.915051%
Muhammad,1.478146%
Raza,1.115789%
Iqbal,1.091347%
Rehman,1.055906%
Malik,1.052239%
Shah,1.021075%
Hassan,0.869533%
Abbas,0.849368%
Saleem,0.659330%
Khalid,0.627555%
Mehmood,0.618389%
Shahzad,0.613501%
Saeed,0.573782%
Haider,0.572560%
Syed,0.563394%
Javed,0.562783%
Tariq,0.551173%
Aslam,0.545062%
Butt,0.541396%
Ullah,0.534674%
Qureshi,0.527342%
Mahmood,0.512065%
Farooq,0.489456%
Arshad,0.476624%
Sheikh,0.469902%
Imran,0.460737%
Ashraf,0.452182%
Awan,0.442405%
Shahid,0.438739%
Asif,0.436294%
Usman,0.435072%
Siddiqui,0.421018%
Tahir,0.401464%
Afzal,0.399020%
Bilal,0.389854%
Akhtar,0.375800%
Mughal,0.375189%
Nawaz,0.356246%
Riaz,0.352580%
Akram,0.345247%
Aziz,0.342192%
Baig,0.326915%
Anwar,0.323249%
Nadeem,0.322638%
Abbasi,0.309806%
Rasheed,0.304917%
Naeem,0.304917%
Bhatti,0.304306%
Zafar,0.296362%
Mirza,0.288419%
Rashid,0.287197%
Arif,0.287197%
Rana,0.269476%
Zahid,0.255422%
Hameed,0.247478%
Asghar,0.245645%
Bashir,0.245034%
Sohail,0.243200%
Alam,0.243200%
Shaikh,0.241367%
Nasir,0.240756%
Mustafa,0.240145%
Waqas,0.238312%
Irfan,0.233424%
Amin,0.232813%
Haq,0.232813%
Munir,0.232813%
Yousaf,0.226091%
Akbar,0.221202%
Hashmi,0.214481%
Rizwan,0.212037%
Naveed,0.209592%
Hanif,0.209592%
Anjum,0.202260%
Masood,0.201649%
Mushtaq,0.197982%
Abdullah,0.195538%
Jamil,0.195538%
Sarwar,0.194316%
Ahsan,0.194316%
Amjad,0.192483%
Waheed,0.192483%
Latif,0.188816%
Rafique,0.188205%
Faisal,0.187594%
Zubair,0.186983%
Abid,0.185761%
Nazir,0.184539%
Ch,0.184539%
Hafeez,0.183928%
Hasan,0.182706%
Adnan,0.179040%
Zia,0.177206%
Awais,0.177206%
Javaid,0.174762%
Hamza,0.174151%
Rafiq,0.173540%
Ansari,0.167429%
Memon,0.166207%
Siddique,0.165596%
Habib,0.161930%
Zaman,0.160708%
Shoaib,0.158875%
Rauf,0.157042%
Hayat,0.156430%
Basit,0.156430%
Asad,0.155819%
Chaudhry,0.155819%
Kamran,0.155819%
Umar,0.154597%
Majeed,0.153375%
Zeeshan,0.152153%
Azeem,0.151542%
Rahman,0.150931%
Raja,0.150320%
Salman,0.149709%
Ayub,0.147876%
Shabbir,0.146654%
Azam,0.146042%
Kashif,0.146042%
Bukhari,0.145431%
Shafiq,0.144209%
Waseem,0.144209%
Sultan,0.143598%
Haroon,0.143598%
Zaidi,0.142376%
Umer,0.139321%
Naqvi,0.138710%
Shakeel,0.138710%
Manzoor,0.138099%
Ilyas,0.136877%
Asim,0.136877%
Abdul,0.136266%
Rizvi,0.135043%
Sharif,0.134432%
Murtaza,0.130766%
Umair,0.130155%
Khalil,0.130155%
Amir,0.129544%
Ejaz,0.127100%
Jamal,0.125878%
Rasool,0.125267%
Sajid,0.124656%
Shehzad,0.124656%
Azhar,0.124656%
Noor,0.124044%
Ashfaq,0.124044%
Ikram,0.122822%
Iftikhar,0.122211%
Sajjad,0.122211%
Ijaz,0.121600%
Ghani,0.121600%
Junaid,0.120378%
Gul,0.119156%
