LastName,Percentage
Piotr,0.593201%
Tomasz,0.495347%
Nowak,0.447940%
Krzysztof,0.406610%
Marcin,0.389592%
Kowalski,0.341577%
Maciej,0.250409%
Grzegorz,0.244331%
Wojciech,0.229136%
Kowalczyk,0.226705%
Marek,0.221235%
Mateusz,0.216980%
Adam,0.207256%
Jakub,0.198139%
Wojcik,0.184768%
Wozniak,0.182336%
Wisniewski,0.181729%
Andrzej,0.178690%
Anna,0.176259%
Kaminski,0.174435%
Kamil,0.168965%
Robert,0.167750%
Zielinski,0.164711%
Szymanski,0.159848%
Lewandowski,0.159848%
Artur,0.159241%
Dabrowski,0.159241%
Bartosz,0.148908%
Mariusz,0.148300%
Michal,0.145261%
Kaczmarek,0.140399%
Jacek,0.137360%
Katarzyna,0.134929%
Dawid,0.134321%
Kwiatkowski,0.134321%
Pawel,0.133106%
Grabowski,0.129459%
Piotrowski,0.128851%
Mazur,0.128243%
Kozlowski,0.126420%
Krawczyk,0.126420%
Lukasz,0.126420%
Majewski,0.125812%
Dariusz,0.125204%
Krol,0.120950%
Wieczorek,0.120342%
Jankowski,0.119734%
Agnieszka,0.117911%
Dudek,0.116088%
Wojciechowski,0.113049%
Zajac,0.110617%
Ostrowski,0.110617%
Damian,0.106971%
Pawlak,0.105147%
Pawlowski,0.104540%
Sebastian,0.103324%
Nowicki,0.102716%
Michalski,0.102108%
Walczak,0.102108%
Adamczyk,0.099069%
Daniel,0.098462%
Olszewski,0.097854%
Duda,0.094815%
Jablonski,0.094207%
Jaworski,0.093599%
Gorski,0.090560%
Joanna,0.088129%
Karol,0.088129%
Sikora,0.086306%
Wrobel,0.086306%
Magdalena,0.085090%
Malinowski,0.084483%
Tomaszewski,0.083875%
Nowakowski,0.083267%
Arkadiusz,0.083267%
Rutkowski,0.082659%
Zalewski,0.082659%
Sobczak,0.080836%
Szewczyk,0.080228%
Wroblewski,0.080228%
Marciniak,0.079012%
Sawicki,0.078405%
Wysocki,0.078405%
Witkowski,0.078405%
Wilk,0.077797%
Czarnecki,0.076581%
Zawadzki,0.074150%
Jasinski,0.073542%
Adrian,0.072935%
Dominik,0.072935%
Kucharski,0.072935%
Kalinowski,0.072327%
Pietrzak,0.072327%
Szymon,0.071719%
Sadowski,0.071719%
Michalak,0.071719%
Jakubowski,0.070503%
Bak,0.069288%
Patryk,0.069288%
Stepien,0.068680%
Maciejewski,0.068680%
Chmielewski,0.068680%
Monika,0.067464%
Wlodarczyk,0.067464%
Kowalska,0.066857%
Micha,0.066249%
Borkowski,0.066249%
Konrad,0.065641%
Rafal,0.065033%
Glowacki,0.065033%
Filip,0.064426%
Jan,0.063818%
Wasilewski,0.063818%
Mazurek,0.062602%
Czerwinski,0.060171%
Krajewski,0.060171%
Pawe,0.060171%
Janusz,0.058955%
Karolina,0.058348%
Laskowski,0.058348%
Szczepanski,0.057740%
Aleksandra,0.057132%
Baran,0.057132%
Blaszczyk,0.057132%
Lis,0.057132%
Marta,0.056524%
Markowski,0.056524%
Kazmierczak,0.056524%
Zakrzewski,0.054701%
Mucha,0.054701%
Kowalik,0.054701%
Sokolowski,0.054093%
Jarosz,0.054093%
Kozak,0.054093%
Polak,0.054093%
Makowski,0.053485%
Krupa,0.053485%
Sikorski,0.052878%
Gajewski,0.052270%
Musial,0.052270%
Ewa,0.052270%
Szymczak,0.051662%
Borowski,0.051662%
Lipinski,0.051662%
Szulc,0.051054%
Luczak,0.051054%
Adamski,0.050446%
Dziedzic,0.050446%
Kubiak,0.050446%
Pawlik,0.050446%
Kolodziej,0.049839%
Kania,0.049839%
Leszczynski,0.049839%
Wierzbicki,0.049839%
Czajkowski,0.048015%
Brzezinski,0.048015%
Kowal,0.048015%
Agata,0.047407%
Mazurkiewicz,0.047407%
Majchrzak,0.047407%
Cieslak,0.047407%
Stankiewicz,0.046800%
Wojtowicz,0.046800%
Sosnowski,0.046192%
Ciesielski,0.046192%
Kolodziejczyk,0.046192%
Lech,0.046192%
