LastName,Percentage
Quijano,9.836066%
Alberto,3.278689%
Florio,3.278689%
Mirpuri,3.278689%
Rodriguez,1.639344%
Rojas,1.639344%
Roque,1.639344%
Rolando,1.639344%
Inc,1.639344%
Naturamente,1.639344%
Guy,1.639344%
Guo,1.639344%
Georgios,1.639344%
Garden,1.639344%
Giacomin,1.639344%
Zava,1.639344%
Sviatoslav,1.639344%
Srl,1.639344%
Schwartz,1.639344%
Aanh,1.639344%
Andrea,1.639344%
Aksamit,1.639344%
Artello,1.639344%
Ockham,1.639344%
Montenegro,1.639344%
Masutti,1.639344%
Jose,1.639344%
John,1.639344%
Cabrera,1.639344%
Carlson,1.639344%
Cruz,1.639344%
Com,1.639344%
Cerha,1.639344%
Centro,1.639344%
Cafugauan,1.639344%
Dudley,1.639344%
Valzano,1.639344%
Visperas,1.639344%
Xiao,1.639344%
Espinosa,1.639344%
Bonetti,1.639344%
Belloni,1.639344%
Kurt,1.639344%
Kanarski,1.639344%
Kuizon,1.639344%
Lunghezza,1.639344%
Priginal,1.639344%
Paviotti,1.639344%
Perez,1.639344%
Porz,1.639344%
Privado,1.639344%
Wemb,1.639344%
White,1.639344%
