LastName,Percentage
Rivera,3.502977%
Rodriguez,3.433197%
Gonzalez,2.223670%
Torres,1.921288%
Perez,1.590994%
Ortiz,1.474693%
Lopez,1.465389%
Diaz,1.377000%
Hernandez,1.321176%
Martinez,1.283960%
Cruz,1.158355%
Santiago,1.130443%
Colon,1.097879%
Ramos,1.056010%
Garcia,1.046706%
Vazquez,0.981578%
Morales,0.860625%
Sanchez,0.814105%
Figueroa,0.674544%
Velez,0.674544%
Maldonado,0.618720%
Jose,0.600112%
Reyes,0.586156%
Soto,0.581504%
Medina,0.558243%
Nieves,0.539635%
Fernandez,0.534983%
Ruiz,0.525679%
Rosario,0.516375%
Ramirez,0.511723%
Vega,0.507071%
Santos,0.469855%
Melendez,0.460551%
Rosado,0.432639%
Roman,0.427987%
Alvarez,0.423335%
Jimenez,0.418683%
Pagan,0.418683%
Acevedo,0.404726%
Negron,0.395422%
Guzman,0.390770%
Rios,0.353554%
Juan,0.353554%
Marrero,0.348902%
Flores,0.344250%
Castro,0.339598%
Mercado,0.334946%
Lugo,0.334946%
Miranda,0.325642%
Arroyo,0.316338%
Santana,0.307034%
Rosa,0.302382%
Quinones,0.297730%
Mendez,0.293078%
Delgado,0.283774%
Luis,0.283774%
Inc,0.279122%
Jesus,0.269818%
Ayala,0.255862%
Feliciano,0.255862%
Gomez,0.251210%
Serrano,0.251210%
Cordero,0.246557%
Collazo,0.237253%
Carlos,0.237253%
Vargas,0.232601%
Lebron,0.232601%
Cardona,0.227949%
Irizarry,0.223297%
Berrios,0.218645%
Leon,0.213993%
Suarez,0.209341%
Aponte,0.209341%
Cortes,0.209341%
Ocasio,0.204689%
Cintron,0.204689%
Zayas,0.195385%
Robles,0.190733%
Camacho,0.190733%
Silva,0.186081%
Alicea,0.186081%
Alvarado,0.186081%
Padilla,0.186081%
Carrasquillo,0.181429%
Acosta,0.176777%
Munoz,0.176777%
Velazquez,0.176777%
Baez,0.176777%
Nunez,0.172125%
Bonilla,0.172125%
Otero,0.167473%
Aviles,0.162821%
Romero,0.158169%
Matos,0.158169%
Calderon,0.158169%
Davila,0.158169%
Valentin,0.158169%
Valle,0.158169%
Rojas,0.153517%
Fuentes,0.153517%
Cabrera,0.153517%
Correa,0.153517%
Castillo,0.153517%
Crespo,0.153517%
Agosto,0.148865%
Molina,0.148865%
Jorge,0.148865%
Cotto,0.148865%
Caraballo,0.148865%
Viera,0.148865%
Burgos,0.148865%
Bermudez,0.148865%
Maria,0.139561%
Echevarria,0.139561%
Pabon,0.139561%
Tirado,0.134909%
Sepulveda,0.134909%
Mendoza,0.134909%
Marquez,0.134909%
Montalvo,0.134909%
Rolon,0.130257%
Salgado,0.130257%
Pacheco,0.130257%
Marcano,0.125605%
Dominguez,0.125605%
Nazario,0.120953%
Angel,0.120953%
Cartagena,0.120953%
Vidal,0.120953%
Betancourt,0.120953%
Segarra,0.116301%
Ferrer,0.116301%
Moreno,0.116301%
Carrion,0.116301%
Quiles,0.116301%
Gutierrez,0.111649%
Toro,0.111649%
Arocho,0.111649%
Zapata,0.106997%
Fontanez,0.106997%
Cuevas,0.106997%
Cancel,0.106997%
Lozada,0.106997%
Sosa,0.102345%
Batista,0.102345%
Infopaginas,0.097693%
Navarro,0.097693%
Hector,0.097693%
Montes,0.097693%
Benitez,0.097693%
Guerrero,0.093041%
Sierra,0.093041%
Ortega,0.093041%
Montanez,0.093041%
Malave,0.093041%
Caceres,0.093041%
Victor,0.093041%
Roldan,0.088389%
Rafael,0.088389%
Rico,0.088389%
Gil,0.088389%
Alejandro,0.088389%
Duran,0.088389%
Llc,0.088389%
Pedro,0.088389%
Arce,0.083737%
Merced,0.083737%
Claudio,0.083737%
Laboy,0.083737%
Resto,0.079084%
Rubio,0.079084%
Toledo,0.079084%
Soler,0.079084%
Olmo,0.079084%
Mora,0.079084%
Cedeno,0.079084%
Quintana,0.079084%
Estrada,0.079084%
Aleman,0.074432%
Oliver,0.074432%
Martin,0.074432%
Carrero,0.074432%
Cosme,0.074432%
Barreto,0.074432%
Pierluisi,0.074432%
Trinidad,0.069780%
Adorno,0.069780%
Andino,0.069780%
Fonseca,0.069780%
Herrero,0.069780%
Miguel,0.069780%
Pena,0.069780%
Gracia,0.065128%
Galarza,0.065128%
Arias,0.065128%
Oyola,0.065128%
Osorio,0.065128%
Muniz,0.065128%
Mojica,0.065128%
Caban,0.065128%
Villegas,0.065128%
Vera,0.065128%
Bravo,0.065128%
Luna,0.065128%
Pizarro,0.065128%
Pr,0.065128%
Narvaez,0.060476%
Aquino,0.060476%
Almodovar,0.060476%
Antonio,0.060476%
Alamo,0.060476%
Felix,0.060476%
Ojeda,0.060476%
Marin,0.060476%
Miro,0.060476%
Carmona,0.060476%
Carrillo,0.060476%
Centeno,0.060476%
Varela,0.060476%
Luciano,0.060476%
Ricardo,0.055824%
Tosado,0.055824%
Santa,0.055824%
Sotomayor,0.055824%
Arteaga,0.055824%
Frontera,0.055824%
Olmeda,0.055824%
Oquendo,0.055824%
Oliveras,0.055824%
Jean,0.055824%
Casiano,0.055824%
Ramon,0.051172%
Rivero,0.051172%
Gerena,0.051172%
Guevara,0.051172%
Traverso,0.051172%
Taveras,0.051172%
Amador,0.051172%
Alex,0.051172%
Herrera,0.051172%
Montero,0.051172%
Miller,0.051172%
Juarbe,0.051172%
Escobar,0.051172%
Edwin,0.051172%
Polanco,0.051172%
Roberto,0.046520%
Seda,0.046520%
Sanabria,0.046520%
Smith,0.046520%
Falcon,0.046520%
Huertas,0.046520%
Marti,0.046520%
Jr,0.046520%
Carbonell,0.046520%
Candelaria,0.046520%
Caballero,0.046520%
Villanueva,0.046520%
Villafane,0.046520%
Encarnacion,0.046520%
Laureano,0.046520%
Lara,0.046520%
Pereira,0.046520%
Paniagua,0.046520%
Pantoja,0.046520%
Rivas,0.041868%
Gabriel,0.041868%
Tapia,0.041868%
Alberto,0.041868%
Ana,0.041868%
Francisco,0.041868%
Febus,0.041868%
Olivo,0.041868%
Heredia,0.041868%
Mejias,0.041868%
Media,0.041868%
Millan,0.041868%
Moreira,0.041868%
Joel,0.041868%
Jaime,0.041868%
Cordova,0.041868%
Casanova,0.041868%
Class,0.041868%
Cora,0.041868%
Casillas,0.041868%
Cuadrado,0.041868%
Vicente,0.041868%
Bello,0.041868%
Beltran,0.041868%
Plaza,0.041868%
Pietri,0.041868%
Ponce,0.041868%
Rocafort,0.037216%
Roque,0.037216%
Grajales,0.037216%
Gallardo,0.037216%
Sola,0.037216%
Santini,0.037216%
Salas,0.037216%
Aybar,0.037216%
Alverio,0.037216%
Albino,0.037216%
Abreu,0.037216%
Alonso,0.037216%
Font,0.037216%
Orozco,0.037216%
Ochoa,0.037216%
Hidalgo,0.037216%
Matias,0.037216%
Manuel,0.037216%
Mangual,0.037216%
Menendez,0.037216%
Marcial,0.037216%
Mulero,0.037216%
Javier,0.037216%
Julio,0.037216%
Candelario,0.037216%
Canales,0.037216%
Department,0.037216%
Domenech,0.037216%
Valdes,0.037216%
Virella,0.037216%
Edgardo,0.037216%
Billigue,0.037216%
Pastrana,0.037216%
Planas,0.037216%
Wilfredo,0.037216%
Rovira,0.032564%
Grullon,0.032564%
Guadalupe,0.032564%
Guerra,0.032564%
Totti,0.032564%
Troche,0.032564%
Saad,0.032564%
Serra,0.032564%
Santaliz,0.032564%
Saavedra,0.032564%
Avila,0.032564%
Alemar,0.032564%
Alexander,0.032564%
Frias,0.032564%
Orta,0.032564%
Hernan,0.032564%
Malpica,0.032564%
Medero,0.032564%
Machado,0.032564%
Marie,0.032564%
Mas,0.032564%
Maysonet,0.032564%
Carlo,0.032564%
Corretjer,0.032564%
Carreras,0.032564%
Cardenas,0.032564%
Cubero,0.032564%
Calzada,0.032564%
Clemente,0.032564%
Campos,0.032564%
Dejesus,0.032564%
Deliz,0.032564%
Escudero,0.032564%
El,0.032564%
Barroso,0.032564%
Blanco,0.032564%
Loubriel,0.032564%
Lee,0.032564%
Lamboy,0.032564%
Lajara,0.032564%
Lorenzo,0.032564%
Pedraza,0.032564%
Pastor,0.032564%
William,0.032564%
Rio,0.027912%
Rentas,0.027912%
Reveron,0.027912%
Urrutia,0.027912%
Ivan,0.027912%
Igartua,0.027912%
Nivar,0.027912%
Nogueras,0.027912%
Zambrana,0.027912%
Texidor,0.027912%
Torre,0.027912%
Sandoval,0.027912%
Schmidt,0.027912%
Salcedo,0.027912%
Studio,0.027912%
Algarin,0.027912%
Alexis,0.027912%
Andujar,0.027912%
Albizu,0.027912%
Alemany,0.027912%
Franco,0.027912%
Orama,0.027912%
Mongil,0.027912%
Mena,0.027912%
Matta,0.027912%
Mateo,0.027912%
Mejia,0.027912%
Marte,0.027912%
Charriez,0.027912%
Calderin,0.027912%
Corujo,0.027912%
Casalduc,0.027912%
Christian,0.027912%
Cajigas,0.027912%
Charles,0.027912%
Cruzado,0.027912%
Vallejo,0.027912%
Vizcarrondo,0.027912%
Valenzuela,0.027912%
Quintero,0.027912%
Barcelo,0.027912%
Berdecia,0.027912%
Barrera,0.027912%
Brito,0.027912%
Borrero,0.027912%
Kuilan,0.027912%
Laracuente,0.027912%
Llanos,0.027912%
Pineiro,0.027912%
Parrilla,0.027912%
Porrata,0.027912%
Piereschi,0.027912%
Padro,0.027912%
Peguero,0.027912%
Pineda,0.027912%
Prado,0.027912%
Palacios,0.027912%
Padin,0.027912%
Pinero,0.027912%
Portalatin,0.027912%
Ruben,0.023260%
Restaurant,0.023260%
Rangel,0.023260%
Roche,0.023260%
Navedo,0.023260%
Nieto,0.023260%
