LastName,Percentage
Amassi,4.918033%
Nisandzic,3.278689%
Al-najjar,3.278689%
Abu-sharkh,3.278689%
Husien,3.278689%
Qasrawi,3.278689%
Roni,1.639344%
Ranamousa,1.639344%
Ibrahim,1.639344%
Nasereddin,1.639344%
Najjar,1.639344%
Ghannam,1.639344%
Zebida,1.639344%
Tawil,1.639344%
Sandoukah,1.639344%
Sehwail,1.639344%
Shayeb,1.639344%
Salhab,1.639344%
Saidismail,1.639344%
Shaka,1.639344%
Salameh,1.639344%
Sabawi,1.639344%
Sabobeh,1.639344%
Abu-asheh,1.639344%
Abdul-latif,1.639344%
Amad,1.639344%
Abu-shaaban,1.639344%
Abushahla,1.639344%
Anabtawi,1.639344%
Abusamra,1.639344%
Hantoli,1.639344%
Hamati,1.639344%
Halaseh,1.639344%
Mani,1.639344%
Manasra,1.639344%
Mustafa,1.639344%
Maslamani,1.639344%
Maayah,1.639344%
Mousa,1.639344%
Jarjawi,1.639344%
Quffa,1.639344%
Qumsieh,1.639344%
Qasemdonbuk,1.639344%
Barham,1.639344%
Ba,1.639344%
Baramki,1.639344%
Baransi,1.639344%
Khatib,1.639344%
Kehail,1.639344%
Kaloub,1.639344%
Kilani,1.639344%
Younes,1.639344%
Younan,1.639344%
Plunkett,1.639344%
