LastName,Percentage
Lda,6.141390%
Silva,2.976309%
Santos,1.976865%
Ferreira,1.757679%
Pereira,1.741948%
Costa,1.555274%
Oliveira,1.487106%
Rodrigues,1.394817%
Martins,1.181924%
Fernandes,1.179827%
Sousa,1.043491%
Carvalho,0.997347%
Lopes,0.980567%
Ribeiro,0.959592%
Almeida,0.952251%
Gomes,0.896668%
Pinto,0.854719%
Marques,0.747748%
Alves,0.743553%
Goncalves,0.732017%
Dias,0.671190%
Teixeira,0.659654%
Correia,0.623997%
Cardoso,0.595681%
Mendes,0.554781%
Reis,0.491857%
Vieira,0.490808%
Monteiro,0.486613%
Duarte,0.477174%
Rocha,0.465638%
Soares,0.452005%
Jose,0.449907%
Sa,0.448858%
Moreira,0.447810%
Pedro,0.436274%
Coelho,0.428932%
Nunes,0.418445%
Joao,0.416348%
Ramos,0.394324%
Castro,0.392227%
Fonseca,0.390129%
Cunha,0.380691%
Cruz,0.371252%
Neves,0.364960%
Freitas,0.360765%
Machado,0.359716%
Figueiredo,0.355521%
Luis,0.349229%
Lima,0.331400%
Matos,0.317767%
Pires,0.304133%
Araujo,0.300987%
Miguel,0.300987%
Antunes,0.288402%
Paulo,0.288402%
Tavares,0.286305%
Antonio,0.285256%
Azevedo,0.280012%
Maria,0.276866%
Barbosa,0.276866%
Andrade,0.257989%
Ana,0.247501%
Jorge,0.245404%
Lourenco,0.244355%
Campos,0.242258%
Rui,0.233868%
Carlos,0.232819%
Pinheiro,0.227575%
Miranda,0.226527%
Guerreiro,0.221283%
Portugal,0.218137%
Melo,0.214991%
Magalhaes,0.213942%
Rosa,0.210796%
Simoes,0.210796%
Henriques,0.210796%
Brito,0.208698%
Faria,0.199260%
Barros,0.197162%
Nuno,0.196113%
Abreu,0.192967%
Moura,0.192967%
Francisco,0.190870%
Afonso,0.188772%
Leite,0.187724%
Ricardo,0.183529%
Morais,0.176187%
Batista,0.176187%
Filipe,0.175139%
Mota,0.175139%
Borges,0.167798%
Baptista,0.167798%
Nogueira,0.162554%
Jesus,0.160456%
Amaral,0.158359%
Maia,0.158359%
Branco,0.158359%
Pinho,0.156261%
Garcia,0.155213%
Nascimento,0.153115%
Neto,0.153115%
Vasconcelos,0.151018%
Gouveia,0.149969%
Tiago,0.149969%
Cabral,0.148920%
Manuel,0.144725%
Vaz,0.143677%
Couto,0.142628%
Aguiar,0.137384%
Carneiro,0.137384%
Bastos,0.134238%
Leal,0.134238%
Loureiro,0.133189%
Bento,0.131092%
Pacheco,0.128994%
Rebelo,0.126897%
Amorim,0.125848%
Macedo,0.125848%
Domingues,0.125848%
Esteves,0.125848%
Gaspar,0.123751%
Saraiva,0.120604%
Coutinho,0.119556%
Peixoto,0.119556%
Franco,0.118507%
Alexandre,0.117458%
Caetano,0.116410%
Guimaraes,0.115361%
Matias,0.115361%
Cordeiro,0.115361%
Vicente,0.115361%
Torres,0.114312%
Madeira,0.114312%
Diogo,0.113263%
Mateus,0.111166%
Mesquita,0.109068%
Bruno,0.109068%
Barata,0.106971%
Leitao,0.106971%
Valente,0.105922%
Andre,0.104873%
Paiva,0.104873%
Guedes,0.103825%
Albuquerque,0.101727%
Fernando,0.100679%
Viana,0.097532%
Daniel,0.095435%
Domingos,0.095435%
Bernardo,0.095435%
Ramalho,0.092289%
Godinho,0.092289%
Sampaio,0.091240%
Mendonca,0.090191%
Lemos,0.090191%
Pais,0.089142%
Braga,0.088094%
Pimenta,0.087045%
Freire,0.085996%
David,0.084948%
Ventura,0.084948%
Raposo,0.083899%
Gil,0.083899%
Souza,0.083899%
Hugo,0.083899%
Sequeira,0.082850%
Palma,0.082850%
Caldeira,0.078655%
Morgado,0.077606%
Korotkov,0.077606%
Pina,0.077606%
Guerra,0.075509%
Trindade,0.075509%
Varela,0.075509%
Barreto,0.075509%
Barroso,0.075509%
Vitor,0.073411%
Carreira,0.072363%
Nobre,0.071314%
Amaro,0.071314%
Joaquim,0.071314%
Veiga,0.070265%
Patricio,0.070265%
Martinho,0.069216%
Brandao,0.069216%
Rego,0.068168%
Sergio,0.068168%
Viegas,0.068168%
Lucas,0.068168%
Figueira,0.067119%
Roque,0.066070%
Graca,0.066070%
Felix,0.066070%
Medeiros,0.066070%
Dinis,0.063973%
Silveira,0.062924%
Lobo,0.062924%
Inacio,0.060827%
Santana,0.060827%
Serra,0.060827%
Ferraz,0.060827%
Coimbra,0.060827%
Lisboa,0.060827%
Teles,0.059778%
Chaves,0.059778%
Pimentel,0.059778%
Romao,0.058729%
Grilo,0.058729%
Augusto,0.058729%
Menezes,0.057680%
Marco,0.057680%
Vale,0.056632%
Mario,0.055583%
Carmo,0.055583%
Veloso,0.055583%
Eduardo,0.055583%
Belo,0.055583%
Pedrosa,0.055583%
Faustino,0.054534%
Cerqueira,0.054534%
Associacao,0.053485%
Botelho,0.053485%
Luz,0.053485%
Serrano,0.052437%
Marinho,0.051388%
Rafael,0.050339%
Gama,0.050339%
Farinha,0.050339%
Delgado,0.050339%
Paula,0.050339%
Pestana,0.050339%
Catarino,0.049291%
Salvador,0.048242%
Fontes,0.048242%
Cristina,0.048242%
Horta,0.047193%
Moutinho,0.047193%
Junior,0.047193%
Camacho,0.047193%
Vilela,0.047193%
Peres,0.047193%
Resende,0.046144%
Silvestre,0.046144%
Abrantes,0.046144%
Xavier,0.046144%
Gabriel,0.045096%
Salgado,0.045096%
Meireles,0.045096%
Cabrita,0.045096%
Leao,0.045096%
Pontes,0.045096%
Calado,0.044047%
Goncalo,0.042998%
Alberto,0.042998%
Vitorino,0.042998%
Queiros,0.042998%
Quaresma,0.042998%
Ponte,0.042998%
Passos,0.042998%
Dobrescu,0.041949%
Tome,0.040901%
Simao,0.040901%
Sobral,0.040901%
Anjos,0.040901%
Salgueiro,0.039852%
Mestre,0.039852%
Bernardes,0.039852%
Portela,0.039852%
Pessoa,0.039852%
Porto,0.039852%
Ruivo,0.038803%
Tomas,0.038803%
Angelo,0.038803%
Ferro,0.038803%
Frade,0.038803%
Marta,0.038803%
Cesar,0.038803%
Barreira,0.038803%
Perdigao,0.038803%
Agostinho,0.037754%
Furtado,0.037754%
Fialho,0.037754%
Mascarenhas,0.037754%
Moreno,0.037754%
Candeias,0.037754%
Castanheira,0.037754%
Bettencourt,0.037754%
Geraldes,0.036706%
Aleixo,0.036706%
Flores,0.036706%
Queiroz,0.036706%
Bras,0.036706%
Lino,0.036706%
Louro,0.036706%
Rosado,0.035657%
Nobrega,0.035657%
Galvao,0.035657%
Santo,0.035657%
Cavaco,0.035657%
Biggs,0.035657%
Seabra,0.034608%
Ferrao,0.034608%
Camara,0.034608%
Custodio,0.034608%
Crespo,0.034608%
Vasco,0.034608%
Barradas,0.034608%
Pt,0.034608%
Susana,0.033560%
Henrique,0.033560%
Quintas,0.033560%
Braz,0.033560%
Bernardino,0.033560%
Gameiro,0.032511%
Fidalgo,0.032511%
Mata,0.032511%
Diniz,0.032511%
Paulino,0.032511%
Raimundo,0.031462%
Unipessoal,0.031462%
Seixas,0.031462%
Falcao,0.031462%
Fragoso,0.031462%
Meira,0.031462%
Clemente,0.031462%
Dantas,0.031462%
Rita,0.030413%
Novais,0.030413%
Nelson,0.030413%
Smith,0.030413%
Carla,0.030413%
Bessa,0.030413%
Parreira,0.030413%
Paixao,0.030413%
Narciso,0.029365%
Trigo,0.029365%
Sardinha,0.029365%
Aires,0.029365%
Assuncao,0.029365%
Fabio,0.029365%
Franca,0.029365%
Farias,0.029365%
Marcos,0.029365%
Mira,0.029365%
Lacerda,0.029365%
Pedroso,0.029365%
Rosario,0.028316%
Santiago,0.028316%
Mauricio,0.028316%
Maciel,0.028316%
Vidal,0.028316%
Encarnacao,0.028316%
Prata,0.028316%
Rl,0.027267%
Isabel,0.027267%
Sacramento,0.027267%
Sarmento,0.027267%
Sandra,0.027267%
Amado,0.027267%
Helder,0.027267%
Joana,0.027267%
Caldas,0.027267%
Casimiro,0.027267%
Verissimo,0.027267%
Serrao,0.026218%
Sanches,0.026218%
Semedo,0.026218%
Agency,0.026218%
Alfaiate,0.026218%
Jardim,0.026218%
Colaco,0.026218%
Rodriguez,0.025170%
Roberto,0.025170%
Rei,0.025170%
Rodrigo,0.025170%
Mourato,0.025170%
Meneses,0.025170%
