LastName,Percentage
Gonzalez,2.011335%
Benitez,1.189021%
Martinez,1.155684%
Rodriguez,0.877875%
Lopez,0.877875%
Torres,0.755640%
Diaz,0.744527%
Juan,0.733415%
Gomez,0.677853%
Vera,0.666741%
Duarte,0.622291%
Fernandez,0.611179%
Caceres,0.600067%
Ramirez,0.577842%
Ayala,0.577842%
Ferreira,0.555617%
Jose,0.544505%
Villalba,0.522280%
Romero,0.511168%
Gimenez,0.511168%
Caballero,0.511168%
Galeano,0.500056%
Ortiz,0.488943%
Pereira,0.488943%
Franco,0.477831%
Luis,0.466719%
Acosta,0.455606%
Fleitas,0.455606%
Cardozo,0.455606%
Amarilla,0.433381%
Barrios,0.411157%
Rojas,0.400044%
Carlos,0.400044%
Rolon,0.388932%
Sanchez,0.366707%
Medina,0.355595%
Jara,0.355595%
Velazquez,0.355595%
Espinola,0.355595%
Bogado,0.355595%
Sosa,0.344483%
Garcia,0.333370%
Ruiz,0.322258%
Aquino,0.311146%
Aguilera,0.311146%
Victor,0.300033%
Baez,0.300033%
Olmedo,0.288921%
Maria,0.288921%
Alonso,0.266696%
Jorge,0.266696%
Valdez,0.266696%
Maldonado,0.255584%
Cabral,0.255584%
Arguello,0.244472%
Alvarez,0.244472%
Meza,0.244472%
Chamorro,0.244472%
Delgado,0.244472%
Paredes,0.244472%
Peralta,0.244472%
Rivas,0.233359%
Riveros,0.233359%
Toyotoshi,0.233359%
Silva,0.233359%
Melgarejo,0.233359%
Kargus,0.233359%
Garcete,0.222247%
Troche,0.222247%
Britez,0.222247%
Rodas,0.211135%
Rios,0.211135%
Garay,0.211135%
Fernando,0.211135%
Miguel,0.211135%
Escobar,0.211135%
Diego,0.200022%
Vazquez,0.200022%
Estigarribia,0.200022%
Lugo,0.200022%
Ramos,0.188910%
Guerrero,0.188910%
Segovia,0.188910%
Sanabria,0.188910%
Salomon,0.188910%
Arce,0.188910%
Morales,0.188910%
Centurion,0.188910%
Perez,0.188910%
Riquelme,0.177798%
Insfran,0.177798%
Godoy,0.177798%
Flores,0.177798%
Davalos,0.177798%
Rodrigo,0.166685%
Aguero,0.166685%
Alejandro,0.166685%
Alvarenga,0.166685%
Mendoza,0.166685%
Morel,0.166685%
Noguera,0.155573%
Gustavo,0.155573%
Gamarra,0.155573%
Santacruz,0.155573%
Arevalos,0.155573%
Avalos,0.155573%
Fretes,0.155573%
Molinas,0.155573%
Marin,0.155573%
Miranda,0.155573%
Mario,0.155573%
Cabrera,0.155573%
Colman,0.155573%
Villagra,0.155573%
