LastName,Percentage
Popa,0.833695%
Popescu,0.750628%
Pop,0.534665%
Radu,0.498926%
Ionescu,0.462845%
Dumitru,0.371982%
Stoica,0.350939%
Stan,0.343907%
Gheorghe,0.327605%
Mihai,0.306904%
Rusu,0.304376%
Matei,0.303348%
Munteanu,0.302874%
Serban,0.294051%
Stefan,0.286177%
Marin,0.285650%
Lazar,0.274431%
Ciobanu,0.267978%
Vasile,0.264949%
Florea,0.264739%
Moldovan,0.263501%
Stanciu,0.260972%
Oprea,0.257022%
Ilie,0.256232%
Andrei,0.251517%
Tudor,0.247830%
Dinu,0.244670%
Dumitrescu,0.239271%
Cristea,0.235162%
Toma,0.231738%
Ionita,0.226155%
Ungureanu,0.224733%
Sandu,0.224206%
Barbu,0.222995%
Neagu,0.221230%
Anghel,0.221046%
Ion,0.215831%
Dragomir,0.209431%
Vlad,0.207983%
Nagy,0.204058%
Muresan,0.201372%
Georgescu,0.199607%
Cojocaru,0.197474%
Tanase,0.194814%
Mocanu,0.194445%
Enache,0.190837%
Iordache,0.189968%
Craciun,0.186149%
Lupu,0.185122%
Balan,0.184990%
Grigore,0.184306%
Badea,0.184227%
Dobre,0.183015%
Voicu,0.182014%
Szabo,0.181988%
Nicolae,0.181935%
Coman,0.179644%
Ivan,0.179407%
Petre,0.176694%
Iancu,0.175272%
Radulescu,0.174824%
Ene,0.174798%
Lungu,0.173165%
Preda,0.171927%
Roman,0.170268%
Manea,0.168345%
Marinescu,0.162051%
Bucur,0.159286%
Stoian,0.158232%
Iacob,0.158074%
Nistor,0.158048%
David,0.157574%
Filip,0.156494%
Olteanu,0.156362%
Pavel,0.154334%
Avram,0.152570%
Simion,0.150937%
Dragan,0.150542%
Nita,0.150384%
Rosu,0.149910%
Alexandru,0.149462%
Marcu,0.149199%
Bogdan,0.148382%
Luca,0.148250%
Petrescu,0.147513%
Diaconu,0.146091%
Suciu,0.144326%
Kovacs,0.144168%
Costea,0.143668%
Calin,0.142114%
Rotaru,0.139401%
Zaharia,0.138374%
