LastName,Percentage
Ivanov,0.781865%
Ltd,0.641788%
Aleksandr,0.522585%
Sergey,0.510010%
Andrey,0.448648%
Petrov,0.380747%
Llc,0.377478%
Vladimir,0.345288%
Alexander,0.305051%
Dmitry,0.302787%
Smirnov,0.301530%
Popov,0.280908%
Denis,0.266070%
Alexey,0.263053%
Igor,0.257017%
Oleg,0.251736%
Pavel,0.249473%
Dmitriy,0.237904%
Anton,0.233880%
Ivan,0.231114%
Roman,0.228851%
Aleksey,0.228096%
Kuznetsov,0.217785%
Elena,0.204457%
Aleksandrovich,0.201188%
Mikhail,0.198421%
Konstantin,0.195152%
Olga,0.177548%
Vladimirovich,0.173021%
Maksim,0.170506%
Sokolov,0.169249%
Evgeniy,0.164722%
Fedorov,0.163716%
Volkov,0.163213%
Artem,0.161956%
Sergej,0.155417%
Aleksej,0.153657%
Ivanova,0.152903%
Pavlov,0.150639%
Sergeevich,0.149633%
Ilya,0.148376%
Novikov,0.147370%
Morozov,0.142340%
Anna,0.140077%
Romanov,0.138819%
Ekaterina,0.137562%
Dmitrij,0.136305%
Andreev,0.132281%
Irina,0.130772%
Sergeev,0.130017%
Semenov,0.128257%
Kozlov,0.127251%
Orlov,0.126245%
Nikolay,0.123982%
Kirill,0.122976%
Lebedev,0.120461%
Stepanov,0.118952%
Makarov,0.118198%
Andrej,0.115683%
Nikitin,0.114425%
Person,0.113671%
Sidorov,0.112162%
Egorov,0.111659%
Frolov,0.109647%
Vadim,0.109396%
Vasilev,0.107887%
Nikolaev,0.107384%
Jsc,0.107384%
Svetlana,0.106881%
Maxim,0.106629%
Borisov,0.102354%
Kuzmin,0.096821%
Tatyana,0.096067%
Nikolaevich,0.095816%
Alexandr,0.095816%
Kovalev,0.095313%
Stanislav,0.093301%
Alekseev,0.093301%
Tarasov,0.092295%
Viktorovich,0.092043%
Antonov,0.091037%
Dmitriev,0.090534%
Viktor,0.089780%
Mihail,0.088523%
Belov,0.087265%
Ruslan,0.085505%
Vladislav,0.085505%
Kiselev,0.085253%
Nikita,0.085002%
Evgeny,0.083996%
Zakharov,0.082990%
Gusev,0.081732%
Sorokin,0.081229%
Smirnova,0.080726%
Zhukov,0.080224%
Marina,0.079721%
Melnikov,0.078715%
Denisov,0.078715%
Kovalenko,0.078715%
Baranov,0.077960%
Medvedev,0.077709%
Korolev,0.076954%
Kalinin,0.076451%
Bogdanov,0.076200%
Natalya,0.075445%
Mironov,0.075194%
Yakovlev,0.075194%
Matveev,0.074942%
Shevchenko,0.074691%
Evgenij,0.074691%
Vlasov,0.073433%
Danilov,0.073182%
Filippov,0.072930%
Sergei,0.072679%
Kolesnikov,0.072428%
Kulikov,0.072176%
Petrova,0.071673%
Osipov,0.070416%
Karpov,0.070164%
Abramov,0.069410%
Vyacheslav,0.069158%
