LastName,Percentage
Ltd,1.207349%
Claude,1.102362%
Rwanda,0.997375%
Jean,0.839895%
Innocent,0.787402%
Emmanuel,0.787402%
Willy,0.734908%
Isaac,0.682415%
Muhire,0.577428%
Eric,0.577428%
Baraka,0.577428%
Pacifique,0.577428%
Habumugisha,0.524934%
Christian,0.524934%
Olivier,0.472441%
Mugira,0.472441%
Ndizihiwe,0.419948%
Richard,0.367454%
Rutabingwa,0.367454%
Rukundo,0.367454%
Ngabonziza,0.367454%
Gilbert,0.367454%
Munyaneza,0.367454%
Kaminka,0.367454%
Lwanzo,0.367454%
Roger,0.314961%
Nkubito,0.314961%
Gatera,0.314961%
Fabrice,0.314961%
Mugarura,0.314961%
Mandel,0.314961%
Eugene,0.314961%
Beyonde,0.314961%
Paul,0.314961%
Rugambwa,0.262467%
Niyonsaba,0.262467%
Niyonzima,0.262467%
Niwizera,0.262467%
Nizeyimana,0.262467%
Savio,0.262467%
Aime,0.262467%
Anicet,0.262467%
Habineza,0.262467%
Mutsindashyaka,0.262467%
Martin,0.262467%
Mushimiyimana,0.262467%
Mugisha,0.262467%
Jimmy,0.262467%
Davis,0.262467%
Byiringiro,0.262467%
Kalinijabo,0.262467%
Kwizera,0.262467%
Ruhigisha,0.209974%
Ishimwe,0.209974%
Ntampaka,0.209974%
Ntirushwa,0.209974%
Ngabo,0.209974%
Ngarambe,0.209974%
Nsengimana,0.209974%
Nduwayezu,0.209974%
Ntukanyagwe,0.209974%
Nshimiyimana,0.209974%
Gatete,0.209974%
Guillaume,0.209974%
Gakuba,0.209974%
Gakumba,0.209974%
Amur,0.209974%
Aganze,0.209974%
Alexis,0.209974%
Abuya,0.209974%
Fabien,0.209974%
Faustin,0.209974%
Hakizimana,0.209974%
Hotel,0.209974%
Habimana,0.209974%
Michel,0.209974%
Munyemana,0.209974%
Mizero,0.209974%
Manishimwe,0.209974%
Mbaraga,0.209974%
Janvier,0.209974%
Justin,0.209974%
Clement,0.209974%
Baptiste,0.209974%
Kamana,0.209974%
Kariningufu,0.209974%
Rwiyereka,0.157480%
Rushema,0.157480%
Rwabigwi,0.157480%
Rwamasirabo,0.157480%
Ruvurajabo,0.157480%
Uwamahoro,0.157480%
Ukuri,0.157480%
Uwayezu,0.157480%
Investment,0.157480%
Idriss,0.157480%
Nsabimana,0.157480%
Nsanzimana,0.157480%
Ntalindwa,0.157480%
Niameogo,0.157480%
Nzeyimana,0.157480%
Nashera,0.157480%
Nduwawe,0.157480%
Nganga,0.157480%
Ngirinshuti,0.157480%
Ngiruwonsanga,0.157480%
Niyibizi,0.157480%
Niyigena,0.157480%
Ngoga,0.157480%
Nkomeje,0.157480%
Gakuru,0.157480%
Gafaranga,0.157480%
Terimbere,0.157480%
Twizerimana,0.157480%
Sebera,0.157480%
Sanchez,0.157480%
Samuel,0.157480%
Sangano,0.157480%
Abiyi,0.157480%
Alnaamani,0.157480%
Adolphe,0.157480%
Aimable,0.157480%
Alleluia,0.157480%
Atekhera,0.157480%
Anjichi,0.157480%
Ali,0.157480%
Fred,0.157480%
Haguma,0.157480%
Havugimana,0.157480%
Mashukano,0.157480%
Manzi,0.157480%
Mwebaze,0.157480%
Mcdowellin,0.157480%
Munyeshyaka,0.157480%
Mutabazi,0.157480%
Maina,0.157480%
Musahara,0.157480%
Merali,0.157480%
Muyombya,0.157480%
Jmv,0.157480%
James,0.157480%
Julius,0.157480%
Jacques,0.157480%
John,0.157480%
Cedric,0.157480%
Dawn,0.157480%
Dushime,0.157480%
Denis,0.157480%
Deo,0.157480%
David,0.157480%
Didier,0.157480%
Dieudonne,0.157480%
Etienne,0.157480%
Berchimas,0.157480%
Bizimana,0.157480%
Blaise,0.157480%
Buzizi,0.157480%
Kayitesi,0.157480%
Kigali,0.157480%
Kamufozi,0.157480%
Kimani,0.157480%
Luc,0.157480%
Laabs,0.157480%
Leow,0.157480%
Liambi,0.157480%
Lolio,0.157480%
Patience,0.157480%
Patrick,0.157480%
Placide,0.157480%
Pierre,0.157480%
William,0.157480%
Romeo,0.104987%
Rwamwenge,0.104987%
