LastName,Percentage
Ali,1.332903%
Ahmed,1.256495%
Mohammed,0.937277%
Alharbi,0.910110%
Khan,0.855775%
Alghamdi,0.769179%
Abdullah,0.623153%
Alzahrani,0.489014%
Alqahtani,0.465243%
Alotaibi,0.451659%
Mohamed,0.444867%
Ibrahim,0.412606%
Hussain,0.400720%
Hassan,0.395626%
Ahmad,0.388834%
Saleh,0.385438%
Alshehri,0.359969%
Saeed,0.268279%
Almutairi,0.251299%
Almalki,0.247903%
Alshammari,0.244507%
Saad,0.236017%
Mahmoud,0.230923%
Khalid,0.219038%
Salem,0.215642%
Mohammad,0.208850%
Alanazi,0.202058%
Alamri,0.200360%
Omar,0.188474%
Fahad,0.159609%
Co,0.154515%
Est,0.147723%
Mustafa,0.144327%
Alharthi,0.142629%
Abdul,0.140931%
Abbas,0.139233%
Mansour,0.139233%
Hasan,0.137535%
Syed,0.134139%
Abdulaziz,0.134139%
Rahman,0.130743%
Muhammad,0.130743%
Nasser,0.127347%
Iqbal,0.125649%
Saud,0.125649%
Ismail,0.123952%
Asiri,0.120556%
Awad,0.117160%
Ksa,0.117160%
Abdulrahman,0.115462%
Khaled,0.112066%
Salah,0.110368%
Sultan,0.110368%
Yousef,0.110368%
Taha,0.106972%
Aljohani,0.105274%
Host,0.105274%
Harbi,0.103576%
Hamed,0.103576%
Aziz,0.101878%
Alamoudi,0.100180%
Alsayed,0.100180%
Osman,0.100180%
Khalil,0.098482%
Alshahrani,0.096784%
Shah,0.095086%
Alqarni,0.095086%
Al,0.095086%
Alsharif,0.095086%
Malik,0.091690%
Tech,0.089992%
Siddiqui,0.089992%
Alsubaie,0.089992%
Faisal,0.089992%
Eid,0.088294%
Sheikh,0.086596%
Sayed,0.086596%
Alsaleh,0.086596%
Jaber,0.086596%
Ghamdi,0.084898%
Suliman,0.084898%
Saleem,0.084898%
Othman,0.084898%
Hamdan,0.084898%
Islam,0.083200%
Kamal,0.083200%
Soliman,0.079804%
Alshareef,0.079804%
Tahir,0.078106%
Saif,0.078106%
Alhazmi,0.078106%
Alenazi,0.078106%
Ashraf,0.078106%
Alzhrani,0.078106%
Hamza,0.078106%
Adel,0.076408%
Aldossary,0.076408%
Elsayed,0.076408%
Rashed,0.074710%
Sa,0.074710%
Algarni,0.074710%
Alyahya,0.074710%
Otaibi,0.074710%
Hamad,0.074710%
It,0.073013%
Net,0.073013%
Alyami,0.073013%
Alrasheed,0.073013%
Anwar,0.073013%
Basha,0.073013%
Habib,0.071315%
Jamal,0.071315%
Sulaiman,0.069617%
Alsaif,0.069617%
Alahmadi,0.069617%
Alam,0.069617%
Mostafa,0.069617%
Shaikh,0.067919%
Amin,0.067919%
Alnasser,0.067919%
Hakami,0.067919%
Samir,0.066221%
Abdallah,0.066221%
Alrashed,0.066221%
Hammad,0.066221%
Hameed,0.066221%
Mohsen,0.066221%
Com,0.066221%
Alshaikh,0.064523%
Alasmari,0.064523%
Alajmi,0.064523%
Alhaddad,0.064523%
Alanzi,0.064523%
Dr,0.064523%
Alkhaldi,0.062825%
Alhajri,0.062825%
Aldosari,0.062825%
