LastName,Percentage
Ahmed,8.126195%
Mohamed,3.441683%
Hassan,2.581262%
Mohammed,2.485660%
Ibrahim,1.625239%
Ali,1.434034%
Osman,1.338432%
Salih,1.147228%
Abdalla,1.147228%
Mustafa,1.147228%
Omer,0.956023%
Kamal,0.956023%
Mahmoud,0.860421%
Awad,0.764818%
Abbas,0.669216%
Khatmey,0.669216%
Ashraf,0.573614%
Khalid,0.573614%
Yasir,0.573614%
Yousif,0.573614%
Taha,0.478011%
Amal,0.478011%
Osama,0.478011%
Mahgoub,0.478011%
Elhassan,0.478011%
Khalil,0.478011%
Waleed,0.478011%
Rami,0.382409%
Tech,0.382409%
Sudan,0.382409%
Abdelrahim,0.382409%
Abdelrahman,0.382409%
Hamid,0.382409%
Hamed,0.382409%
Man,0.382409%
Clive,0.382409%
Elamin,0.382409%
Elkheir,0.382409%
Badraldeen,0.382409%
Ramy,0.286807%
Idris,0.286807%
Izzeldin,0.286807%
Tarig,0.286807%
Saad,0.286807%
Salah,0.286807%
Suliman,0.286807%
Abdallah,0.286807%
Abdelwahab,0.286807%
Abubaker,0.286807%
Abubakr,0.286807%
Adam,0.286807%
Farah,0.286807%
Faris,0.286807%
Faisal,0.286807%
Haitham,0.286807%
Mohammad,0.286807%
Musa,0.286807%
Mansour,0.286807%
Mubarak,0.286807%
Co,0.286807%
Dinodiya,0.286807%
Elrayah,0.286807%
Essam,0.286807%
Bashir,0.286807%
Babiker,0.286807%
Khalifa,0.286807%
Rashid,0.191205%
Ramis,0.191205%
It,0.191205%
Ishag,0.191205%
Imam,0.191205%
Nchvp,0.191205%
Nadir,0.191205%
Ghandour,0.191205%
Gurashi,0.191205%
Gassim,0.191205%
Gaffar,0.191205%
Zhang,0.191205%
Samah,0.191205%
Sudafax,0.191205%
Adnan,0.191205%
Alsiddig,0.191205%
Ahmedsosal,0.191205%
Ameen,0.191205%
Adem,0.191205%
Alsadiq,0.191205%
Ajeeb,0.191205%
Abubaida,0.191205%
Abdul,0.191205%
App,0.191205%
Azza,0.191205%
Alhaddad,0.191205%
Abdelmageed,0.191205%
Almogtaba,0.191205%
Alhaj,0.191205%
Alnoor,0.191205%
Atta,0.191205%
Abdulrahim,0.191205%
Aljompolaty,0.191205%
Alhassan,0.191205%
Abd,0.191205%
Fawaz,0.191205%
Fwaz,0.191205%
Organization,0.191205%
Obeid,0.191205%
Hussein,0.191205%
