LastName,Percentage
Andersson,2.050204%
Johansson,1.860791%
Karlsson,1.343287%
Nilsson,1.311396%
Eriksson,1.100722%
Larsson,1.068831%
Persson,0.912276%
Olsson,0.897780%
Svensson,0.803073%
Jonsson,0.575004%
Gustafsson,0.528134%
Pettersson,0.505424%
Ab,0.485130%
Hansson,0.401537%
Jansson,0.369646%
Carlsson,0.362881%
Lindberg,0.294267%
Bengtsson,0.287985%
Lindgren,0.260443%
Olofsson,0.226619%
Magnusson,0.219855%
Petersson,0.219855%
Lundgren,0.218888%
Axelsson,0.216955%
Berg,0.216955%
Lundberg,0.214539%
Gustavsson,0.208741%
Berglund,0.186031%
Forsberg,0.183132%
Lundin,0.180716%
Fredriksson,0.175884%
Sandberg,0.169602%
Mattsson,0.162837%
Holm,0.161871%
Jakobsson,0.160905%
Eklund,0.155589%
Wallin,0.154140%
Lindqvist,0.152690%
Danielsson,0.150274%
Bergman,0.150274%
Lind,0.145442%
Henriksson,0.143509%
Lindstrom,0.136262%
Nyberg,0.133362%
Holmgren,0.132879%
Lundqvist,0.130463%
Holmberg,0.123698%
Gunnarsson,0.122732%
Bergstrom,0.118383%
Samuelsson,0.116934%
Arvidsson,0.116450%
Falk,0.115001%
Dahl,0.114034%
Lindholm,0.112102%
Isaksson,0.111135%
Johnsson,0.110169%
Eliasson,0.109202%
Fransson,0.108719%
Dahlberg,0.108719%
Nordin,0.102438%
Hansen,0.102438%
Blomqvist,0.102438%
Ericsson,0.101955%
Hermansson,0.100022%
Bergqvist,0.098089%
Hedlund,0.096639%
Sundberg,0.096156%
Ekman,0.094707%
Nyman,0.094223%
Norberg,0.092774%
Department,0.092291%
Andreasson,0.090358%
Sjoberg,0.089875%
Abrahamsson,0.089875%
Lindahl,0.089875%
Palm,0.087459%
Hallberg,0.086492%
Lindblom,0.086492%
Jensen,0.085526%
Englund,0.085043%
Ohlsson,0.084559%
Stenberg,0.082627%
Ek,0.082627%
Lund,0.080211%
Borg,0.079727%
Engstrom,0.079244%
Blom,0.078761%
Martinsson,0.078278%
Wiklund,0.075862%
Adolfsson,0.075379%
Hedberg,0.074412%
Edlund,0.074412%
Friberg,0.073929%
Jonasson,0.073929%
Ivarsson,0.073446%
Paulsson,0.073446%
Skoglund,0.072963%
Josefsson,0.071996%
Ali,0.071513%
Nordstrom,0.071030%
Strand,0.071030%
Soderberg,0.071030%
Lindell,0.070064%
Hakansson,0.069580%
Claesson,0.068131%
Aberg,0.067648%
Nielsen,0.067164%
Ottosson,0.067164%
Hedman,0.067164%
Lindh,0.067164%
Erlandsson,0.066681%
Nygren,0.066198%
Malmberg,0.066198%
Roos,0.065715%
Alm,0.065715%
Jacobsson,0.065715%
Ljungberg,0.065715%
Sundqvist,0.064748%
Dahlgren,0.064748%
Aronsson,0.064265%
