LastName,Percentage
Tan,4.664836%
Lim,3.154172%
Lee,2.476483%
Ng,1.833800%
Wong,1.322167%
Ong,1.220738%
Goh,1.086098%
Chan,1.016983%
Chua,1.010699%
Koh,0.882342%
Teo,0.842848%
Ang,0.747702%
Ho,0.714491%
Tay,0.633707%
Chen,0.630116%
Ltd,0.629219%
Yeo,0.614857%
Chong,0.599598%
Low,0.592417%
Wang,0.451494%
Toh,0.436234%
Chia,0.431746%
Leong,0.426361%
Sim,0.419180%
Loh,0.413794%
Chew,0.410204%
Li,0.392252%
Wee,0.375197%
Lin,0.373402%
Yap,0.364426%
Kumar,0.350962%
Yong,0.347372%
Singh,0.344679%
Tang,0.341986%
Lau,0.333908%
Foo,0.301594%
Cheng,0.295311%
Soh,0.294413%
Neo,0.285437%
Chin,0.284540%
Huang,0.283642%
Liu,0.281847%
Zhang,0.280052%
Lai,0.273768%
Chang,0.267485%
Heng,0.262100%
Yang,0.258509%
Choo,0.245943%
Poh,0.236069%
Chee,0.234274%
Cheong,0.231581%
Pang,0.221708%
Wei,0.216322%
Han,0.212732%
Quek,0.204653%
Khoo,0.201960%
Wu,0.201960%
Seah,0.196575%
Lam,0.196575%
Liew,0.196575%
Hong,0.194780%
Chow,0.173237%
Yu,0.171442%
Nguyen,0.162466%
Ling,0.160671%
Gan,0.150797%
Oh,0.150797%
Yee,0.147207%
Tham,0.145411%
Kim,0.145411%
Kok,0.144514%
Singapore,0.139128%
Aung,0.136435%
Loo,0.135538%
Ali,0.134640%
Hui,0.134640%
Fong,0.132845%
Eng,0.132845%
Phua,0.126562%
Liang,0.124767%
Seow,0.123869%
Chng,0.123869%
Teng,0.122971%
Kong,0.122971%
See,0.116688%
Mohamed,0.116688%
Boon,0.113098%
Lu,0.112200%
Gupta,0.111303%
Seng,0.111303%
Sharma,0.110405%
Leow,0.109507%
Muhammad,0.108610%
Xu,0.108610%
Tong,0.107712%
Soon,0.107712%
Ahmad,0.107712%
Chai,0.105019%
Wan,0.105019%
Siew,0.104122%
Sng,0.102327%
Sg,0.101429%
Sun,0.100531%
Kee,0.099634%
Ting,0.097839%
Woo,0.097839%
Khan,0.096941%
Smith,0.096043%
Peh,0.095146%
Wai,0.095146%
Ismail,0.094248%
Hu,0.094248%
Chung,0.092453%
Law,0.090658%
Su,0.089760%
Chiang,0.089760%
Tee,0.088863%
Song,0.087067%
Kang,0.085272%
Teh,0.083477%
Kwan,0.083477%
Zhou,0.082579%
Aw,0.082579%
Yi,0.081682%
Soo,0.080784%
Cai,0.080784%
Rahman,0.078989%
Peng,0.078989%
Zheng,0.078091%
Meng,0.078091%
Yan,0.077194%
Guo,0.076296%
Kyaw,0.075399%
Nair,0.074501%
Tran,0.073603%
Ooi,0.073603%
Ching,0.072706%
Ee,0.072706%
Chu,0.071808%
Pan,0.071808%
Ma,0.070911%
Loke,0.070911%
Yew,0.070911%
Ming,0.069115%
Poon,0.069115%
Min,0.068218%
Jun,0.068218%
Kwok,0.068218%
Png,0.068218%
Wen,0.067320%
Zhao,0.066423%
Jain,0.066423%
Lum,0.066423%
Lian,0.066423%
Shen,0.065525%
Mok,0.065525%
David,0.065525%
Kwek,0.065525%
Ibrahim,0.064627%
Zhu,0.064627%
Kuan,0.064627%
Fang,0.063730%
Loy,0.063730%
Choy,0.062832%
Xie,0.062832%
Shah,0.061935%
Lo,0.061935%
Thomas,0.061037%
Abdullah,0.061037%
Mak,0.061037%
Jin,0.061037%
Yip,0.061037%
Win,0.061037%
Salim,0.059242%
Mohd,0.059242%
Joseph,0.059242%
Kai,0.059242%
Le,0.059242%
John,0.058344%
Choon,0.058344%
Khor,0.058344%
Yin,0.058344%
Choong,0.057447%
Soe,0.056549%
How,0.056549%
Shi,0.055651%
Fu,0.055651%
Cheah,0.055651%
Yuen,0.055651%
Guan,0.054754%
Tai,0.054754%
Teoh,0.054754%
Siow,0.054754%
Chiam,0.054754%
Koo,0.054754%
Ying,0.054754%
Master,0.053856%
Jia,0.053856%
Martin,0.052958%
He,0.052061%
Cho,0.052061%
Ko,0.052061%
Kaur,0.052061%
Leng,0.052061%
Woon,0.052061%
Au,0.051163%
Teck,0.050266%
Abdul,0.050266%
