LastName,Percentage
Novak,0.653047%
Horvat,0.401536%
Zupancic,0.229449%
Kovacic,0.207386%
Rozman,0.202974%
Turk,0.202974%
Bizjak,0.202974%
Mlakar,0.198562%
Vidmar,0.194149%
Kos,0.194149%
Kralj,0.189737%
Kosir,0.185324%
Golob,0.180912%
Kavcic,0.180912%
Potocnik,0.172087%
Bozic,0.167674%
Kovac,0.167674%
Krajnc,0.163262%
Zupan,0.158849%
Petric,0.154437%
Oblak,0.150024%
Hocevar,0.145612%
Hribar,0.136787%
Knez,0.136787%
Koren,0.132374%
Kastelic,0.132374%
Cerar,0.127962%
Korosec,0.127962%
Kotnik,0.123549%
Petek,0.123549%
Rupnik,0.119137%
Gaber,0.119137%
Zagar,0.119137%
Kolar,0.119137%
Petrovic,0.119137%
Perko,0.119137%
Sever,0.114724%
Furlan,0.110312%
Erzen,0.110312%
Raus,0.105899%
Logar,0.105899%
Pirc,0.105899%
Pavlic,0.105899%
Jarc,0.101487%
Breznik,0.101487%
Lah,0.101487%
Frelih,0.097075%
Zupanc,0.092662%
Jagodic,0.092662%
Janezic,0.092662%
Kuhar,0.092662%
Lukic,0.092662%
Pusnik,0.092662%
Pintar,0.092662%
Zorko,0.088250%
Medved,0.088250%
Jug,0.088250%
Jazbec,0.088250%
Dolenc,0.088250%
Kobal,0.088250%
Krivec,0.088250%
Kranjc,0.088250%
Zajc,0.083837%
Susnik,0.083837%
Hafner,0.083837%
Jereb,0.083837%
Pipan,0.083837%
Pogacnik,0.083837%
Zalar,0.079425%
Markovic,0.079425%
Mocnik,0.079425%
Demsar,0.079425%
Dolinar,0.079425%
Bezjak,0.079425%
Blatnik,0.079425%
Leban,0.079425%
Rojc,0.075012%
Ursic,0.075012%
Gorjup,0.075012%
Zalokar,0.075012%
Tomazin,0.075012%
Tavcar,0.075012%
Stojanovic,0.075012%
Humar,0.075012%
Music,0.075012%
Jenko,0.075012%
Erjavec,0.075012%
Bergant,0.075012%
Bregar,0.075012%
Kosec,0.075012%
Podgorsek,0.075012%
Arh,0.070600%
Hrovat,0.070600%
Meglic,0.070600%
Debeljak,0.070600%
Kolenc,0.070600%
Kolaric,0.070600%
Gregorcic,0.066187%
Mavric,0.066187%
Jankovic,0.066187%
Doo,0.066187%
Brecelj,0.066187%
Krzisnik,0.066187%
Potrc,0.066187%
Pevec,0.066187%
