LastName,Percentage
Skoda,4.225352%
Vesely,4.225352%
Mohacsi,2.816901%
Repka,1.408451%
Nemec,1.408451%
Nagy,1.408451%
Gajdos,1.408451%
Gal,1.408451%
Torsher,1.408451%
Tomcikova,1.408451%
Tarda,1.408451%
Szaboova,1.408451%
Sevce,1.408451%
Svancara,1.408451%
Samuel,1.408451%
Struhar,1.408451%
Scherhaufer,1.408451%
Amorginos,1.408451%
Farkas,1.408451%
Oto,1.408451%
Havetta,1.408451%
Husar,1.408451%
Hillis,1.408451%
Matejovsky,1.408451%
Michalkova,1.408451%
Majda,1.408451%
Mrva,1.408451%
Mchantaf,1.408451%
Macakova,1.408451%
Mustonen,1.408451%
Mizerakova,1.408451%
Molnar,1.408451%
Mihalyfi,1.408451%
Martinetz,1.408451%
Marencak,1.408451%
Jaroslav,1.408451%
Jakubkovic,1.408451%
Chovanec,1.408451%
Dobrovolna,1.408451%
Denys,1.408451%
Villarosa,1.408451%
Velikopolskiy,1.408451%
Valik,1.408451%
Eternaldesire,1.408451%
Bielik,1.408451%
Bielka,1.408451%
Branislav,1.408451%
Buransky,1.408451%
Bittner,1.408451%
Kanis,1.408451%
Kritikos,1.408451%
Kocis,1.408451%
Krajnak,1.408451%
Kilcko,1.408451%
Kriva,1.408451%
Kubran,1.408451%
Kalamen,1.408451%
Kuchar,1.408451%
Lange,1.408451%
Yurii,1.408451%
Purgat,1.408451%
Paranic,1.408451%
Plis,1.408451%
Pribula,1.408451%
Plesnik,1.408451%
Policianova,1.408451%
