LastName,Percentage
Kamara,7.523940%
Kargbo,2.325581%
Koroma,1.915185%
Mbayo,1.504788%
Cole,1.504788%
Nonie,1.367989%
Sesay,1.231190%
Mansaray,1.231190%
Bangura,1.231190%
Ogunlowo,1.094391%
Jalloh,1.094391%
Bah,1.094391%
Lamin,1.094391%
John,0.957592%
Turay,0.820793%
Debrah,0.820793%
Rollings-bull,0.683995%
Gborie,0.683995%
Oluwole,0.683995%
Charles,0.683995%
Dosunmu,0.683995%
Vibbie,0.683995%
Barrie,0.683995%
Kesrouani,0.683995%
Williams,0.683995%
Rogers,0.547196%
Abu,0.547196%
Addo,0.547196%
Marah,0.547196%
Mohamed,0.547196%
Murtala,0.547196%
Jones,0.547196%
James,0.547196%
Johnson,0.547196%
Bull,0.547196%
Kabba,0.547196%
King,0.547196%
Lamboi,0.547196%
Lansana,0.547196%
Ralford,0.410397%
Taylor,0.410397%
Soko,0.410397%
Sakic,0.410397%
Skaikay,0.410397%
Smith,0.410397%
Spencer-coker,0.410397%
Saccoh,0.410397%
Alpha,0.410397%
Chaytor,0.410397%
Daccache,0.410397%
Davies,0.410397%
Bockarie,0.410397%
Knox,0.410397%
Kayleemasa,0.410397%
Loum,0.410397%
Leone,0.410397%
Williams-tucker,0.410397%
Raymond,0.273598%
Robertshaw,0.273598%
Ian,0.273598%
Nyuma,0.273598%
Ngegba,0.273598%
Naveed,0.273598%
Ngevao,0.273598%
Gassama,0.273598%
Thomas,0.273598%
Tanothra,0.273598%
Shevchenko,0.273598%
Sheriff,0.273598%
School,0.273598%
Sawyerr,0.273598%
Shaban,0.273598%
Serry-kamal,0.273598%
Alie,0.273598%
Alabi,0.273598%
Ajao,0.273598%
Alhassan,0.273598%
Abdulmansaray,0.273598%
Freeman,0.273598%
Fellows,0.273598%
Flamingcharles,0.273598%
Fofanah,0.273598%
Okekearu,0.273598%
Musa,0.273598%
Mung,0.273598%
Michael,0.273598%
Massaquoi,0.273598%
Julius,0.273598%
Campbell,0.273598%
Cobba,0.273598%
Care,0.273598%
Daffae,0.273598%
Vincent,0.273598%
Brown,0.273598%
Kandeh,0.273598%
Kanu,0.273598%
Kormoh,0.273598%
Logistics,0.273598%
Lahaitarlowoh,0.273598%
Pratt,0.273598%
Patrick,0.273598%
Peter,0.273598%
Wright,0.273598%
Rivera,0.136799%
Raad,0.136799%
Rama,0.136799%
Rhoades,0.136799%
Road,0.136799%
Russell,0.136799%
Robert,0.136799%
Roznovsky,0.136799%
Reffell-wyse,0.136799%
Rejijc,0.136799%
Isaiah,0.136799%
Icazuriaga,0.136799%
Ibrahim,0.136799%
Ime,0.136799%
Ie,0.136799%
Inusa,0.136799%
Nissanka,0.136799%
