LastName,Percentage
Srl,4.571904%
Casadei,1.413134%
Matteo,0.831255%
Vandi,0.831255%
Individuale,0.748130%
Bazzocchi,0.748130%
Web,0.665004%
Rinaldi,0.581879%
Spa,0.581879%
Andrea,0.581879%
Mazza,0.581879%
Baroni,0.581879%
Berardi,0.581879%
Bartolini,0.581879%
Guidi,0.498753%
Guiducci,0.498753%
Sabatini,0.498753%
Forcellini,0.498753%
Mussoni,0.498753%
Berti,0.498753%
Bollini,0.498753%
Rossi,0.415628%
Izzo,0.415628%
Gasperoni,0.415628%
Giannoni,0.415628%
Amati,0.415628%
Morri,0.415628%
Marco,0.415628%
Marcucci,0.415628%
Moretti,0.415628%
Manzaroli,0.415628%
Casali,0.415628%
Cecchetti,0.415628%
Ciavatta,0.415628%
Benedettini,0.415628%
Buggea,0.415628%
Bianchi,0.415628%
Rastelli,0.332502%
Napolitano,0.332502%
Gabriele,0.332502%
Guerra,0.332502%
Taddei,0.332502%
Terenzi,0.332502%
Stacchini,0.332502%
Sammaritani,0.332502%
Alessandro,0.332502%
Arduini,0.332502%
Muccioli,0.332502%
Moroncelli,0.332502%
Mularoni,0.332502%
Celli,0.332502%
Caramaschi,0.332502%
Venturi,0.332502%
Bruccoleri,0.332502%
Pelliccioni,0.332502%
Para,0.332502%
Prete,0.332502%
Raschi,0.249377%
Rt,0.249377%
Righi,0.249377%
Ugolini,0.249377%
Ivan,0.249377%
Giri,0.249377%
Giacomo,0.249377%
Zonzini,0.249377%
Zafferani,0.249377%
Taroni,0.249377%
Trussardi,0.249377%
Tomassoni,0.249377%
Turco,0.249377%
Santolini,0.249377%
Scarponi,0.249377%
Severini,0.249377%
Savioli,0.249377%
Santi,0.249377%
Semprini,0.249377%
Saltarelli,0.249377%
Acquaviva,0.249377%
Associazione,0.249377%
Alessio,0.249377%
Antimi,0.249377%
Fantini,0.249377%
Felici,0.249377%
Montanari,0.249377%
Massimo,0.249377%
Meloni,0.249377%
Mehmet,0.249377%
Miller,0.249377%
Massari,0.249377%
Joyanes,0.249377%
Carmignani,0.249377%
Colombini,0.249377%
Caroli,0.249377%
Ciavattini,0.249377%
Canini,0.249377%
Capicchioni,0.249377%
Calzolari,0.249377%
Ciacci,0.249377%
Ditta,0.249377%
Baldacci,0.249377%
Busignani,0.249377%
Luca,0.249377%
Paganelli,0.249377%
Romagnoli,0.166251%
Riccardi,0.166251%
Rasanen,0.166251%
Userip,0.166251%
Nassi,0.166251%
Nicoletti,0.166251%
Graziani,0.166251%
Geri,0.166251%
Giuseppe,0.166251%
Guidara,0.166251%
Gnola,0.166251%
Guido,0.166251%
Grassi,0.166251%
Giacobbi,0.166251%
Grottini,0.166251%
Ganzerli,0.166251%
Zivelonghi,0.166251%
Zanotti,0.166251%
Zucchi,0.166251%
Tamagnini,0.166251%
Toccaceli,0.166251%
Succi,0.166251%
Santiago,0.166251%
Simone,0.166251%
Sapignoli,0.166251%
Stefano,0.166251%
Shop,0.166251%
Saccone,0.166251%
Selva,0.166251%
Sarasini,0.166251%
Ameri,0.166251%
Albani,0.166251%
Antonio,0.166251%
Arcangelis,0.166251%
Allegrezza,0.166251%
Alberto,0.166251%
Agabiti,0.166251%
Francioni,0.166251%
Falcini,0.166251%
Fodera,0.166251%
Ferrarini,0.166251%
Fernandez,0.166251%
Filippini,0.166251%
Franchini,0.166251%
Omar,0.166251%
Horseradish,0.166251%
Homem,0.166251%
Marussi,0.166251%
Martino,0.166251%
Mancini,0.166251%
Mosher,0.166251%
Mino,0.166251%
Maurizio,0.166251%
Mirko,0.166251%
Macari,0.166251%
Muratori,0.166251%
Maiani,0.166251%
Msm,0.166251%
Marino,0.166251%
Michela,0.166251%
Miniero,0.166251%
Massaro,0.166251%
Caldari,0.166251%
Carlo,0.166251%
Cenni,0.166251%
Claudio,0.166251%
Cani,0.166251%
Cellarosi,0.166251%
Carlini,0.166251%
Capozzolo,0.166251%
Coslop,0.166251%
Carli,0.166251%
Castiglioni,0.166251%
Camporesi,0.166251%
Cattan,0.166251%
Campanelli,0.166251%
Dinnas,0.166251%
Duemme,0.166251%
Denis,0.166251%
Volpinari,0.166251%
Verdini,0.166251%
Valentini,0.166251%
Elisa,0.166251%
Eller,0.166251%
Ercolani,0.166251%
Bezzi,0.166251%
Belluzzi,0.166251%
Braschi,0.166251%
Bucci,0.166251%
Biagi,0.166251%
Balducci,0.166251%
Biondi,0.166251%
Biordi,0.166251%
Belemmi,0.166251%
Lazzarini,0.166251%
Lucca,0.166251%
Luigi,0.166251%
Pedrelli,0.166251%
Pozzi,0.166251%
Primadei,0.166251%
Parmeggiani,0.166251%
Pasquali,0.166251%
Paolo,0.166251%
Proskurnina,0.166251%
Parodi,0.166251%
Passamonti,0.166251%
Polverelli,0.166251%
Wilkniss,0.166251%
Rosei,0.083126%
Ragini,0.083126%
Regency,0.083126%
Raimondi,0.083126%
