LastName,Percentage
Ndiaye,3.284288%
Diop,2.771939%
Fall,2.101944%
Gueye,1.970573%
Diallo,1.563321%
Diouf,1.458224%
Kane,1.156069%
Faye,1.090384%
Niang,1.064109%
Diagne,1.011561%
Mamadou,0.998424%
Ba,0.985286%
Sow,0.932738%
Seck,0.893326%
Cisse,0.893326%
Ibrahima,0.867052%
Thiam,0.867052%
Toure,0.748818%
Amadou,0.748818%
Sall,0.735681%
Dieng,0.722543%
Cheikh,0.669995%
Sarr,0.643720%
Abdoulaye,0.617446%
Mbaye,0.604309%
Sene,0.564898%
Mbengue,0.538623%
El,0.512349%
Dia,0.499212%
Sarl,0.486075%
Gaye,0.472937%
Alioune,0.472937%
Camara,0.472937%
Ly,0.446663%
Lo,0.433526%
Sylla,0.420389%
Moussa,0.420389%
Ndoye,0.407252%
Sy,0.407252%
Papa,0.394115%
Mbacke,0.354703%
Ngom,0.341566%
Senegal,0.341566%
Babacar,0.341566%
Ka,0.341566%
Ndao,0.328429%
Moustapha,0.328429%
Diaw,0.328429%
Tall,0.302154%
Mame,0.302154%
Kamara,0.302154%
Pape,0.302154%
Lamine,0.289017%
Samba,0.275880%
Diedhiou,0.275880%
Coly,0.262743%
Ndour,0.249606%
Serigne,0.249606%
Ousmane,0.249606%
Mohamed,0.249606%
Diakhate,0.249606%
Oumar,0.236469%
Assane,0.223332%
Mouhamadou,0.223332%
Dieye,0.223332%
Sagna,0.210194%
Samb,0.210194%
Djibril,0.210194%
Keita,0.210194%
Mboup,0.197057%
Jean,0.197057%
Diene,0.197057%
Daouda,0.197057%
Informatique,0.183920%
Niane,0.183920%
Thiaw,0.183920%
Souleymane,0.183920%
Seye,0.183920%
Abdou,0.183920%
Abdoul,0.183920%
Afrik,0.170783%
Abdourahmane,0.170783%
Mor,0.170783%
Demba,0.170783%
Balde,0.170783%
Khadim,0.170783%
Guisse,0.157646%
Top,0.157646%
Serge,0.157646%
Omar,0.157646%
Marie,0.157646%
Mouhamed,0.157646%
Dame,0.157646%
Diatta,0.157646%
Drame,0.157646%
Kebe,0.157646%
Wade,0.157646%
Tidiane,0.144509%
Aminata,0.144509%
Malick,0.144509%
Diarra,0.144509%
Barro,0.144509%
Ndong,0.131372%
Gomis,0.131372%
Sa,0.131372%
Aziz,0.131372%
Aidara,0.131372%
Adama,0.131372%
Magatte,0.131372%
Mbow,0.131372%
Deme,0.131372%
Dakar,0.131372%
Wane,0.131372%
Input,0.118234%
Ndaw,0.118234%
Traore,0.118234%
Sakho,0.118234%
Alassane,0.118234%
Akakpo,0.118234%
Ousseynou,0.118234%
Mansour,0.118234%
Coulibaly,0.118234%
Bamba,0.118234%
Boubacar,0.118234%
Latyr,0.118234%
Issa,0.105097%
Idrissa,0.105097%
