LastName,Percentage
Mohamed,6.772121%
Ahmed,4.844291%
Hassan,4.201681%
Ali,3.657934%
Abdi,3.410776%
Hussein,2.570440%
Yusuf,1.828967%
Abdullahi,1.532378%
Osman,1.482946%
Ibrahim,1.186357%
Mohamud,1.087494%
Abdirahman,1.038062%
Ismail,0.889768%
Inc,0.790905%
Adan,0.790905%
Omar,0.790905%
Jama,0.790905%
Elmi,0.741473%
Farah,0.692042%
Abdilahi,0.642610%
Adam,0.642610%
Hashi,0.642610%
Muse,0.593178%
Maxamed,0.494315%
Media,0.494315%
Aden,0.444884%
Mohammed,0.444884%
Cali,0.444884%
Dahir,0.444884%
Isse,0.395452%
Guled,0.395452%
Somalia,0.395452%
Abdulle,0.395452%
Abdillahi,0.395452%
Halane,0.395452%
Xuseen,0.395452%
Khalif,0.395452%
Tech,0.346021%
Axmed,0.346021%
Haji,0.346021%
Mustafe,0.346021%
Musawi,0.346021%
Warsame,0.346021%
Ict,0.296589%
Nur,0.296589%
Nuur,0.296589%
Gure,0.296589%
Sudi,0.296589%
Abdimalik,0.296589%
Abdurahman,0.296589%
Abdifatah,0.296589%
Hirsi,0.296589%
Mohamoud,0.296589%
Cabdiraxmaan,0.296589%
Khadar,0.296589%
Giryaad,0.247158%
Sahal,0.247158%
Salah,0.247158%
Abdalla,0.247158%
Abdallah,0.247158%
Omer,0.247158%
Harun,0.247158%
Musa,0.247158%
Bashir,0.247158%
Kaariye,0.247158%
Ltd,0.247158%
Nasir,0.197726%
Nor,0.197726%
Tahir,0.197726%
Somali,0.197726%
Abdulahi,0.197726%
Abdirashed,0.197726%
Artan,0.197726%
Fait,0.197726%
Muuse,0.197726%
Mahamed,0.197726%
Jamal,0.197726%
Diiriye,0.197726%
Dr,0.197726%
Xaashi,0.197726%
Xasan,0.197726%
Baafo,0.197726%
Yare,0.197726%
Waasuge,0.197726%
Roble,0.148295%
Ismaaciil,0.148295%
Gaas,0.148295%
Society,0.148295%
Sharif,0.148295%
Suudi,0.148295%
Siad,0.148295%
Salaad,0.148295%
Saeed,0.148295%
Serves,0.148295%
Abdinasir,0.148295%
Abdirashid,0.148295%
Abdirizak,0.148295%
Abubakar,0.148295%
Awke,0.148295%
Abdurehman,0.148295%
Amiin,0.148295%
Abshir,0.148295%
Osmaan,0.148295%
Organization,0.148295%
Haashi,0.148295%
Hussien,0.148295%
Hersi,0.148295%
Hospital,0.148295%
Host,0.148295%
Moalim,0.148295%
Mohamedahmed,0.148295%
Coldoon,0.148295%
Caydiid,0.148295%
Center,0.148295%
Cabdi,0.148295%
Dayib,0.148295%
Egal,0.148295%
Bashiir,0.148295%
Khalid,0.148295%
Kulmiye,0.148295%
Liban,0.148295%
Yuusuf,0.148295%
Yusef,0.148295%
Yousuf,0.148295%
Wabar,0.148295%
Wahiib,0.148295%
Real,0.098863%
Rooble,0.098863%
Riraash,0.098863%
Isak,0.098863%
Ibraahim,0.098863%
Nigne,0.098863%
Nour,0.098863%
Gacal,0.098863%
Guure,0.098863%
Gees,0.098863%
Gabow,0.098863%
Geele,0.098863%
Geedi,0.098863%
Gurey,0.098863%
Galde,0.098863%
Gele,0.098863%
Team,0.098863%
Travel,0.098863%
