LastName,Percentage
Kenswil,1.098901%
Jacott,0.805861%
Oesmanadi,0.732601%
Pinas,0.732601%
Algoo,0.512821%
Voigt,0.512821%
Pocorni,0.512821%
Fleur,0.439560%
Eersel,0.439560%
Noerdjan,0.366300%
Gummels,0.366300%
Suriname,0.366300%
Stjeward,0.366300%
Alimoestar,0.366300%
Ormskerk,0.366300%
Mungra,0.366300%
Dings,0.366300%
Diran,0.366300%
Vries,0.366300%
Bernadine,0.366300%
Polanen,0.366300%
Pool,0.366300%
Refos,0.293040%
Ramsukul,0.293040%
Gilaard,0.293040%
Simson,0.293040%
Soemodihardjo,0.293040%
Servet,0.293040%
Studio,0.293040%
Apapoe,0.293040%
Ameerali,0.293040%
Atprew,0.293040%
Habers,0.293040%
Huks,0.293040%
Host,0.293040%
Milop,0.293040%
Mohan,0.293040%
Jhapsie,0.293040%
Draaibaar,0.293040%
Basnoe,0.293040%
Bhiekhemsing,0.293040%
Binda,0.293040%
Badal,0.293040%
Brahim,0.293040%
Linger,0.293040%
Power,0.293040%
Wormer,0.293040%
Rosheuvel,0.219780%
Robenson,0.219780%
Ramratan,0.219780%
Ramrattansing,0.219780%
Riedewald,0.219780%
Rijger,0.219780%
Ijzendoorn,0.219780%
Niemel,0.219780%
Sahtoe,0.219780%
Singh,0.219780%
Samat,0.219780%
Samson,0.219780%
Antonius,0.219780%
Fernando,0.219780%
Fernandes,0.219780%
Freytas,0.219780%
Franker,0.219780%
Olmberg,0.219780%
Hanoeman,0.219780%
Hieralal,0.219780%
Hiwat,0.219780%
Mitchel,0.219780%
Momcilovic,0.219780%
Montesant,0.219780%
Mangal,0.219780%
Jaksic,0.219780%
Jonathan,0.219780%
Joemrati,0.219780%
Cairo,0.219780%
Chander,0.219780%
Dijk,0.219780%
Dulder,0.219780%
Bissessur,0.219780%
Basropansingh,0.219780%
Biervliet,0.219780%
Kali,0.219780%
Kluis,0.219780%
Khan,0.219780%
Kotagama,0.219780%
Kanhai,0.219780%
Kirpalani,0.219780%
Linga,0.219780%
Lee,0.219780%
Linders,0.219780%
Petrisie,0.219780%
Pielmeier,0.219780%
Rodrigues,0.146520%
Ramtahalsingh,0.146520%
Roosveld,0.146520%
Ramcharan,0.146520%
Rodriguez,0.146520%
Reza,0.146520%
Ristie,0.146520%
Ronowidjojo,0.146520%
Ramadhin,0.146520%
Ramdin,0.146520%
Irene,0.146520%
Nagesar,0.146520%
Nanda,0.146520%
Nabibaks,0.146520%
Nunes,0.146520%
Guman,0.146520%
Grunberg,0.146520%
Gefferie,0.146520%
Gouvernante,0.146520%
Girjasing,0.146520%
Gemin,0.146520%
Graafsma,0.146520%
Glisovic,0.146520%
Gustafsson,0.146520%
Gajadien,0.146520%
Zoetmulder,0.146520%
Tjang-a-sjin,0.146520%
Tjok,0.146520%
Towikromo,0.146520%
Thus,0.146520%
Thurstond,0.146520%
Toppin,0.146520%
Todorovic,0.146520%
Tuero,0.146520%
Sateshkumar,0.146520%
Soekhoe,0.146520%
Swaaij,0.146520%
Soeltan,0.146520%
Schet,0.146520%
Strijdhaftig,0.146520%
Strijk,0.146520%
Sno,0.146520%
San,0.146520%
Sussenbach,0.146520%
Samuel,0.146520%
Siswowijoto,0.146520%
Silva,0.146520%
Soechitram,0.146520%
Abrahams,0.146520%
Ainoel,0.146520%
Anaclerio,0.146520%
Abay,0.146520%
Ardjadi,0.146520%
Ardjoen,0.146520%
Amarello,0.146520%
Antonijevic,0.146520%
Atmodimedo,0.146520%
Faizel,0.146520%
O-brien,0.146520%
Omnia,0.146520%
Haagen,0.146520%
Harold,0.146520%
Hering,0.146520%
Hathie,0.146520%
Helstone,0.146520%
Hendrik,0.146520%
Herman,0.146520%
Hoepel,0.146520%
Heidanus,0.146520%
Hradil,0.146520%
Haverkamp,0.146520%
Manshanden,0.146520%
Manna,0.146520%
Morvan,0.146520%
Masselink,0.146520%
Maree,0.146520%
Marshall,0.146520%
Marciano,0.146520%
Mathoera,0.146520%
Jankie,0.146520%
Jones,0.146520%
Jungerman,0.146520%
Jaikaran,0.146520%
Carron,0.146520%
Chinnoe,0.146520%
Center,0.146520%
Chanel,0.146520%
Chi,0.146520%
Cruden,0.146520%
Corestats,0.146520%
Caffe,0.146520%
Dyke,0.146520%
Donald,0.146520%
Damenie,0.146520%
Durham,0.146520%
Doo,0.146520%
Dipai,0.146520%
Dankerlui,0.146520%
Doekhie,0.146520%
Dovatov,0.146520%
Darson,0.146520%
De,0.146520%
Djojosemito,0.146520%
Dcosta,0.146520%
Vervuurt,0.146520%
Vysopal,0.146520%
Veira,0.146520%
Xvi,0.146520%
Eggink,0.146520%
Becker,0.146520%
Brian,0.146520%
Bemand,0.146520%
Bakroe,0.146520%
Bruges,0.146520%
Briel,0.146520%
Budhu,0.146520%
Briatore,0.146520%
Boomsma,0.146520%
Banwari,0.146520%
Bijnaar,0.146520%
Kouwenhoven,0.146520%
Kulikov,0.146520%
Krieger,0.146520%
Kalika,0.146520%
Kensenhuis,0.146520%
Kertoredjo,0.146520%
Keizerweerd,0.146520%
Kasanpawiro,0.146520%
Lau,0.146520%
Locher,0.146520%
Lemmer,0.146520%
Leij,0.146520%
Lachman,0.146520%
Loswijk,0.146520%
Lock,0.146520%
Young,0.146520%
Yorks,0.146520%
Pavlovic,0.146520%
Phoeli,0.146520%
Pramy,0.146520%
Panday,0.146520%
Paulus,0.146520%
Walden,0.146520%
Wong,0.146520%
Westerborg,0.146520%
Wijngaarde,0.146520%
Welles,0.146520%
White,0.146520%
Romeo,0.073260%
Rijssen,0.073260%
Randjitsing,0.073260%
Ritfeld,0.073260%
Rankovic,0.073260%
Rechards,0.073260%
Ryan,0.073260%
Reklam,0.073260%
Rathnayake,0.073260%
Renfrum,0.073260%
Roep,0.073260%
Rosario,0.073260%
Ronny,0.073260%
Rocchi,0.073260%
Rampadarth,0.073260%
Reingoud,0.073260%
Roberts,0.073260%
Radhakishun,0.073260%
Rudisa,0.073260%
Ruis,0.073260%
Rozenblad,0.073260%
Robert,0.073260%
Renata,0.073260%
Roseval,0.073260%
Roblesdemedina,0.073260%
Ravenswaay,0.073260%
Rusticus,0.073260%
Radjkoemar,0.073260%
Rafaeldemouradasilva,0.073260%
Ramgoelam,0.073260%
Ramic,0.073260%
Raghoebarsingh,0.073260%
Ramlagan,0.073260%
Raoul,0.073260%
Ramdjanbeg,0.073260%
Rosendaal,0.073260%
Ramnandanlal,0.073260%
Rene,0.073260%
Resodimedjo,0.073260%
Resokasman,0.073260%
Roebijat,0.073260%
Rajcoomar,0.073260%
Ramos,0.073260%
