LastName,Percentage
Hernandez,1.734258%
Martinez,1.689790%
Rodriguez,1.529705%
Lopez,1.511917%
Flores,1.378513%
Garcia,1.085023%
Rivas,1.013874%
Gonzalez,0.996087%
Jose,0.898257%
Diaz,0.844895%
Rivera,0.827108%
Cruz,0.791533%
Mejia,0.711491%
Ramirez,0.702597%
Perez,0.675916%
Escobar,0.667022%
Castillo,0.640342%
Castro,0.640342%
Gomez,0.631448%
Portillo,0.613661%
Campos,0.578086%
Orellana,0.569192%
Reyes,0.542512%
Salvador,0.542512%
Guzman,0.533618%
Torres,0.524724%
Sanchez,0.515831%
Aguilar,0.515831%
Ayala,0.506937%
Romero,0.498043%
Ramos,0.489150%
Pineda,0.489150%
Argueta,0.480256%
Juan,0.480256%
Chavez,0.480256%
Carlos,0.480256%
Rosales,0.471363%
Alfaro,0.453575%
Mendoza,0.453575%
Molina,0.453575%
Menjivar,0.444682%
Sandoval,0.426894%
Alvarado,0.418001%
Herrera,0.418001%
Quintanilla,0.400213%
Amaya,0.391320%
Vasquez,0.382426%
Fuentes,0.373533%
Morales,0.373533%
Mendez,0.373533%
Alvarez,0.355745%
Figueroa,0.346852%
Bonilla,0.346852%
Arevalo,0.337958%
Henriquez,0.329064%
Cortez,0.320171%
Guevara,0.311277%
Ortiz,0.311277%
Zelaya,0.302383%
Ventura,0.293490%
Lemus,0.293490%
Moran,0.284596%
Calderon,0.284596%
Luis,0.284596%
Jimenez,0.266809%
Guardado,0.257915%
Salazar,0.257915%
Alas,0.257915%
Duran,0.257915%
Ruiz,0.249022%
Melendez,0.249022%
Magana,0.249022%
Barrientos,0.249022%
Guerrero,0.240128%
Funes,0.240128%
Valencia,0.240128%
Pena,0.231234%
Zepeda,0.222341%
Aguirre,0.222341%
Cv,0.222341%
Carcamo,0.222341%
Vega,0.222341%
Lara,0.222341%
Granados,0.213447%
Osorio,0.213447%
Juarez,0.213447%
Dominguez,0.213447%
Estrada,0.213447%
Palacios,0.213447%
Roberto,0.204554%
Arias,0.204554%
Valle,0.204554%
Iraheta,0.195660%
Gutierrez,0.195660%
Huezo,0.195660%
Miranda,0.195660%
Marroquin,0.195660%
Villatoro,0.195660%
Navarro,0.186766%
Navas,0.186766%
Oscar,0.186766%
Medrano,0.186766%
Ascencio,0.177873%
Orantes,0.177873%
Hasbun,0.177873%
Medina,0.177873%
Jorge,0.177873%
Chacon,0.177873%
Benitez,0.177873%
Fernandez,0.168979%
Merino,0.168979%
Cabrera,0.168979%
Velasquez,0.168979%
Espinoza,0.168979%
Beltran,0.168979%
Ponce,0.168979%
Rosa,0.160085%
Andrade,0.160085%
Moreno,0.160085%
Melara,0.160085%
Cornejo,0.160085%
Vides,0.160085%
Paredes,0.160085%
Galdamez,0.151192%
Garay,0.151192%
Anaya,0.151192%
Alvarenga,0.151192%
Carranza,0.151192%
Castaneda,0.151192%
Delgado,0.151192%
Villalta,0.151192%
Vanegas,0.151192%
Linares,0.151192%
Larios,0.151192%
Paz,0.151192%
Web,0.151192%
Aviles,0.142298%
Aguilera,0.142298%
Avelar,0.142298%
Alberto,0.142298%
Cordova,0.142298%
Coto,0.142298%
Landaverde,0.142298%
Santos,0.133404%
Aleman,0.133404%
Monge,0.133404%
Melgar,0.133404%
Jovel,0.133404%
Chicas,0.133404%
Cuellar,0.133404%
Barrera,0.133404%
Leiva,0.133404%
Pleitez,0.133404%
Rojas,0.124511%
Urquilla,0.124511%
Turcios,0.124511%
Serrano,0.124511%
Francisco,0.124511%
Montoya,0.124511%
Mauricio,0.124511%
Maria,0.124511%
Castellanos,0.124511%
Canizalez,0.124511%
Deras,0.124511%
Quinteros,0.124511%
Escalante,0.124511%
Rodas,0.115617%
Solorzano,0.115617%
Salguero,0.115617%
Soriano,0.115617%
Araujo,0.115617%
Olmedo,0.115617%
Ortega,0.115617%
Mena,0.115617%
Mario,0.115617%
Cardona,0.115617%
Dubon,0.115617%
Velasco,0.115617%
Villeda,0.115617%
Ernesto,0.115617%
Blanco,0.115617%
Lazo,0.115617%
Larin,0.115617%
Penate,0.115617%
Galan,0.106724%
Guerra,0.106724%
Tobar,0.106724%
Aguiluz,0.106724%
Meza,0.106724%
Menendez,0.106724%
Carballo,0.106724%
Cubias,0.106724%
Cartagena,0.106724%
Cordero,0.106724%
Vigil,0.106724%
Escamilla,0.106724%
Pacheco,0.106724%
Rene,0.097830%
Navarrete,0.097830%
Galo,0.097830%
Guillen,0.097830%
Saravia,0.097830%
Segovia,0.097830%
Salinas,0.097830%
Silva,0.097830%
Arana,0.097830%
Alfredo,0.097830%
