LastName,Percentage
Lahoud,1.217656%
Kashkoul,1.065449%
Ali,0.913242%
Samman,0.761035%
Morcos,0.761035%
Issa,0.608828%
Zayat,0.608828%
Taha,0.608828%
Sargi,0.608828%
Sarkissian,0.608828%
Hassan,0.608828%
Mohammad,0.608828%
Khiami,0.608828%
Razouk,0.456621%
Tahhan,0.456621%
Attar,0.456621%
Almassri,0.456621%
Ahmad,0.456621%
Ajeeb,0.456621%
Alzein,0.456621%
Helwani,0.456621%
Mkayes,0.456621%
Mohamed,0.456621%
Daoud,0.456621%
Bechara,0.456621%
Bahah,0.456621%
Karsli,0.456621%
Khazzoum,0.456621%
Rashid,0.304414%
Rifaiye,0.304414%
Nasralla,0.304414%
Garah,0.304414%
Zamraghdi,0.304414%
Zidan,0.304414%
Tabaa,0.304414%
Sheikhsaeed,0.304414%
Striker,0.304414%
Saeed,0.304414%
Shirinyan,0.304414%
Sooq,0.304414%
Sami,0.304414%
Skaf,0.304414%
Sabbagh,0.304414%
Syrian,0.304414%
Saleh,0.304414%
Alesh,0.304414%
Al-chalabee,0.304414%
Abdull,0.304414%
Aboush,0.304414%
Alshaban,0.304414%
Alkhatib,0.304414%
Assaf,0.304414%
Albaset,0.304414%
Almoghrabi,0.304414%
Alhakim,0.304414%
Alsaadi,0.304414%
Aljesry,0.304414%
Alcied,0.304414%
Farhoud,0.304414%
Farooh,0.304414%
Fakir,0.304414%
Hussein,0.304414%
Hamdan,0.304414%
Halabi,0.304414%
Hovhannesian,0.304414%
Hasan,0.304414%
Hosein,0.304414%
Mokdad,0.304414%
Manukyan,0.304414%
Msto,0.304414%
Mashaan,0.304414%
Mohandes,0.304414%
Modar,0.304414%
Mohamad,0.304414%
Moadamani,0.304414%
Mousa,0.304414%
Msallaty,0.304414%
Mhd,0.304414%
Marstawi,0.304414%
Malas,0.304414%
Mr,0.304414%
Jemmieh,0.304414%
Jazaeri,0.304414%
Diab,0.304414%
Dory,0.304414%
Dawara,0.304414%
Volcano,0.304414%
Bargoti,0.304414%
Bahaah,0.304414%
Bitar,0.304414%
Belal,0.304414%
Bak,0.304414%
Kalthoum,0.304414%
Khouri,0.304414%
Kiwan,0.304414%
Kabbani,0.304414%
Khateeb,0.304414%
Kreaker,0.304414%
Khachatryan,0.304414%
Kassar,0.304414%
Kezzh,0.304414%
Yousef,0.304414%
Ward,0.304414%
Web,0.304414%
Rashidi,0.152207%
Rasem,0.152207%
Rahman,0.152207%
Rageh,0.152207%
Rekas,0.152207%
Rizamata,0.152207%
Rida,0.152207%
Rifaiy,0.152207%
Uei,0.152207%
It,0.152207%
Isaac,0.152207%
Ismaile,0.152207%
Isp,0.152207%
Nawlo,0.152207%
National,0.152207%
Nizam,0.152207%
Nidal,0.152207%
Niko,0.152207%
Nadah,0.152207%
Nejem,0.152207%
Nasif,0.152207%
Nonani,0.152207%
Nasser,0.152207%
Net,0.152207%
Naqib,0.152207%
Naqqasheh,0.152207%
Nassar,0.152207%
Graziano,0.152207%
Guessit,0.152207%
Grandwka,0.152207%
Ghannoum,0.152207%
God,0.152207%
Ghaith,0.152207%
Geraldine,0.152207%
Gueler,0.152207%
Zetoun,0.152207%
Ziaydeh,0.152207%
Zeitoun,0.152207%
Zarur,0.152207%
Zaid,0.152207%
Zietoun,0.152207%
Tchalabi,0.152207%
Toumeh,0.152207%
Toprakjian,0.152207%
Tutunji,0.152207%
Taweel,0.152207%
Trmanini,0.152207%
Telawi,0.152207%
Thear,0.152207%
Sabbaghbdc,0.152207%
Sharbaji,0.152207%
Salman,0.152207%
Suleman,0.152207%
Sarji,0.152207%
Salama,0.152207%
Shamsaldeen,0.152207%
Sheikhani,0.152207%
Sary,0.152207%
Salma,0.152207%
Salem,0.152207%
