LastName,Percentage
Dlamini,8.683729%
Magagula,1.188300%
Malinga,0.914077%
Simelane,0.731261%
Mamba,0.731261%
Daniel,0.731261%
Nxumalo,0.639854%
Odinde,0.639854%
Dube,0.639854%
Mavhunga,0.548446%
Vilakati,0.548446%
Khoza,0.548446%
Ntshalintshali,0.457038%
Ndlovu,0.457038%
Gamedze,0.457038%
Zwane,0.457038%
Thwala,0.457038%
Sasalande,0.457038%
Sibandze,0.457038%
Shongwe,0.457038%
Fineberg,0.457038%
Mhlanga,0.457038%
Chiwenda,0.457038%
Lukhele,0.457038%
Richter,0.365631%
Ginindza,0.365631%
Sambo,0.365631%
Salebona,0.365631%
Swaziland,0.365631%
Aitalegbe,0.365631%
Oyerinde,0.365631%
Hamusokwe,0.365631%
Mshinyi,0.365631%
Mdziniso,0.365631%
Motsa,0.365631%
Mabuza,0.365631%
Bhembe,0.365631%
Kumar,0.365631%
Isaac,0.274223%
Ngeri,0.274223%
Gmbh,0.274223%
Serulli,0.274223%
Sithole,0.274223%
Smith,0.274223%
Fakudze,0.274223%
Matsebula,0.274223%
Meyer,0.274223%
Mavimbela,0.274223%
Makuni,0.274223%
Mndzebele,0.274223%
Maseko,0.274223%
Mfundo,0.274223%
Costa,0.274223%
Dladla,0.274223%
Biswalo,0.274223%
Brown,0.274223%
Kanngard,0.274223%
Raw,0.182815%
Resting,0.182815%
Roux,0.182815%
Rastello,0.182815%
Investment,0.182815%
Imeri,0.182815%
Islamiquraati,0.182815%
Nene,0.182815%
Notz,0.182815%
Nhlabatsi,0.182815%
Nhlanhla,0.182815%
Ndwandwe,0.182815%
Ntfulini,0.182815%
Ngozo,0.182815%
Ntokozo,0.182815%
Nkambule,0.182815%
Ndlandla,0.182815%
Gwebu,0.182815%
Twebaze,0.182815%
Toumeh,0.182815%
Sheikho,0.182815%
Shiekho,0.182815%
Strydom,0.182815%
Sedlic,0.182815%
Sishwashwa,0.182815%
Stryp,0.182815%
Suliman,0.182815%
Saleh,0.182815%
Asfaw,0.182815%
Andrews,0.182815%
Art,0.182815%
Ashram,0.182815%
Ag,0.182815%
Ayrout,0.182815%
Fontes,0.182815%
Hlope,0.182815%
Hourly,0.182815%
Hutin,0.182815%
Hirchberg,0.182815%
Haroun,0.182815%
Hlatshwayo,0.182815%
Milton,0.182815%
Mlambo,0.182815%
Mark,0.182815%
Meier,0.182815%
