LastName,Percentage
Saidov,1.369863%
Karimov,1.369863%
Usmonov,0.821918%
Takhirov,0.684932%
Suleimanov,0.547945%
Abdullayev,0.547945%
Amirbekov,0.547945%
Abdurashidov,0.547945%
Boboev,0.547945%
Khalilov,0.547945%
Kholmatov,0.547945%
Khasanov,0.547945%
Rosa,0.410959%
Rakhmonov,0.410959%
Ibragimov,0.410959%
Ibodov,0.410959%
Naeini,0.410959%
Nardins,0.410959%
Gulov,0.410959%
Sultonov,0.410959%
Sharipov,0.410959%
Abdulkhayrov,0.410959%
Mirzoev,0.410959%
Mirzomurodov,0.410959%
Murodov,0.410959%
Muminov,0.410959%
Juraev,0.410959%
Chen,0.410959%
Dzhuraev,0.410959%
Davlatov,0.410959%
Doodletj,0.410959%
Behzadi,0.410959%
Bahriddinov,0.410959%
Kurbonov,0.410959%
Khodzhiboboev,0.410959%
Rasulov,0.273973%
Rezaei,0.273973%
Rahimi,0.273973%
Ramazonzoda,0.273973%
Rakhmanova,0.273973%
Umarov,0.273973%
Imomnazarov,0.273973%
Inomjon,0.273973%
Ismoilov,0.273973%
Ismonov,0.273973%
Nosir,0.273973%
Nisi,0.273973%
Nikkle,0.273973%
Nekkadamov,0.273973%
Gunes,0.273973%
Ganiev,0.273973%
Guno,0.273973%
Gulomshoev,0.273973%
Zoirov,0.273973%
Zarbaf,0.273973%
Zanjani,0.273973%
Tursunov,0.273973%
Temur,0.273973%
Trade,0.273973%
Safarov,0.273973%
Sharif,0.273973%
Shonazarov,0.273973%
Sadullaev,0.273973%
Salikhov,0.273973%
Shodmonov,0.273973%
Samiev,0.273973%
Saberi,0.273973%
Siyarov,0.273973%
Saizhufarov,0.273973%
Abdumazhitov,0.273973%
Abduqayum,0.273973%
Abdullaev,0.273973%
Azhari,0.273973%
Ahmadbekov,0.273973%
Akhmedov,0.273973%
Airfame,0.273973%
Abbasimehr,0.273973%
Abdukholikov,0.273973%
Abdurakhmon,0.273973%
