LastName,Percentage
Yilmaz,1.208199%
Kaya,0.759411%
Demir,0.703270%
Aydin,0.657551%
Ozturk,0.646625%
Sahin,0.607629%
Yildirim,0.589476%
Yildiz,0.582585%
Celik,0.560061%
Mehmet,0.529302%
Ozdemir,0.511148%
Arslan,0.476859%
Dogan,0.451478%
Kilic,0.364746%
Can,0.337012%
Cetin,0.307260%
Aslan,0.304907%
Kara,0.286586%
Koc,0.277677%
Ali,0.274484%
Ozkan,0.268937%
Kurt,0.261541%
Ozcan,0.261205%
Erdogan,0.255154%
Yavuz,0.250784%
Sti,0.247254%
Ahmet,0.239522%
Turan,0.239018%
Polat,0.234816%
Department,0.229437%
Guler,0.227756%
Cakir,0.226747%
Korkmaz,0.219016%
Acar,0.215654%
Unal,0.215486%
Sen,0.212460%
Yuksel,0.207081%
Keskin,0.206241%
Mustafa,0.203047%
Coskun,0.201030%
Simsek,0.199013%
Ozer,0.198677%
Aksoy,0.195820%
Yalcin,0.193803%
Aktas,0.192458%
Gunes,0.187247%
Avci,0.182709%
Gul,0.173296%
Bozkurt,0.173128%
Gungor,0.169935%
Demirci,0.169262%
Karaca,0.169094%
Isik,0.168422%
Uzun,0.167413%
Sari,0.166741%
Tekin,0.163715%
Caliskan,0.163043%
Erdem,0.162875%
Bulut,0.162203%
Genc,0.161698%
Kose,0.161530%
Ceylan,0.156824%
Deniz,0.154975%
Akin,0.149932%
Guven,0.145730%
Kahraman,0.142200%
Ates,0.141864%
Demirel,0.141528%
Eren,0.139847%
Kaplan,0.137326%
Yigit,0.135309%
Mutlu,0.134132%
Duman,0.134132%
Bayram,0.131611%
Bilisim,0.130939%
Kucuk,0.129594%
Karatas,0.128754%
Erol,0.127241%
Altun,0.126400%
Uysal,0.125728%
Cinar,0.123879%
Yasar,0.122871%
Tas,0.122702%
Sonmez,0.122198%
Gunduz,0.122030%
Aksu,0.121526%
Kocak,0.118837%
Cakmak,0.118164%
Aydemir,0.117828%
Cetinkaya,0.117492%
Yazici,0.117492%
Gumus,0.114802%
Ozen,0.113794%
Oz,0.113794%
Karaman,0.113290%
Ay,0.112113%
Yaman,0.111609%
Turk,0.109760%
Cengiz,0.109760%
Colak,0.109760%
Ucar,0.109256%
Alkan,0.108415%
Akkaya,0.106902%
Coban,0.106902%
Akgun,0.106734%
Hasan,0.106566%
Yucel,0.105894%
Ergun,0.103541%
Bayraktar,0.101692%
Cicek,0.099843%
Celebi,0.099507%
Uslu,0.099170%
Otomotiv,0.099002%
Balci,0.098666%
Sezer,0.097994%
Omer,0.097826%
Bilgin,0.097490%
Guney,0.096649%
Cevik,0.096145%
Keles,0.096145%
Kartal,0.095977%
Dursun,0.095641%
Er,0.095305%
Eroglu,0.094968%
Albayrak,0.094800%
Ciftci,0.094800%
Aydogan,0.094632%
Unlu,0.094464%
Gultekin,0.094464%
Tosun,0.094296%
Senturk,0.093456%
Akbulut,0.092111%
Guzel,0.091775%
Vural,0.091775%
Turkmen,0.091102%
Duran,0.090934%
Ugur,0.090598%
Guner,0.090598%
Tunc,0.090598%
Mert,0.090094%
Karakaya,0.090094%
Akgul,0.089926%
Donmez,0.089926%
Karabulut,0.089926%
Saglam,0.089758%
Murat,0.089758%
Bas,0.089253%
Tuncer,0.088917%
Akpinar,0.088077%
Gurbuz,0.087741%
Oguz,0.086732%
Ozgur,0.086564%
Orhan,0.085892%
Ozcelik,0.085556%
Gunay,0.084883%
Gundogdu,0.084883%
Ersoy,0.084547%
Karagoz,0.084211%
Kilinc,0.083875%
Ak,0.082698%
Bal,0.082698%
Turgut,0.081522%
Karakas,0.081185%
Durmaz,0.080681%
Karakus,0.080681%
Atalay,0.079841%
Hizmetleri,0.079673%
Bayrak,0.079504%
Toprak,0.079336%
Durmus,0.079000%
Caglar,0.078664%
Topcu,0.078160%
Akar,0.076815%
Sener,0.076143%
Metin,0.075639%
Ercan,0.074966%
Gur,0.074798%
Koca,0.074798%
Ozel,0.074630%
Demirtas,0.074462%
Basaran,0.074462%
Tuna,0.073621%
Akyol,0.073621%
Zengin,0.072949%
Dinc,0.072277%
Akyuz,0.072109%
Ozmen,0.072109%
Halil,0.071941%
Akbas,0.071773%
Ekinci,0.071773%
Sarikaya,0.071268%
Karahan,0.071268%
Muhammed,0.070260%
Bektas,0.069924%
Gursoy,0.069756%
Basar,0.069756%
Engin,0.069587%
Erkan,0.069419%
Karadag,0.069083%
Aygun,0.068747%
Gok,0.068411%
Gokce,0.068411%
Emre,0.068411%
Ozbek,0.068075%
Tan,0.067738%
Temel,0.067402%
Akman,0.067402%
Aras,0.067402%
Ayhan,0.067234%
Erturk,0.067234%
Efe,0.066898%
Esen,0.066730%
Pehlivan,0.066562%
Ibrahim,0.066226%
Usta,0.066058%
Akcay,0.066058%
Firat,0.066058%
Ozden,0.065721%
Topal,0.064209%
Huseyin,0.064209%
Osman,0.063873%
Ilhan,0.063704%
Seker,0.063704%
Ulusoy,0.063200%
Ince,0.063200%
Fidan,0.063032%
Turhan,0.062528%
Taskin,0.062528%
Karadeniz,0.062192%
Oner,0.061855%
Sevinc,0.061351%
Bey,0.061183%
Kutlu,0.061183%
Ari,0.061015%
Yunus,0.060679%
Kalkan,0.060175%
Inan,0.060007%
Bilgisayar,0.059838%
Onur,0.059502%
Onder,0.059502%
Tasci,0.058998%
Yusuf,0.058830%
Dincer,0.058326%
Ergin,0.058326%
Alp,0.058158%
Akkus,0.058158%
Mercan,0.057990%
Sengul,0.057821%
Medya,0.057821%
Budak,0.057821%
Altay,0.057485%
Arikan,0.057149%
Muhammet,0.056981%
Sezgin,0.056813%
Aydogdu,0.056813%
Yazilim,0.056813%
Gurel,0.056645%
Akay,0.056645%
Akca,0.055973%
Acikgoz,0.055468%
As,0.054964%
Oral,0.054964%
Ismail,0.054628%
Kuru,0.054124%
Akdeniz,0.053955%
Savas,0.053787%
Kandemir,0.053619%
Onal,0.053451%
Akinci,0.053115%
Koseoglu,0.053115%
Turkoglu,0.052947%
Tasdemir,0.052947%
Dundar,0.052779%
Yuce,0.052779%
Akdogan,0.052443%
Eser,0.052443%
Ayaz,0.051938%
Sert,0.051770%
Boz,0.051602%
Gedik,0.051266%
Akdemir,0.051098%
Unsal,0.050762%
Uyar,0.050762%
Sarac,0.050762%
Altin,0.050762%
Durak,0.050426%
Selcuk,0.050258%
Altintas,0.050258%
Gun,0.049585%
Torun,0.048577%
Bulbul,0.048577%
Ltd,0.048577%
Koyuncu,0.048409%
Ajans,0.048072%
Demircan,0.048072%
Karakoc,0.047904%
Sevim,0.047400%
Deveci,0.047400%
Cimen,0.046896%
Dag,0.046728%
Parlak,0.046728%
Cam,0.046560%
Koksal,0.046392%
Senol,0.046055%
Ayan,0.046055%
Ergul,0.045887%
Soylu,0.045719%
Tezcan,0.045551%
Ozsoy,0.045551%
Cakar,0.045551%
Bicer,0.045551%
Turker,0.045047%
Peker,0.045047%
Fatih,0.044879%
Ugurlu,0.044543%
Okur,0.044038%
Oktay,0.044038%
Eker,0.044038%
Caglayan,0.043702%
Unver,0.043534%
Gezer,0.043534%
Yalcinkaya,0.043366%
Akyildiz,0.043198%
Tanriverdi,0.042694%
Ayyildiz,0.042694%
Baran,0.042694%
Atay,0.042358%
Dogru,0.042358%
Varol,0.042358%
Solmaz,0.042189%
Teknoloji,0.041685%
Elmas,0.041517%
Candan,0.041181%
Guclu,0.041013%
Altuntas,0.040845%
Bakir,0.040845%
Tatar,0.040677%
Ipek,0.040509%
Alan,0.040509%
Ceyhan,0.040509%
Akturk,0.040172%
Akdag,0.040172%
Gokmen,0.039836%
Burak,0.039836%
Ustun,0.039668%
Ata,0.039668%
Gunaydin,0.039500%
Olmez,0.038996%
Bahadir,0.038996%
Girgin,0.038828%
Atmaca,0.038828%
Eryilmaz,0.038828%
Yesil,0.038828%
Ekici,0.038660%
Sanli,0.038492%
Kavak,0.038324%
Goktas,0.038155%
Alper,0.037987%
Ocak,0.037987%
Vatansever,0.037987%
Uygun,0.037819%
Ozkaya,0.037819%
Baysal,0.037819%
Karaduman,0.037819%
Koroglu,0.037819%
Insaat,0.037651%
Erden,0.037651%
Hakan,0.037483%
Degirmenci,0.037483%
Kacar,0.037483%
Tuncay,0.037315%
Mete,0.037315%
Keser,0.037315%
Gayrimenkul,0.036979%
Oruc,0.036979%
Bilgic,0.036979%
Ozgun,0.036811%
Emlak,0.036811%
Yener,0.036811%
Senel,0.036643%
Oksuz,0.036475%
Dede,0.036475%
Atasoy,0.036306%
Gulec,0.036138%
Arici,0.035970%
Ozan,0.035970%
Cetiner,0.035970%
Kus,0.035970%
Temiz,0.035802%
Bayar,0.035802%
Kemal,0.035802%
Ulker,0.035634%
Altan,0.035634%
Yurdakul,0.035634%
Topuz,0.035466%
Ozyurt,0.035466%
Bolat,0.035466%
Com,0.035298%
Grup,0.035130%
Terzi,0.035130%
Adiguzel,0.035130%
Kahveci,0.035130%
Cebeci,0.034962%
Baris,0.034962%
Sayin,0.034794%
Dagli,0.034794%
Zorlu,0.034626%
Atak,0.034626%
Kaynak,0.034626%
Yanik,0.034458%
Topaloglu,0.034289%
Dernegi,0.034289%
Bagci,0.034289%
Tuncel,0.034121%
Atik,0.034121%
Bingol,0.034121%
Bostanci,0.034121%
Yesilyurt,0.034121%
Yavas,0.034121%
Pinar,0.033953%
Ozbay,0.033785%
Sirin,0.033617%
Akalin,0.033617%
Eksi,0.033617%
Erdal,0.033617%
Bilir,0.033617%
Uyanik,0.033449%
Demirhan,0.033281%
Gurkan,0.033113%
Soyadi,0.033113%
Solak,0.033113%
Bahar,0.033113%
Dal,0.032945%
Tasarim,0.032777%
Teknolojileri,0.032777%
Aykut,0.032777%
Sirketi,0.032609%
Meric,0.032609%
Taskiran,0.032441%
Sever,0.032441%
Ozgul,0.032441%
Calik,0.032441%
Ural,0.032272%
Tiryaki,0.032272%
Apaydin,0.032272%
Olgun,0.032272%
Baykal,0.032272%
Yagci,0.032272%
Gencer,0.032104%
Abdullah,0.032104%
Poyraz,0.032104%
Dilek,0.031936%
Ozdogan,0.031768%
Han,0.031432%
Toker,0.031264%
Subasi,0.031264%
Kaptan,0.031096%
Soysal,0.030928%
Karaoglu,0.030928%
Ocal,0.030760%
Karaaslan,0.030760%
Kocaman,0.030760%
Tok,0.030592%
Avsar,0.030592%
Ozgen,0.030592%
Mahmut,0.030592%
Cankaya,0.030592%
Yapici,0.030592%
Pala,0.030592%
Bora,0.030423%
Akan,0.030255%
Cavusoglu,0.030255%
Tastan,0.030087%
Seven,0.030087%
Okumus,0.030087%
Baser,0.030087%
Yagmur,0.030087%
Tufekci,0.029919%
Meral,0.029919%
Cihan,0.029919%
Arik,0.029751%
Ataman,0.029751%
Cesur,0.029751%
Duzgun,0.029751%
Kalayci,0.029751%
Kayhan,0.029751%
Cem,0.029415%
Sumer,0.029247%
Vardar,0.029079%
Kurtulus,0.029079%
Turkyilmaz,0.028911%
Turizm,0.028911%
Berber,0.028911%
Kale,0.028911%
Ok,0.028743%
Uludag,0.028575%
Alpay,0.028406%
Tufan,0.028070%
Ozbey,0.028070%
Emir,0.028070%
Berk,0.028070%
Uygur,0.027902%
Memis,0.027902%
Ozalp,0.027734%
Ertas,0.027734%
Irmak,0.027566%
Caner,0.027566%
Sayar,0.027398%
Dikmen,0.027398%
Kocyigit,0.027398%
Kiran,0.027230%
Cil,0.027062%
Ertugrul,0.027062%
Ertan,0.027062%
Akarsu,0.026894%
Oztas,0.026894%
Kuzu,0.026894%
Salman,0.026726%
Akcan,0.026726%
Cavdar,0.026726%
Karasu,0.026726%
Reklam,0.026558%
Gunal,0.026558%
Tarhan,0.026558%
Altinel,0.026558%
Kurnaz,0.026558%
Kasap,0.026558%
Hacioglu,0.026389%
Buyuk,0.026389%
Balaban,0.026389%
Kalyoncu,0.026389%
Saka,0.026221%
Serin,0.026221%
Selvi,0.026221%
Canli,0.026221%
Ekmekci,0.026221%
Cakici,0.026053%
Duru,0.026053%
Levent,0.026053%
Korkut,0.025885%
Yayla,0.025885%
Yurtsever,0.025885%
Ulu,0.025717%
Tepe,0.025717%
Civelek,0.025717%
Web,0.025717%
Bilen,0.025549%
Yolcu,0.025549%
Inci,0.025381%
Gulen,0.025381%
Sahan,0.025381%
Kanat,0.025381%
Kok,0.025381%
Yilmazer,0.025381%
Gulmez,0.025213%
Tetik,0.025213%
Suleyman,0.025213%
Atas,0.025213%
Ayar,0.025213%
Kalender,0.025213%
Inal,0.024877%
Kizilkaya,0.024877%
Tunca,0.024709%
Cay,0.024709%
Kir,0.024709%
Kaynar,0.024709%
Goksu,0.024540%
Karabacak,0.024540%
Kul,0.024540%
Yurtseven,0.024540%
Cavus,0.024372%
Kadir,0.024372%
Akbaba,0.024204%
Akyurek,0.024204%
Balta,0.024204%
Bilge,0.024204%
Yorulmaz,0.024204%
Gundogan,0.024036%
Arda,0.024036%
Alpaslan,0.024036%
Evren,0.024036%
Yoruk,0.024036%
Sezen,0.023868%
Seyhan,0.023868%
Eraslan,0.023868%
Ertekin,0.023868%
Kocabas,0.023868%
Filiz,0.023700%
Cakiroglu,0.023700%
Danismanlik,0.023700%
Barut,0.023700%
Kaymaz,0.023700%
Soydan,0.023532%
Aytac,0.023532%
Atilla,0.023532%
Erdemir,0.023532%
Bozdag,0.023532%
Baltaci,0.023532%
Kar,0.023532%
Taner,0.023364%
Salih,0.023364%
Asan,0.023364%
Hatipoglu,0.023364%
Demiray,0.023364%
Gokhan,0.023196%
Celen,0.023196%
Ertem,0.023196%
Ulas,0.023028%
Sisman,0.023028%
Demircioglu,0.023028%
Kurtoglu,0.023028%
Gurler,0.022860%
Geyik,0.022860%
Taylan,0.022860%
Safak,0.022860%
Asik,0.022860%
Sarica,0.022692%
Sinan,0.022692%
Aktan,0.022692%
Canturk,0.022692%
Ustundag,0.022523%
Temur,0.022523%
Atici,0.022523%
Atli,0.022523%
Ergen,0.022523%
Kadioglu,0.022523%
Yazar,0.022523%
Soylemez,0.022355%
Cifci,0.022355%
Ege,0.022355%
Eken,0.022355%
Erten,0.022355%
Ulutas,0.022187%
Gokdemir,0.022187%
Alemdar,0.022187%
Odabasi,0.022187%
Kececi,0.022187%
Serdar,0.022019%
San,0.022019%
Alptekin,0.022019%
Pamuk,0.022019%
Gulsen,0.021851%
Kacmaz,0.021851%
Umit,0.021683%
Tekstil,0.021683%
Sancak,0.021683%
Kizil,0.021683%
Umut,0.021515%
Tatli,0.021515%
Sungur,0.021515%
Oztekin,0.021515%
Ersoz,0.021515%
Kural,0.021515%
Tokgoz,0.021347%
Saracoglu,0.021347%
Alagoz,0.021347%
Erbas,0.021347%
Basturk,0.021347%
Bilici,0.021347%
Recep,0.021179%
Istanbul,0.021011%
Saglik,0.021011%
Atilgan,0.021011%
Colakoglu,0.021011%
Cobanoglu,0.021011%
Kuscu,0.021011%
Yardimci,0.021011%
Guvenc,0.020843%
Tasdelen,0.020843%
Ayvaz,0.020843%
Cosar,0.020843%
Gokalp,0.020675%
Arabaci,0.020675%
Cabuk,0.020675%
Dalgic,0.020675%
Doruk,0.020675%
Boran,0.020675%
Bayir,0.020675%
Bircan,0.020675%
Kiraz,0.020675%
Karademir,0.020675%
Anil,0.020506%
Olcay,0.020506%
Cebi,0.020506%
Demirkol,0.020506%
Demiral,0.020506%
Domaindepartment,0.020506%
Balkan,0.020506%
Saritas,0.020338%
Arican,0.020338%
Askin,0.020338%
Aksakal,0.020338%
Canpolat,0.020338%
Yasin,0.020338%
Gurcan,0.020170%
Gorgulu,0.020170%
Ekiz,0.020170%
Bedir,0.020170%
Bilgi,0.020170%
Kosar,0.020170%
Kozan,0.020170%
Net,0.020002%
Atar,0.020002%
Ozkul,0.020002%
Tuzun,0.019834%
Toraman,0.019834%
Tunali,0.019834%
Seckin,0.019834%
Ozay,0.019834%
Beyaz,0.019834%
Kazan,0.019834%
Karacan,0.019834%
Kocer,0.019834%
Yakut,0.019834%
Pektas,0.019834%
Telli,0.019666%
Sarioglu,0.019666%
Baloglu,0.019666%
Kan,0.019666%
Tek,0.019498%
Alparslan,0.019498%
Oncel,0.019498%
Onat,0.019498%
Dulger,0.019498%
Bayhan,0.019498%
Binici,0.019498%
Tamer,0.019330%
Semiz,0.019330%
Sakarya,0.019330%
Haci,0.019330%
Erdogdu,0.019330%
Emin,0.019330%
Bayindir,0.019330%
Kahya,0.019330%
Terzioglu,0.019162%
Ornek,0.019162%
Catal,0.019162%
Karaarslan,0.019162%
Kaan,0.019162%
Ucak,0.018994%
Sucu,0.018994%
Batur,0.018994%
Basak,0.018994%
Kilicaslan,0.018994%
Kaymak,0.018994%
Okan,0.018826%
Oncu,0.018826%
Cirak,0.018826%
Cekic,0.018826%
Biyik,0.018826%
Konuk,0.018826%
Karayel,0.018826%
Adali,0.018658%
Dere,0.018658%
Durukan,0.018658%
Bayramoglu,0.018658%
Altas,0.018489%
Celenk,0.018489%
Bulent,0.018489%
Babacan,0.018489%
Bostan,0.018489%
Kayan,0.018489%
Yapi,0.018489%
Uzunoglu,0.018321%
Aldemir,0.018321%
Akkurt,0.018321%
Ardic,0.018321%
Bodur,0.018321%
Kaygusuz,0.018321%
Karakurt,0.018321%
Yetkin,0.018321%
Gocmen,0.018153%
Teke,0.018153%
Odabas,0.018153%
Ozaydin,0.018153%
Boyraz,0.018153%
Saygili,0.017985%
Alici,0.017985%
Erdinc,0.017985%
Kursun,0.017985%
Keklik,0.017985%
Yazgan,0.017985%
Gullu,0.017817%
Goren,0.017817%
Serbest,0.017817%
Sakar,0.017817%
Ors,0.017817%
Ersan,0.017817%
Ersin,0.017817%
Bilgili,0.017817%
Zeybek,0.017649%
Sozen,0.017649%
Saygin,0.017649%
Ozlu,0.017649%
Baki,0.017649%
Kalay,0.017649%
Gurses,0.017481%
Tumer,0.017481%
Sunar,0.017481%
Arif,0.017481%
Maden,0.017481%
Comert,0.017481%
Cal,0.017481%
Bekar,0.017481%
Kocaoglu,0.017481%
Kayar,0.017481%
Ilgaz,0.017313%
Inc,0.017313%
Faruk,0.017313%
Calis,0.017313%
Oktem,0.017145%
Biyikli,0.017145%
Arpaci,0.016977%
Abaci,0.016977%
Ozdamar,0.016977%
Meydan,0.016977%
Benli,0.016977%
Yazicioglu,0.016977%
Uzel,0.016809%
Uner,0.016809%
Tanrikulu,0.016809%
Turkiye,0.016809%
Tutar,0.016809%
Sagir,0.016809%
Al,0.016809%
Altinok,0.016809%
Duyar,0.016809%
Eris,0.016809%
Birinci,0.016809%
Karsli,0.016809%
Kutuk,0.016809%
Teker,0.016640%
Sengun,0.016640%
Say,0.016640%
Sarigul,0.016640%
Celep,0.016640%
Dagdelen,0.016640%
Derin,0.016640%
Erman,0.016640%
Karadas,0.016640%
Kerem,0.016640%
Guneri,0.016472%
Gonen,0.016472%
Sozer,0.016472%
Dedeoglu,0.016472%
Baskan,0.016472%
Kisa,0.016472%
Tutuncu,0.016304%
Sivri,0.016304%
Serkan,0.016304%
Sevindik,0.016304%
Ece,0.016304%
Bozdemir,0.016304%
Boyaci,0.016304%
Iletisim,0.016136%
Zafer,0.016136%
Adiyaman,0.016136%
Atakan,0.016136%
Celikel,0.016136%
Ekin,0.016136%
Erhan,0.016136%
Ermis,0.016136%
Basoglu,0.016136%
Bicakci,0.016136%
Kuyumcu,0.016136%
Nazli,0.015968%
Sancar,0.015968%
Selim,0.015968%
Surucu,0.015968%
Avcu,0.015968%
Akbay,0.015968%
Akbiyik,0.015968%
Altug,0.015968%
Ayse,0.015968%
Okay,0.015968%
Bay,0.015968%
Kaba,0.015968%
Uzuner,0.015800%
Tural,0.015800%
Arat,0.015800%
Aykac,0.015800%
Hocaoglu,0.015800%
Holding,0.015800%
Cansiz,0.015800%
Cetintas,0.015800%
Celiker,0.015800%
Bakirci,0.015800%
Konak,0.015800%
Ustaoglu,0.015632%
Narin,0.015632%
Nar,0.015632%
Top,0.015632%
Turna,0.015632%
Sensoy,0.015632%
Altinay,0.015632%
Aktepe,0.015632%
Findik,0.015632%
Mumcu,0.015632%
Cakan,0.015632%
Durgun,0.015632%
Doganay,0.015632%
Erkal,0.015632%
Kazanci,0.015632%
Kardas,0.015632%
Yuksek,0.015632%
Ufuk,0.015464%
Gurer,0.015464%
Sitesi,0.015464%
Sadikoglu,0.015464%
Atac,0.015464%
Onay,0.015464%
Cayir,0.015464%
Dinler,0.015464%
Karabiyik,0.015464%
Gokturk,0.015296%
Tabak,0.015296%
Timur,0.015296%
Sogut,0.015296%
Demirkiran,0.015296%
Erim,0.015296%
Erel,0.015296%
Bilgen,0.015296%
Kalafat,0.015296%
Yerlikaya,0.015296%
Guleryuz,0.015128%
Danis,0.015128%
Komurcu,0.015128%
Kupeli,0.015128%
Kaleli,0.015128%
Isler,0.014960%
Tarim,0.014960%
Ogut,0.014960%
Malkoc,0.014960%
Demirkaya,0.014960%
Enes,0.014960%
Koken,0.014960%
Kabadayi,0.014960%
Yakar,0.014960%
Uz,0.014792%
Gocer,0.014792%
Gonul,0.014792%
Gokcen,0.014792%
Turkkan,0.014792%
Sasmaz,0.014792%
Ozbas,0.014792%
Capar,0.014792%
Dogu,0.014792%
Erbay,0.014792%
Kula,0.014792%
Uyan,0.014623%
Ulku,0.014623%
Ileri,0.014623%
Gokkaya,0.014623%
Gulcan,0.014623%
Gokcek,0.014623%
Tolga,0.014623%
Aydogmus,0.014623%
Deger,0.014623%
Ucan,0.014455%
Goksel,0.014455%
Gemici,0.014455%
Furkan,0.014455%
Orman,0.014455%
Cilingir,0.014455%
Diker,0.014455%
Elci,0.014455%
Erkut,0.014455%
Kirca,0.014455%
Yagiz,0.014455%
Yenigun,0.014455%
Ilker,0.014287%
Nalbant,0.014287%
Zor,0.014287%
Tarakci,0.014287%
Altiparmak,0.014287%
Demirbilek,0.014287%
Yanar,0.014287%
Utku,0.014119%
Nur,0.014119%
Goker,0.014119%
Gokgoz,0.014119%
Turgay,0.014119%
Araz,0.014119%
Catak,0.014119%
Elektronik,0.014119%
Baba,0.014119%
Baykara,0.014119%
Battal,0.014119%
Kivrak,0.014119%
Kurban,0.014119%
Kasapoglu,0.014119%
Yurt,0.014119%
Ihsan,0.013951%
Namli,0.013951%
Gunel,0.013951%
Saral,0.013951%
Muslu,0.013951%
Ceran,0.013951%
Balli,0.013951%
Boztepe,0.013951%
Bekir,0.013951%
Karaagac,0.013951%
Karaoglan,0.013951%
Gezgin,0.013783%
Saruhan,0.013783%
Aka,0.013783%
Asar,0.013783%
Akkas,0.013783%
Onen,0.013783%
Okyay,0.013783%
Makina,0.013783%
Canbaz,0.013783%
Cosgun,0.013783%
Demirkan,0.013783%
Eyuboglu,0.013783%
Berberoglu,0.013783%
Kilicarslan,0.013783%
Karatepe,0.013783%
Piskin,0.013783%
Nas,0.013615%
Surmeli,0.013615%
Oto,0.013615%
Ozdil,0.013615%
Bali,0.013615%
Koylu,0.013615%
Kotan,0.013615%
Imamoglu,0.013447%
Ticaret,0.013447%
Sargin,0.013447%
Sayan,0.013447%
Ayata,0.013447%
Fatma,0.013447%
Ozkurt,0.013447%
Mobilya,0.013447%
Dikici,0.013447%
Demirok,0.013447%
Doner,0.013447%
Bolukbasi,0.013447%
Kiyak,0.013447%
Yasa,0.013447%
Nergiz,0.013279%
Gursel,0.013279%
Garip,0.013279%
Turkay,0.013279%
Omur,0.013279%
Muhendislik,0.013279%
Durgut,0.013279%
Durna,0.013279%
Bozdogan,0.013279%
Kamil,0.013279%
Kocoglu,0.013279%
Giray,0.013111%
Sak,0.013111%
Atabey,0.013111%
Asci,0.013111%
Akkoyun,0.013111%
Helvaci,0.013111%
Mermer,0.013111%
Calisir,0.013111%
Ceviz,0.013111%
Demirer,0.013111%
Karapinar,0.013111%
Kantar,0.013111%
Yeni,0.013111%
Ramazan,0.012943%
Gida,0.012943%
Taspinar,0.012943%
Tasan,0.012943%
Ture,0.012943%
Toptas,0.012943%
Sutcu,0.012943%
Sipahi,0.012943%
Abay,0.012943%
Agca,0.012943%
Media,0.012943%
Derya,0.012943%
Erbil,0.012943%
Yenilmez,0.012943%
Gulhan,0.012775%
Ozkara,0.012775%
Organizasyon,0.012775%
Damar,0.012775%
Volkan,0.012775%
Emiroglu,0.012775%
Kocaturk,0.012775%
Gol,0.012606%
Gencoglu,0.012606%
Senyurt,0.012606%
Arman,0.012606%
Altindag,0.012606%
Arslanturk,0.012606%
Duygu,0.012606%
Veli,0.012606%
Elif,0.012606%
Kayikci,0.012606%
Karli,0.012606%
Kayali,0.012606%
Yel,0.012606%
Ulucay,0.012438%
Turkey,0.012438%
Tanis,0.012438%
Sokmen,0.012438%
Sistemleri,0.012438%
Adak,0.012438%
Akkoc,0.012438%
Arkan,0.012438%
Akbal,0.012438%
Ozhan,0.012438%
Eski,0.012438%
Erguven,0.012438%
Kesgin,0.012438%
Karadayi,0.012438%
Kocakaya,0.012438%
Lacin,0.012438%
Yolal,0.012438%
Nacar,0.012270%
Gorgun,0.012270%
Telekom,0.012270%
Talay,0.012270%
Turkan,0.012270%
Seymen,0.012270%
Sakalli,0.012270%
Ada,0.012270%
Armagan,0.012270%
Olcer,0.012270%
Oran,0.012270%
Macit,0.012270%
Cakmakci,0.012270%
Civan,0.012270%
Baydar,0.012270%
Kabakci,0.012270%
Karatay,0.012270%
Yurttas,0.012270%
Zeren,0.012102%
Tandogan,0.012102%
Tur,0.012102%
Taha,0.012102%
Savci,0.012102%
Sevgi,0.012102%
Atan,0.012102%
Haber,0.012102%
Mentes,0.012102%
Cetinel,0.012102%
Dilmen,0.012102%
Yurekli,0.012102%
Yoldas,0.012102%
Yarar,0.012102%
Reis,0.011934%
Ibis,0.011934%
Gurpinar,0.011934%
Tezel,0.011934%
Tugrul,0.011934%
Altinisik,0.011934%
Aral,0.011934%
Aker,0.011934%
Halici,0.011934%
Caylak,0.011934%
Cin,0.011934%
Kulaksiz,0.011934%
Kenan,0.011934%
Kavas,0.011934%
Kanbur,0.011934%
Karali,0.011934%
Kibar,0.011934%
Yeter,0.011934%
Ulgen,0.011766%
Iscan,0.011766%
Gercek,0.011766%
Topcuoglu,0.011766%
Turkel,0.011766%
Soft,0.011766%
Okutan,0.011766%
Okcu,0.011766%
Cubukcu,0.011766%
Durdu,0.011766%
Balik,0.011766%
Kuran,0.011766%
Kumru,0.011766%
Yetim,0.011766%
Yerli,0.011766%
Gursu,0.011598%
Satilmis,0.011598%
Satir,0.011598%
Saltik,0.011598%
Aycan,0.011598%
Ayas,0.011598%
Akduman,0.011598%
Manav,0.011598%
Citak,0.011598%
Ekim,0.011598%
Kabak,0.011598%
Kerim,0.011598%
Pak,0.011598%
Ulus,0.011430%
Tellioglu,0.011430%
Teknik,0.011430%
Toy,0.011430%
Adem,0.011430%
Atasever,0.011430%
Akdas,0.011430%
Ordu,0.011430%
Orak,0.011430%
Hamarat,0.011430%
Camci,0.011430%
Degerli,0.011430%
Ertunc,0.011430%
Erkul,0.011430%
Baykan,0.011430%
Bahceci,0.011430%
Kurtulmus,0.011430%
Kayacan,0.011430%
Yaprak,0.011430%
Ilter,0.011262%
Selek,0.011262%
Sahinoglu,0.011262%
Saygi,0.011262%
Oren,0.011262%
Copur,0.011262%
Eyup,0.011262%
Burhan,0.011262%
Kilicoglu,0.011262%
Gazi,0.011094%
Gulsoy,0.011094%
Tokmak,0.011094%
