LastName,Percentage
Joseph,2.364224%
Singh,2.268319%
Thomas,1.868534%
Charles,1.827586%
Williams,1.365302%
Lewis,1.323276%
John,1.258621%
James,1.217672%
George,1.003233%
Mohammed,0.994612%
Edwards,0.950431%
Roberts,0.851293%
Phillip,0.828664%
Alexander,0.817888%
Smith,0.799569%
Francis,0.784483%
Mc,0.750000%
Pierre,0.741379%
Baptiste,0.727371%
Mitchell,0.685345%
Ali,0.656250%
Clarke,0.655172%
Henry,0.631466%
Jones,0.628233%
Daniel,0.619612%
Johnson,0.591595%
De,0.562500%
Samuel,0.560345%
Paul,0.556034%
Maharaj,0.533405%
Peters,0.532328%
Phillips,0.524784%
Alleyne,0.493534%
Noel,0.459052%
King,0.443966%
Richards,0.442888%
Khan,0.424569%
Andrews,0.417026%
Stewart,0.395474%
Wilson,0.389009%
Campbell,0.373922%
Moore,0.370690%
Grant,0.350216%
Rampersad,0.339440%
St,0.332974%
David,0.323276%
Solomon,0.306034%
Julien,0.302802%
Persad,0.293103%
Sylvester,0.287716%
Simon,0.286638%
Murray,0.283405%
Lawrence,0.283405%
Griffith,0.282328%
Hosein,0.276940%
Bernard,0.276940%
Morris,0.260776%
Robinson,0.259698%
Antoine,0.259698%
Adams,0.257543%
Nelson,0.255388%
Frederick,0.234914%
Sandy,0.232759%
Fraser,0.229526%
Gordon,0.227371%
Moses,0.227371%
Abraham,0.226293%
Nicholas,0.223060%
Mahabir,0.216595%
Ramkissoon,0.207974%
Huggins,0.205819%
Lee,0.203664%
Jackson,0.202586%
Reid,0.200431%
Isaac,0.198276%
Hamilton,0.192888%
Harry,0.185345%
Thompson,0.175647%
Warner,0.174569%
Walker,0.174569%
Jacob,0.173491%
Felix,0.170259%
Young,0.169181%
Wallace,0.162716%
Reyes,0.160560%
Brown,0.156250%
Sampson,0.151940%
Rogers,0.150862%
Lynch,0.149784%
Matthews,0.148707%
Roach,0.146552%
Taylor,0.144397%
Walters,0.144397%
Alfred,0.142241%
Martin,0.142241%
Ramnarine,0.141164%
Toussaint,0.140086%
Samaroo,0.139009%
Quashie,0.137931%
Blackman,0.137931%
La,0.133621%
Graham,0.132543%
Jack,0.131466%
Guy,0.130388%
Augustine,0.130388%
Douglas,0.127155%
Weekes,0.126078%
Davis,0.123922%
Gabriel,0.122845%
Miller,0.121767%
Bobb,0.117457%
Ramoutar,0.115302%
Spencer,0.115302%
O-brien,0.114224%
Maraj,0.114224%
Philip,0.113147%
Garcia,0.109914%
Scott,0.108836%
Benjamin,0.108836%
Sinanan,0.105603%
Oliver,0.105603%
Prince,0.105603%
Duncan,0.103448%
Waldron,0.103448%
Hall,0.102371%
Ramdass,0.101293%
Riley,0.101293%
Timothy,0.101293%
Narine,0.100216%
Anthony,0.100216%
Boodoo,0.100216%
Mills,0.099138%
Chin,0.099138%
Ward,0.099138%
Allen,0.098060%
Morgan,0.096983%
Baksh,0.096983%
Sankar,0.095905%
Anderson,0.095905%
Hernandez,0.095905%
Richardson,0.094828%
Mohan,0.094828%
Raymond,0.093750%
Harris,0.093750%
Ramroop,0.091595%
Hector,0.091595%
Ramcharan,0.090517%
Gonzales,0.090517%
Sammy,0.090517%
Sealy,0.089440%
Sharma,0.088362%
Ferreira,0.088362%
Ramlal,0.087284%
Gomez,0.087284%
Holder,0.087284%
Dick,0.087284%
Beharry,0.087284%
Seepersad,0.086207%
Valentine,0.086207%
Ramlogan,0.085129%
Matthew,0.085129%
Ross,0.084052%
White,0.084052%
Ramdeen,0.082974%
Gopaul,0.082974%
Cooper,0.082974%
Basdeo,0.082974%
Gibson,0.081897%
Forde,0.081897%
London,0.081897%
Rodriguez,0.080819%
Watson,0.080819%
