LastName,Percentage
Chen,8.192824%
Lin,6.351588%
Huang,4.424361%
Chang,3.869630%
Wang,3.500371%
Lee,3.063668%
Wu,2.962501%
Liu,2.311661%
Hsu,2.210494%
Yang,1.917111%
Tsai,1.691172%
Li,1.556282%
Cheng,1.546166%
Yu,1.273015%
Lu,1.055507%
Lai,1.045390%
Hsieh,1.018412%
Kuo,0.993121%
Liao,0.986376%
Chou,0.883523%
Hung,0.844743%
Tseng,0.839684%
Chiu,0.794159%
Chiang,0.787415%
Yeh,0.735145%
Su,0.671073%
Wei,0.628920%
Ho,0.625548%
Chung,0.605315%
Shih,0.578337%
Chu,0.578337%
Kao,0.574965%
Chuang,0.563162%
Null,0.556417%
Chien,0.554731%
Hsiao,0.529440%
Lo,0.485601%
Hu,0.453564%
Chao,0.435017%
Wen,0.424901%
Yen,0.418156%
Pan,0.414784%
Peng,0.413098%
Chan,0.386120%
Liang,0.382748%
Shen,0.376003%
Yi,0.376003%
Chi,0.340595%
Tang,0.327106%
Chun,0.308559%
Fan,0.300128%
Ming,0.295070%
Ting,0.291698%
Hong,0.291698%
Fang,0.290011%
Fu,0.269778%
Zhang,0.263034%
Chih,0.256289%
Chia,0.252917%
Tai,0.242800%
Tu,0.239428%
Sun,0.236056%
Hou,0.234370%
Ko,0.230998%
Chin,0.227625%
Feng,0.214136%
Ching,0.210764%
Yuan,0.209078%
Ltd,0.207392%
Tsao,0.202334%
Han,0.190531%
Lan,0.190531%
Shu,0.183786%
Ku,0.171984%
Sung,0.168611%
Tung,0.165239%
Yao,0.165239%
Hui,0.163553%
Ma,0.163553%
Ni,0.161867%
Cai,0.161867%
Weng,0.161867%
Teng,0.155122%
Guo,0.151750%
Xu,0.151750%
Kang,0.150064%
Ying,0.150064%
Jiang,0.143320%
Luo,0.143320%
Ling,0.139947%
Sheng,0.134889%
Hsueh,0.126458%
Hao,0.126458%
Hsin,0.124772%
Zheng,0.123086%
Lien,0.121400%
Ou,0.118028%
Pai,0.118028%
Xie,0.116342%
Liou,0.111283%
You,0.109597%
Yin,0.107911%
Ke,0.104539%
Inc,0.102853%
Kuan,0.102853%
He,0.101167%
Kung,0.099481%
Yun,0.099481%
Shi,0.096108%
Cho,0.096108%
Tan,0.094422%
Mei,0.092736%
Min,0.092736%
Jen,0.091050%
Yan,0.091050%
Wong,0.091050%
Zeng,0.089364%
Jia,0.089364%
Pei,0.087678%
Tien,0.085992%
Rong,0.084306%
Tzu,0.084306%
Hsiang,0.084306%
Jhang,0.084306%
Chiou,0.084306%
Wan,0.084306%
Zhou,0.082620%
Meng,0.082620%
Dai,0.080933%
Ye,0.079247%
Kai,0.077561%
Yung,0.077561%
Tsung,0.075875%
Hsia,0.075875%
Jian,0.075875%
Ya,0.075875%
Song,0.074189%
Po,0.074189%
Hua,0.072503%
Zhu,0.070817%
Hwang,0.070817%
Shieh,0.069131%
Gao,0.067445%
Ping,0.065758%
Chieh,0.062386%
Ding,0.062386%
Tsou,0.060700%
Syu,0.060700%
Mao,0.060700%
Qiu,0.060700%
Jung,0.059014%
Deng,0.059014%
Lei,0.059014%
Che,0.057328%
Tahan,0.055642%
Hsing,0.055642%
Hsien,0.055642%
Xiao,0.055642%
Kun,0.053956%
Pao,0.053956%
Pin,0.052270%
Gu,0.050583%
Zhuang,0.050583%
Shao,0.050583%
Jun,0.050583%
Tzeng,0.048897%
Hsiu,0.048897%
Lim,0.048897%
Zhong,0.047211%
Hsuan,0.047211%
Jing,0.047211%
Ju,0.047211%
Jan,0.047211%
Tao,0.045525%
Shan,0.045525%
Shiu,0.045525%
Hsi,0.045525%
Mr,0.045525%
Jie,0.045525%
Du,0.045525%
Kevin,0.045525%
Yueh,0.045525%
Te,0.043839%
Chris,0.043839%
Bai,0.043839%
Juan,0.042153%
Kan,0.042153%
Lung,0.042153%
Young,0.042153%
Zhao,0.040467%
An,0.040467%
Shin,0.038781%
Jui,0.038781%
Fei,0.037094%
Heng,0.037094%
Co,0.037094%
Ren,0.035408%
Nien,0.035408%
Netc,0.035408%
Taiwan,0.035408%
Shang,0.035408%
Sie,0.035408%
En,0.035408%
Long,0.035408%
Zhan,0.033722%
Hsiung,0.033722%
Jhou,0.033722%
Jin,0.033722%
