LastName,Percentage
Mohamed,0.827676%
Joseph,0.539384%
John,0.492886%
Charles,0.353390%
Tanzania,0.334790%
Mushi,0.316191%
Emmanuel,0.316191%
Ltd,0.316191%
Sanga,0.306891%
Peter,0.306891%
Abdallah,0.297591%
Rashid,0.269692%
Mussa,0.269692%
James,0.269692%
Juma,0.260392%
David,0.260392%
Swai,0.251093%
Njau,0.241793%
Ally,0.232493%
Moshi,0.223194%
Haule,0.213894%
Mollel,0.213894%
Msuya,0.213894%
Massawe,0.213894%
Richard,0.195294%
Ngowi,0.195294%
Mwanga,0.195294%
Kimaro,0.195294%
Lyimo,0.195294%
Shah,0.185995%
Ali,0.185995%
Minja,0.185995%
Media,0.185995%
Mnaro,0.185995%
Edward,0.185995%
Rajab,0.176695%
Shariff,0.176695%
Paul,0.176695%
Wilson,0.176695%
Tarimo,0.167395%
Salum,0.167395%
Helela,0.167395%
Temu,0.158095%
Maro,0.158095%
Mkumbo,0.158095%
Komba,0.158095%
Godwin,0.148796%
Godfrey,0.148796%
Lema,0.148796%
Shija,0.139496%
Mwita,0.139496%
Marwa,0.139496%
Kessy,0.139496%
Robert,0.130196%
Ibrahim,0.130196%
Suleiman,0.130196%
Mmari,0.130196%
Mariki,0.130196%
Kileo,0.130196%
Kaswaga,0.130196%
Ngonyani,0.120896%
Thomas,0.120896%
Shayo,0.120896%
Alex,0.120896%
Francis,0.120896%
Mlay,0.120896%
Msangi,0.120896%
Budida,0.120896%
Lyatuu,0.120896%
Raphael,0.111597%
Urio,0.111597%
Issa,0.111597%
Simon,0.111597%
Stephen,0.111597%
Andrew,0.111597%
Akilimali,0.111597%
Ahmed,0.111597%
Mathias,0.111597%
Mrema,0.111597%
Jacob,0.111597%
Daniel,0.111597%
Kisanga,0.111597%
Patel,0.111597%
Patrick,0.111597%
Ndomba,0.102297%
George,0.102297%
Shirima,0.102297%
Saleh,0.102297%
Amon,0.102297%
Hussein,0.102297%
Mosha,0.102297%
Martin,0.102297%
Mallya,0.102297%
Michael,0.102297%
Masanja,0.102297%
Jackson,0.102297%
Dewji,0.102297%
Elias,0.102297%
Kapilima,0.102297%
William,0.102297%
Nyanganyi,0.092997%
Nyange,0.092997%
Gabriel,0.092997%
Africa,0.092997%
Alphonce,0.092997%
Omary,0.092997%
Mbwambo,0.092997%
Marandu,0.092997%
Makundi,0.092997%
Elhamdan,0.092997%
Bhatt,0.092997%
Kweka,0.092997%
Waryoba,0.092997%
Nnko,0.083698%
Ndori,0.083698%
Tz,0.083698%
Samwel,0.083698%
Salim,0.083698%
Shabani,0.083698%
Seif,0.083698%
Akyoo,0.083698%
Ambukege,0.083698%
Amos,0.083698%
Anthony,0.083698%
Oddo,0.083698%
Hamdan,0.083698%
Hamis,0.083698%
Herman,0.083698%
Haji,0.083698%
Maggidi,0.083698%
Mbilinyi,0.083698%
Mponji,0.083698%
Mwaipopo,0.083698%
Macha,0.083698%
Msekwa,0.083698%
Maganga,0.083698%
Christopher,0.083698%
Kavishe,0.083698%
Kayombo,0.083698%
Yassin,0.083698%
Yamala,0.083698%
Nchimbi,0.074398%
Gabagambi,0.074398%
Tesha,0.074398%
Tonny,0.074398%
Sangiwa,0.074398%
Omar,0.074398%
Hassan,0.074398%
Hamisi,0.074398%
Masota,0.074398%
Mtui,0.074398%
Mwaisaka,0.074398%
Mboya,0.074398%
Mgaya,0.074398%
Mziray,0.074398%
Muriaga,0.074398%
Daffa,0.074398%
Kagoma,0.074398%
Kamala,0.074398%
Kaaya,0.074398%
Yegella,0.074398%
Pallangyo,0.074398%
Ramadhani,0.065098%
Ismail,0.065098%
Inc,0.065098%
Ndee,0.065098%
Ndosi,0.065098%
Selemani,0.065098%
Sunzu,0.065098%
Senso,0.065098%
Abel,0.065098%
Amani,0.065098%
August,0.065098%
Host,0.065098%
Hamad,0.065098%
