LastName,Percentage
Ivanov,0.422428%
Aleksandr,0.397036%
Aleksandrovich,0.361257%
Vladimirovich,0.348561%
Sergeevich,0.312781%
Nikolaevich,0.289698%
Sergey,0.261998%
Viktorovich,0.256227%
Shevchenko,0.245839%
Kovalenko,0.228527%
Andrey,0.215831%
Kravchenko,0.196210%
Roman,0.192747%
Oleg,0.191593%
Tkachenko,0.186976%
Petrov,0.186976%
Ivanovich,0.184668%
Bondarenko,0.182360%
Igor,0.173126%
Vladimir,0.171972%
Ivan,0.167355%
Popov,0.155814%
Oleksandr,0.154659%
Denis,0.148889%
Dmitriy,0.145426%
Olegovich,0.144272%
Anatolevich,0.138501%
Koval,0.137347%
Petrenko,0.126959%
Petrovich,0.124651%
Igorevich,0.118880%
Kovalchuk,0.117726%
Anton,0.115417%
Vasilevich,0.110801%
Fedorov,0.107338%
Maksim,0.107338%
Melnik,0.106184%
Yuriy,0.106184%
Volkov,0.102722%
Pavlenko,0.100413%
Alexander,0.099259%
Vitaliy,0.099259%
Marchenko,0.098105%
Andreevich,0.096951%
Viktor,0.096951%
Evgeniy,0.096951%
Boyko,0.094642%
Smirnov,0.093488%
Karpenko,0.093488%
Shevchuk,0.091180%
Savchenko,0.091180%
Artem,0.091180%
Rudenko,0.090026%
Ruslan,0.087717%
Kuzmenko,0.087717%
Bondar,0.086563%
Ponomarenko,0.083101%
Orlov,0.081946%
Leonidovich,0.081946%
Romanenko,0.080792%
Andriy,0.080792%
Ltd,0.080792%
Iurevich,0.079638%
Vladimirovna,0.079638%
Pavel,0.078484%
Aleksey,0.077330%
Bogdan,0.077330%
Oleksandrovich,0.076176%
Aleksandrovna,0.075021%
Melnyk,0.075021%
Volodimirovich,0.073867%
Klimenko,0.073867%
Moroz,0.072713%
Morozov,0.072713%
Elena,0.071559%
Konstantin,0.071559%
Sergeevna,0.069250%
Alekseevich,0.069250%
Mikhailovich,0.069250%
Valerievich,0.069250%
Sokolov,0.068096%
Kuznetsov,0.068096%
Nesterenko,0.066942%
Vladislav,0.066942%
Kravchuk,0.066942%
Pavlov,0.066942%
Sergej,0.065788%
Alexandr,0.065788%
Romanov,0.064634%
Kolesnik,0.064634%
Nikolaevna,0.062325%
Tarasenko,0.062325%
Andreev,0.062325%
Olga,0.062325%
Ivanova,0.061171%
Goncharov,0.061171%
Stanislav,0.061171%
Vadim,0.061171%
Person,0.061171%
Taras,0.060017%
Panchenko,0.060017%
Dmitry,0.058863%
Irina,0.057709%
Mazur,0.057709%
