LastName,Percentage
Ronald,0.606506%
Brian,0.514611%
Ltd,0.468664%
Uganda,0.459474%
Peter,0.459474%
John,0.450285%
Andrew,0.431906%
Amnon,0.422716%
Moses,0.422716%
Joseph,0.422716%
Nuwagaba,0.385958%
Daniel,0.376769%
David,0.376769%
Emmanuel,0.376769%
Michael,0.367579%
Isaac,0.358390%
Paul,0.358390%
Jakony,0.349201%
Samuel,0.330822%
Robert,0.303253%
Stephen,0.303253%
Denis,0.294064%
Simon,0.284874%
Okello,0.284874%
Asiimwe,0.266495%
Musoke,0.266495%
Richard,0.257306%
Francis,0.257306%
Odongkara,0.257306%
Muhumuza,0.257306%
Lubega,0.257306%
James,0.248116%
Tumusiime,0.238927%
Julius,0.229737%
George,0.220548%
Mugisha,0.220548%
Charles,0.220548%
Timothy,0.211358%
Kamugisha,0.211358%
Nsubuga,0.202169%
Fred,0.192979%
Dennis,0.192979%
Patrick,0.192979%
Martin,0.183790%
Muzanganda,0.183790%
Kasozi,0.183790%
Allan,0.174600%
Micheal,0.174600%
Joshua,0.174600%
Collins,0.174600%
Bukenya,0.174600%
Innocent,0.165411%
Ivan,0.165411%
Ibrahim,0.165411%
Semakula,0.165411%
Abdi,0.165411%
Henry,0.165411%
Byaruhanga,0.165411%
Africa,0.156221%
Media,0.156221%
Joel,0.156221%
Kizito,0.156221%
Kibuuka,0.156221%
Ali,0.147032%
Agaba,0.147032%
Mutumba,0.147032%
Jonathan,0.147032%
Edward,0.147032%
Baker,0.147032%
Kasule,0.147032%
Lwanga,0.147032%
Nsereko,0.137842%
Team,0.137842%
Mark,0.137842%
Mawejje,0.137842%
Matovu,0.137842%
Birungi,0.137842%
Kayiwa,0.137842%
Katende,0.137842%
Yusuf,0.137842%
William,0.137842%
Ian,0.128653%
Nicholas,0.128653%
Gerald,0.128653%
Asaba,0.128653%
Otim,0.128653%
Mugeere,0.128653%
Eric,0.128653%
Benjamin,0.128653%
Kisakye,0.128653%
Kintu,0.128653%
Godfrey,0.119463%
Gilbert,0.119463%
Geoffrey,0.119463%
Sema,0.119463%
Anthony,0.119463%
Herbert,0.119463%
Mubiru,0.119463%
Mbabazi,0.119463%
Mutyaba,0.119463%
Vincent,0.119463%
Businge,0.119463%
Bernald,0.119463%
Kato,0.119463%
Katongole,0.119463%
Lukwago,0.119463%
Rogers,0.110274%
Raymond,0.110274%
Ntege,0.110274%
Safaris,0.110274%
Solomon,0.110274%
Smith,0.110274%
Ssebagala,0.110274%
Atuhaire,0.110274%
Abunyanga,0.110274%
Mwesigwa,0.110274%
Mutebi,0.110274%
Mukama,0.110274%
Mwangi,0.110274%
Ddungu,0.110274%
Egesa,0.110274%
Kivumbi,0.110274%
Kasimu,0.110274%
Gidongo,0.101084%
Geofrey,0.101084%
Tamale,0.101084%
Tumwesigye,0.101084%
Steven,0.101084%
Alex,0.101084%
Amanya,0.101084%
Oluka,0.101084%
Odongo,0.101084%
Owachgiu,0.101084%
Hassan,0.101084%
Masaba,0.101084%
Mulongo,0.101084%
Mukasa,0.101084%
Mucunguzi,0.101084%
Musekura,0.101084%
Christopher,0.101084%
Derrick,0.101084%
Ezra,0.101084%
Bwambale,0.101084%
Kawooya,0.101084%
Kiwanuka,0.101084%
Kitone,0.101084%
Kyambadde,0.101084%
Kenneth,0.101084%
Leonard,0.101084%
Nanghaka,0.091895%
Thomas,0.091895%
Tabula,0.091895%
Tom,0.091895%
Serunjogi,0.091895%
Sentamu,0.091895%
Ssali,0.091895%
Abbey,0.091895%
Fredrick,0.091895%
Opolot,0.091895%
Opendi,0.091895%
Odeke,0.091895%
Dan,0.091895%
Byamukama,0.091895%
Katamba,0.091895%
Kaggwa,0.091895%
Patel,0.091895%
Wilson,0.091895%
Rashid,0.082705%
Ntambi,0.082705%
Shah,0.082705%
Amayo,0.082705%
Arthur,0.082705%
Okumu,0.082705%
Opio,0.082705%
Owor,0.082705%
Hussein,0.082705%
Musinguzi,0.082705%
Mugabi,0.082705%
Mushabe,0.082705%
Mangeni,0.082705%
Jophesi,0.082705%
Carl,0.082705%
Ddiba,0.082705%
Edwin,0.082705%
Batambuze,0.082705%
Kamoga,0.082705%
Kasese,0.082705%
Kalema,0.082705%
Kiiza,0.082705%
Lukyamuzi,0.082705%
Lutaaya,0.082705%
Lule,0.082705%
Yiga,0.082705%
Pius,0.082705%
Rukundo,0.073516%
Isabirye,0.073516%
Nsamba,0.073516%
Tebandeke,0.073516%
Tech,0.073516%
Atkin,0.073516%
Frank,0.073516%
Fahad,0.073516%
Onyango,0.073516%
Oscar,0.073516%
Okhutu,0.073516%
Hagumimana,0.073516%
Holiness,0.073516%
Mugaba,0.073516%
Mugasa,0.073516%
Muhindo,0.073516%
Mohamed,0.073516%
Johnson,0.073516%
Jimmy,0.073516%
Ddumba,0.073516%
Duncan,0.073516%
Edgar,0.073516%
Esiat,0.073516%
Ekwacu,0.073516%
Bashir,0.073516%
Baguma,0.073516%
Bosco,0.073516%
Kiberu,0.073516%
Kunihira,0.073516%
Kateega,0.073516%
Kazibwe,0.073516%
Kabuye,0.073516%
Kisitu,0.073516%
Karungi,0.073516%
Kayondo,0.073516%
Kigozi,0.073516%
Kaweesa,0.073516%
Wagaba,0.073516%
Wabwire,0.073516%
Wamala,0.073516%
Roberts,0.064326%
Rwothomio,0.064326%
Ramadhan,0.064326%
Nyanzi,0.064326%
Nakibinge,0.064326%
Nasser,0.064326%
Grace,0.064326%
Tesot,0.064326%
Tusiime,0.064326%
Shafiq,0.064326%
Sengooba,0.064326%
Sanya,0.064326%
Segawa,0.064326%
Ssonko,0.064326%
Ssenfuma,0.064326%
Ambrose,0.064326%
Ayebale,0.064326%
Oyuru,0.064326%
Okot,0.064326%
Onen,0.064326%
Omara,0.064326%
Mai,0.064326%
Muhanguzi,0.064326%
Manishimwe,0.064326%
Mbowa,0.064326%
Mugume,0.064326%
Musasizi,0.064326%
Murungi,0.064326%
Jeff,0.064326%
Citadel,0.064326%
Chris,0.064326%
Victor,0.064326%
Emmy,0.064326%
Elasu,0.064326%
Byamugisha,0.064326%
Bernard,0.064326%
Brown,0.064326%
Kyeyune,0.064326%
Kayima,0.064326%
Kirigwajjo,0.064326%
Kamya,0.064326%
Kitaka,0.064326%
Kisenyi,0.064326%
Luboyera,0.064326%
Lubuulwa,0.064326%
Lutalo,0.064326%
Lawrence,0.064326%
Lugobwa,0.064326%
Wandera,0.064326%
Registation,0.055137%
Niyonzima,0.055137%
Niwagaba,0.055137%
Ndawula,0.055137%
Galiwango,0.055137%
Gabriel,0.055137%
Thakkar,0.055137%
Turihamwe,0.055137%
Twinomugisha,0.055137%
Titus,0.055137%
Turyagyenda,0.055137%
Tushabe,0.055137%
Tumwine,0.055137%
Senteza,0.055137%
Sharp,0.055137%
Singh,0.055137%
Sebbale,0.055137%
Ssemyalo,0.055137%
Ssendi,0.055137%
Arinaitwe,0.055137%
Ato,0.055137%
Apollo,0.055137%
Atukunda,0.055137%
Arnold,0.055137%
Ahimbisibwe,0.055137%
Owino,0.055137%
Ochieng,0.055137%
Obunga,0.055137%
Oloya,0.055137%
Habib,0.055137%
Hamza,0.055137%
Mickoh,0.055137%
Mulindwa,0.055137%
Muyinda,0.055137%
Mugambe,0.055137%
Matsiko,0.055137%
Migadde,0.055137%
Mwaka,0.055137%
Mbambu,0.055137%
Muhereza,0.055137%
Mubarak,0.055137%
Masambu,0.055137%
Musisi,0.055137%
Mugisa,0.055137%
Masembe,0.055137%
Cornelius,0.055137%
Vicent,0.055137%
Bazarwa,0.055137%
Battenberg,0.055137%
Bob,0.055137%
Byarugaba,0.055137%
Blauer,0.055137%
Buwembo,0.055137%
