LastName,Percentage
Rodriguez,1.733325%
Gonzalez,1.206590%
Martinez,1.010596%
Garcia,0.973847%
Fernandez,0.881975%
Perez,0.783977%
Lopez,0.679855%
Silva,0.667606%
Diaz,0.471611%
Suarez,0.416488%
Alvarez,0.410363%
Sosa,0.404238%
Hernandez,0.385864%
Gomez,0.367489%
Cabrera,0.361365%
Acosta,0.355240%
Castro,0.342990%
Ferreira,0.336865%
Pereira,0.330740%
Varela,0.324616%
Viera,0.306241%
Sanchez,0.300116%
Sa,0.300116%
Juan,0.269492%
Olivera,0.251118%
Mendez,0.244993%
Alonso,0.238868%
Gutierrez,0.232743%
Santos,0.232743%
Maria,0.232743%
Cardozo,0.226618%
Pereyra,0.214369%
Machado,0.202119%
Uruguay,0.195994%
Blanco,0.195994%
Carlos,0.189870%
Rivero,0.183745%
Vazquez,0.183745%
Pablo,0.183745%
Ferrari,0.177620%
Morales,0.177620%
Medina,0.177620%
Pintos,0.177620%
Correa,0.171495%
Leon,0.171495%
Martin,0.165370%
Barboza,0.165370%
Ramos,0.159245%
Nunez,0.159245%
Moreira,0.159245%
Castillo,0.159245%
Reyes,0.153121%
Silveira,0.153121%
Duarte,0.153121%
Delgado,0.153121%
Silvera,0.146996%
Franco,0.146996%
Pena,0.146996%
Rosa,0.140871%
Moreno,0.140871%
Jose,0.140871%
Torres,0.134746%
Marquez,0.134746%
Dominguez,0.134746%
Ruiz,0.128621%
Romero,0.128621%
Guerra,0.128621%
Flores,0.128621%
Costa,0.128621%
Benitez,0.128621%
Rios,0.116372%
Iglesias,0.116372%
Gimenez,0.116372%
Techera,0.116372%
Aguirre,0.116372%
Quintana,0.116372%
Bonilla,0.116372%
Barreiro,0.116372%
Perdomo,0.116372%
Umpierrez,0.110247%
Srl,0.110247%
Fagundez,0.110247%
Jorge,0.110247%
Herrera,0.104122%
Santiago,0.097997%
Montero,0.097997%
Diego,0.097997%
Barrios,0.097997%
Luis,0.097997%
Pacheco,0.097997%
Piriz,0.097997%
Nogueira,0.091872%
Ayala,0.091872%
Araujo,0.091872%
Fuentes,0.091872%
Monteverde,0.091872%
Villar,0.091872%
Lafuente,0.091872%
Lorenzo,0.091872%
Rocha,0.085748%
Roura,0.085748%
Ibarra,0.085748%
Gonzalo,0.085748%
Tejera,0.085748%
Sanguinetti,0.085748%
Andres,0.085748%
Arias,0.085748%
Figueredo,0.085748%
Federico,0.085748%
Mello,0.085748%
Cruz,0.085748%
Caceres,0.085748%
Casal,0.085748%
Campos,0.085748%
Curbelo,0.085748%
Vargas,0.085748%
Borges,0.085748%
Barreto,0.085748%
Bentancurt,0.085748%
Lima,0.085748%
Ltda,0.085748%
Larrosa,0.085748%
Rivas,0.079623%
Gabriel,0.079623%
Souza,0.079623%
Soria,0.079623%
Artigas,0.079623%
Antunez,0.079623%
Alvez,0.079623%
Fernando,0.079623%
Huelmo,0.079623%
Marcos,0.079623%
Bentancor,0.079623%
Paz,0.079623%
Peralta,0.079623%
Risso,0.073498%
Revello,0.073498%
Nieves,0.073498%
Sierra,0.073498%
Marcelo,0.073498%
Caraballo,0.073498%
Camacho,0.073498%
Duran,0.073498%
Pais,0.073498%
Prado,0.073498%
Rossi,0.067373%
Ramirez,0.067373%
Roldan,0.067373%
Gorrochategui,0.067373%
Gil,0.067373%
Saettone,0.067373%
