LastName,Percentage
Williams,6.907232%
John,4.413814%
Samuel,2.958030%
Lewis,2.865108%
James,2.570853%
Thomas,2.385009%
Charles,2.276599%
Richards,2.028806%
Joseph,1.842961%
King,1.827474%
Edwards,1.719065%
Peters,1.564194%
Roberts,1.455784%
Browne,1.161530%
Davis,1.115069%
Mc,1.053121%
Phillips,0.960198%
Jackson,0.944711%
George,0.929224%
Alexander,0.867276%
Adams,0.836302%
Matthews,0.789840%
Daniel,0.758866%
Harry,0.743379%
Jack,0.743379%
Baptiste,0.727892%
Johnson,0.650457%
Gibson,0.619483%
Frederick,0.603996%
Ollivierre,0.573022%
Da,0.511073%
Simmons,0.495586%
De,0.464612%
Providence,0.449125%
Stapleton,0.433638%
Francis,0.433638%
Wilson,0.433638%
Glasgow,0.387177%
Douglas,0.387177%
Smith,0.356203%
Ltd,0.356203%
Young,0.356203%
Clarke,0.325228%
Patterson,0.325228%
Robertson,0.309741%
Stewart,0.294254%
Haynes,0.278767%
Robinson,0.263280%
Shallow,0.263280%
Franklyn,0.263280%
Jacobs,0.263280%
Quashie,0.263280%
Grant,0.247793%
Jones,0.247793%
Dougan,0.247793%
Nanton,0.232306%
Gill,0.232306%
Dickson,0.232306%
Isaacs,0.216819%
Friday,0.216819%
Hamilton,0.216819%
Morgan,0.216819%
Cain,0.216819%
Richardson,0.201332%
St,0.201332%
Hackshaw,0.201332%
Mitchell,0.201332%
Millington,0.201332%
Jeffers,0.201332%
Cyrus,0.201332%
Bailey,0.201332%
Bowman,0.201332%
Pierre,0.201332%
Ryan,0.185845%
Garraway,0.185845%
Gonsalves,0.185845%
Sutherland,0.185845%
Ashton,0.185845%
Huggins,0.185845%
Miller,0.185845%
Dennie,0.185845%
Defreitas,0.185845%
Gurley,0.170358%
Greaves,0.170358%
Gumbs,0.170358%
Gordon,0.170358%
Foster,0.170358%
Hazelwood,0.170358%
Duncan,0.170358%
Sam,0.154871%
Scott,0.154871%
Hazell,0.154871%
Henry,0.154871%
Hadaway,0.154871%
Mofford,0.154871%
Mayers,0.154871%
Cato,0.154871%
Cruickshank,0.154871%
Catholic,0.154871%
Veira,0.154871%
Kydd,0.154871%
Woods,0.154871%
Regis,0.139384%
Sargeant,0.139384%
Fraser,0.139384%
Morris,0.139384%
Campbell,0.139384%
Caine,0.139384%
Doyle,0.139384%
Bradshaw,0.139384%
Layne,0.139384%
Lynch,0.139384%
Prescott,0.139384%
Pompey,0.139384%
Wyllie,0.139384%
Guy,0.123897%
Graham,0.123897%
Tyril,0.123897%
Snagg,0.123897%
Small,0.123897%
Simon,0.123897%
Sandy,0.123897%
Ferdinand,0.123897%
Forde,0.123897%
Hendrickson,0.123897%
Hutchinson,0.123897%
Minors,0.123897%
Delpesche,0.123897%
Quow,0.123897%
Evans,0.123897%
Burke,0.123897%
Bacchus,0.123897%
Butler,0.123897%
Lee,0.123897%
Prince,0.123897%
Primus,0.123897%
Weekes,0.123897%
Inniss,0.108409%
Foyle,0.108409%
Fergus,0.108409%
Francois,0.108409%
Hannaway,0.108409%
Horne,0.108409%
Holder,0.108409%
Hinds,0.108409%
Murray,0.108409%
Medford,0.108409%
Chambers,0.108409%
Cozier,0.108409%
Castello,0.108409%
Collins,0.108409%
Cambridge,0.108409%
Collis,0.108409%
Crichton,0.108409%
Quammie,0.108409%
Bascombe,0.108409%
Brackin,0.108409%
Knights,0.108409%
Lawrence,0.108409%
Palmer,0.108409%
Warren,0.108409%
Nichols,0.092922%
Noel,0.092922%
Nero,0.092922%
Gellizeau,0.092922%
Trade,0.092922%
Thompson,0.092922%
Tucker,0.092922%
Anderson,0.092922%
Oliver,0.092922%
Howard,0.092922%
Haywood,0.092922%
Hull,0.092922%
Martin,0.092922%
Marshall,0.092922%
Jardine,0.092922%
Creese,0.092922%
Cummings,0.092922%
Cupid,0.092922%
Dublin,0.092922%
Ellis,0.092922%
Bobb,0.092922%
Llewellyn,0.092922%
Peniston,0.092922%
Patrick,0.092922%
Walker,0.092922%
Walters,0.092922%
Rogers,0.077435%
Ralph,0.077435%
Nelson,0.077435%
Gregg,0.077435%
Greene,0.077435%
Gooding,0.077435%
Gabriel,0.077435%
Garrick,0.077435%
Telesford,0.077435%
Telemaque,0.077435%
Springer,0.077435%
Seales,0.077435%
Sealey,0.077435%
Arrindell,0.077435%
Findlay,0.077435%
Hazlewood,0.077435%
Hunte,0.077435%
Matthias,0.077435%
Murphy,0.077435%
May,0.077435%
Marks,0.077435%
Joshua,0.077435%
Jordon,0.077435%
Compton,0.077435%
Cumberbatch,0.077435%
Cox,0.077435%
Davy,0.077435%
Dopwell,0.077435%
Durham,0.077435%
Deroche,0.077435%
Burgin,0.077435%
Barbour,0.077435%
Bonadie,0.077435%
Laborde,0.077435%
Lavia,0.077435%
Pope,0.077435%
Wickham,0.077435%
Wallace,0.077435%
Russell,0.061948%
Rose,0.061948%
Nicholls,0.061948%
Nash,0.061948%
Glynn,0.061948%
Goodluck,0.061948%
Gunsam,0.061948%
Gould,0.061948%
Toby,0.061948%
Theobalds,0.061948%
Tannis,0.061948%
Taylor,0.061948%
Soleyn,0.061948%
Stephens,0.061948%
Seaton,0.061948%
Sayers,0.061948%
Sahadeo,0.061948%
Akcayli,0.061948%
Ambrose,0.061948%
Farrell,0.061948%
Fairbain,0.061948%
Fairbairn,0.061948%
Ferrari,0.061948%
Forbes,0.061948%
France,0.061948%
