LastName,Percentage
Gonzalez,1.851598%
Rodriguez,1.796736%
Hernandez,1.322178%
Garcia,1.220683%
Perez,1.201481%
Martinez,1.028665%
Jose,0.896996%
Sanchez,0.864079%
Lopez,0.770813%
Rojas,0.759841%
Diaz,0.754355%
Ramirez,0.606227%
Gomez,0.603484%
Juan,0.573310%
Ca,0.570566%
Rivas,0.504732%
Alvarez,0.501989%
Gutierrez,0.485530%
Fernandez,0.480044%
Romero,0.474558%
Silva,0.458099%
Castillo,0.444383%
Ruiz,0.441640%
Medina,0.436154%
Luis,0.436154%
Torres,0.425182%
Mendoza,0.425182%
Ramos,0.414209%
Salazar,0.367576%
Moreno,0.359347%
Leon,0.348375%
Carlos,0.345632%
Flores,0.342888%
Reyes,0.331916%
Zambrano,0.329173%
Marquez,0.329173%
Mendez,0.329173%
Jimenez,0.329173%
Castro,0.329173%
Suarez,0.326430%
Quintero,0.326430%
Acosta,0.318201%
Maria,0.318201%
Gil,0.312714%
Delgado,0.298999%
Velasquez,0.293513%
Morales,0.290769%
Marcano,0.288026%
Parra,0.285283%
Blanco,0.282540%
Herrera,0.279797%
Vargas,0.266081%
Vasquez,0.252366%
Rivero,0.238650%
Barrios,0.235907%
Molina,0.233164%
Tovar,0.230421%
Colmenares,0.224935%
Guevara,0.222192%
Alvarado,0.222192%
Ortega,0.219449%
Jesus,0.208476%
Rincon,0.200247%
Guerrero,0.197504%
Cabrera,0.192018%
Chacon,0.186531%
Campos,0.183788%
Pinto,0.181045%
Navarro,0.175559%
Nunez,0.175559%
Rangel,0.172816%
Carrillo,0.172816%
Pena,0.172816%
Ferrer,0.170073%
Ortiz,0.170073%
Dominguez,0.167330%
Fuentes,0.164586%
Marin,0.164586%
Montilla,0.164586%
Duran,0.164586%
Avila,0.159100%
Ochoa,0.159100%
Urdaneta,0.156357%
Arias,0.156357%
Rondon,0.153614%
Abreu,0.153614%
Espinoza,0.153614%
Pacheco,0.153614%
Araujo,0.150871%
Lugo,0.150871%
Rios,0.148128%
Barreto,0.148128%
Guzman,0.145385%
Mata,0.145385%
Camacho,0.145385%
Guerra,0.142642%
Manuel,0.142642%
