LastName,Percentage
Smith,4.271143%
Williams,1.954951%
George,1.848704%
Thomas,1.657459%
Ltd,1.614960%
Hodge,1.083723%
Maduro,0.934977%
Donovan,0.722482%
Stoutt,0.658734%
Penn,0.616235%
Potter,0.573736%
Inc,0.531237%
Malone,0.509987%
Callwood,0.509987%
Harrigan,0.467488%
Lettsome,0.467488%
Turnbull,0.446239%
Social,0.424989%
Fund,0.424989%
Dawson,0.424989%
James,0.403740%
Wheatley,0.403740%
Fahie,0.382490%
Vanterpool,0.382490%
Frett,0.361241%
Jones,0.361241%
Pickering,0.361241%
Parsons,0.361241%
Rhymer,0.339992%
Romney,0.339992%
Nibbs,0.339992%
Samuel,0.339992%
Morgan,0.339992%
Richards,0.318742%
Green,0.297493%
Leonard,0.297493%
Master,0.276243%
Georges,0.254994%
Cline,0.254994%
Lewis,0.254994%
Wong,0.254994%
Scatliffe,0.233744%
Maynard,0.233744%
Jackson,0.233744%
Cameron,0.233744%
Fraser,0.212495%
Henry,0.212495%
Martin,0.212495%
Chalwell,0.212495%
Capital,0.212495%
Brewley,0.212495%
Rymer,0.191245%
Todman,0.191245%
Tech,0.191245%
Funds,0.191245%
Freeman,0.191245%
Mathavious,0.191245%
Clarke,0.191245%
Pruemmer,0.191245%
Taylor,0.169996%
Shields,0.169996%
Shamir,0.169996%
Francis,0.169996%
Fire,0.169996%
Forbes,0.169996%
Haladjian,0.169996%
Henley,0.169996%
Morrell,0.169996%
Mills,0.169996%
John,0.169996%
Evans,0.169996%
Pettigrew,0.169996%
Price,0.169996%
Wilson,0.169996%
Glasgow,0.148746%
Global,0.148746%
Thompson,0.148746%
Stevens,0.148746%
O-neal,0.148746%
Morris,0.148746%
Mercer,0.148746%
Mckay,0.148746%
Jennings,0.148746%
Joseph,0.148746%
Chambers,0.148746%
Creque,0.148746%
Cooper,0.148746%
Christopher,0.148746%
Daniel,0.148746%
Department,0.148746%
Director,0.148746%
De,0.148746%
Phillips,0.148746%
Prince,0.148746%
Robinson,0.127497%
Nilsen,0.127497%
Tarabay,0.127497%
Samuels,0.127497%
Shaindlin,0.127497%
Skelton,0.127497%
Shih,0.127497%
Smiths,0.127497%
Herbert,0.127497%
Media,0.127497%
Jarecki,0.127497%
Clyne,0.127497%
Browne,0.127497%
Barry,0.127497%
Bredikhin,0.127497%
Legislative,0.127497%
Lee,0.127497%
Young,0.127497%
Parker,0.127497%
Perry,0.127497%
Weissenberg,0.127497%
Wells,0.127497%
Wang,0.127497%
Reid,0.106247%
Roberts,0.106247%
Rogers,0.106247%
Gordon,0.106247%
Trading,0.106247%
Starkey,0.106247%
Stephen,0.106247%
St,0.106247%
Armstrong,0.106247%
Fenty,0.106247%
Ouyang,0.106247%
Molyneaux,0.106247%
Manager,0.106247%
Mitchell,0.106247%
Marshall,0.106247%
Matthews,0.106247%
Japson,0.106247%
Campbell,0.106247%
Chervinski,0.106247%
Corrick,0.106247%
Christo,0.106247%
Charles,0.106247%
Dagan,0.106247%
Edwards,0.106247%
Blyden,0.106247%
Bell,0.106247%
Burns,0.106247%
Kurt,0.106247%
King,0.106247%
Lam,0.106247%
Paul,0.106247%
Peters,0.106247%
Percival,0.106247%
Poole,0.106247%
Wright,0.106247%
Warner,0.106247%
Robertson,0.084998%
Richardson,0.084998%
Rabsatt,0.084998%
Rosenbaum,0.084998%
Rubaine,0.084998%
Island,0.084998%
Iosif,0.084998%
Iliadis,0.084998%
Industrious,0.084998%
Nygren,0.084998%
Nguyen,0.084998%
Nadiienko,0.084998%
Nabers,0.084998%
Greenwood,0.084998%
Grant,0.084998%
General,0.084998%
Gumbs,0.084998%
Town,0.084998%
The,0.084998%
Total,0.084998%
Tenorio,0.084998%
Tziortzis,0.084998%
Solomon,0.084998%
Soares,0.084998%
Segura,0.084998%
Stewart,0.084998%
Shyrynian,0.084998%
Singh,0.084998%
Scott,0.084998%
Seaberg,0.084998%
Stylianou,0.084998%
Sims,0.084998%
Silva,0.084998%
Alcindor,0.084998%
Frazer,0.084998%
Office,0.084998%
Henderson,0.084998%
Hovel,0.084998%
Hillyer,0.084998%
Harbor,0.084998%
Matthias,0.084998%
Matthew,0.084998%
Murzin,0.084998%
Macaire,0.084998%
Miller,0.084998%
Merrick,0.084998%
Marine,0.084998%
Jeffers,0.084998%
Joson,0.084998%
Carson,0.084998%
Christofi,0.084998%
Center,0.084998%
Cohen,0.084998%
Chapman,0.084998%
Claudia,0.084998%
Directors,0.084998%
Didenko,0.084998%
Bartfield,0.084998%
Buckner,0.084998%
Barnes,0.084998%
Best,0.084998%
Brown,0.084998%
Kennedy,0.084998%
Kavanagh,0.084998%
Korzh,0.084998%
Liburd,0.084998%
Lyons,0.084998%
Lemmon,0.084998%
Lui,0.084998%
Lounges,0.084998%
Llc,0.084998%
Paradisi,0.084998%
Powell,0.084998%
Wettengel,0.084998%
Ward,0.084998%
World,0.084998%
Ravinia,0.063748%
Rodionov,0.063748%
Rossi,0.063748%
Rebecca,0.063748%
Riecker,0.063748%
Russ,0.063748%
Rap,0.063748%
Invest,0.063748%
Isaac,0.063748%
Illad,0.063748%
Ivanov,0.063748%
Nichols,0.063748%
Ganesan,0.063748%
Guana,0.063748%
Greene,0.063748%
Gillespie,0.063748%
Garcia,0.063748%
Grove,0.063748%
Guevara,0.063748%
Zakharov,0.063748%
Tigane,0.063748%
Treggia,0.063748%
Tonge,0.063748%
Tchelidze,0.063748%
Titley,0.063748%
Tsai,0.063748%
Tobin,0.063748%
Sayuri,0.063748%
Stapleton,0.063748%
Stanislaw,0.063748%
Sharpe,0.063748%
Sebastian,0.063748%
Schuster,0.063748%
Sofia,0.063748%
Springette,0.063748%
Sandy,0.063748%
Sexton,0.063748%
Sterling,0.063748%
Simpson,0.063748%
Allen,0.063748%
Flax,0.063748%
Friedman,0.063748%
Faulkner,0.063748%
Farrington,0.063748%
One,0.063748%
Osborne,0.063748%
Offord,0.063748%
Harris,0.063748%
Howell,0.063748%
Mc,0.063748%
Massac,0.063748%
Mactavious,0.063748%
Masa,0.063748%
Muir,0.063748%
Mnagement,0.063748%
Marthinsen,0.063748%
Mcsheene,0.063748%
Joahna,0.063748%
Johnson,0.063748%
Jabre,0.063748%
Jardine,0.063748%
Jacobs,0.063748%
Crabbe,0.063748%
Chichester,0.063748%
Chan,0.063748%
Co,0.063748%
Collins,0.063748%
Crippen,0.063748%
Chia,0.063748%
Cassata,0.063748%
Cook,0.063748%
Clifton,0.063748%
Durante,0.063748%
Dougall,0.063748%
Dart,0.063748%
Victor,0.063748%
Virgin,0.063748%
Venulum,0.063748%
Vastfalt,0.063748%
Qwomar,0.063748%
Ellis,0.063748%
Bobb,0.063748%
Bawlz,0.063748%
Bloxham,0.063748%
Bertrand,0.063748%
Blok,0.063748%
Blair,0.063748%
Brewster,0.063748%
Britz,0.063748%
Boyd,0.063748%
Benjamin,0.063748%
Bvi,0.063748%
Butler,0.063748%
Brathwaite,0.063748%
Klinkert,0.063748%
Kroon,0.063748%
Kustov,0.063748%
Kumskova,0.063748%
Koval,0.063748%
Little,0.063748%
Lau,0.063748%
Lake,0.063748%
Light,0.063748%
Lf,0.063748%
Pamela,0.063748%
Pope,0.063748%
Peter,0.063748%
Pierre,0.063748%
Willock,0.063748%
Wei,0.063748%
Western,0.063748%
Walker,0.063748%
Winter,0.063748%
Walters,0.063748%
Woods,0.063748%
Whois,0.063748%
Wagner,0.063748%
Riegels,0.042499%
Rodrigues,0.042499%
Rock,0.042499%
Regents,0.042499%
Reichenstein,0.042499%
Rusher,0.042499%
Ryan,0.042499%
Registrations,0.042499%
Reut,0.042499%
Rice,0.042499%
Rowe,0.042499%
Restell,0.042499%
Rodriguez,0.042499%
Rae,0.042499%
Rozenbergs,0.042499%
Russell,0.042499%
Ronan,0.042499%
Roy,0.042499%
Regukh,0.042499%
Rotem,0.042499%
Rabinowitz,0.042499%
Rawlins,0.042499%
Ragnauth,0.042499%
Rivlin,0.042499%
Upper,0.042499%
Uniform,0.042499%
Ict,0.042499%
Intl,0.042499%
Ismael,0.042499%
Ioanna,0.042499%
Ivanova,0.042499%
Nemours,0.042499%
Nisbett,0.042499%
Newhaven,0.042499%
Neagoe,0.042499%
Nicholas,0.042499%
Goschler,0.042499%
Guavaberry,0.042499%
Gerker,0.042499%
Greenberg,0.042499%
Guishard,0.042499%
Gomes,0.042499%
Gunter,0.042499%
Gofman,0.042499%
Gray,0.042499%
Gan,0.042499%
Graebner,0.042499%
Gurney,0.042499%
Griffin,0.042499%
Zhang,0.042499%
Zevnik,0.042499%
Zwaan,0.042499%
Tanaka,0.042499%
Tyler,0.042499%
Torg,0.042499%
Titley-smith,0.042499%
Tola,0.042499%
Trade,0.042499%
Toledano,0.042499%
Tucker,0.042499%
Trimarine,0.042499%
Toney,0.042499%
Tarn,0.042499%
Tamarind,0.042499%
Stroh,0.042499%
Sandiford,0.042499%
Stout,0.042499%
Szillat,0.042499%
Sutton,0.042499%
Severin,0.042499%
Serenity,0.042499%
Simmons,0.042499%
Sobakarov,0.042499%
Sanchez,0.042499%
Schvartsman,0.042499%
Sa,0.042499%
Surfsong,0.042499%
Springston,0.042499%
Soucie,0.042499%
Shore,0.042499%
Spalburg,0.042499%
Shallow,0.042499%
Simon,0.042499%
Snell,0.042499%
Safecharge,0.042499%
Schultze,0.042499%
Segalini,0.042499%
Stafford,0.042499%
Straus,0.042499%
Sykes,0.042499%
Spencer,0.042499%
Soboutipour,0.042499%
Superior,0.042499%
Schatz,0.042499%
Saunders,0.042499%
Shmidt,0.042499%
Skeete,0.042499%
Sorrentino,0.042499%
Shender,0.042499%
Seeman,0.042499%
Sergeant,0.042499%
Sutter,0.042499%
Sclafani,0.042499%
Something,0.042499%
Scurci,0.042499%
Savchenkov,0.042499%
Soncini,0.042499%
Alcindore,0.042499%
Alexandrou,0.042499%
Ashraf,0.042499%
Anton,0.042499%
Allan,0.042499%
Alpha,0.042499%
Azizov,0.042499%
Artem,0.042499%
Ally,0.042499%
Fawcett,0.042499%
Fliss,0.042499%
Filmer,0.042499%
Fraites,0.042499%
Fonseca,0.042499%
Fergus,0.042499%
Francois,0.042499%
Fisk,0.042499%
Fritton,0.042499%
Firewall,0.042499%
Fenney,0.042499%
Fesenko,0.042499%
Fabrega,0.042499%
Findlay,0.042499%
Fort,0.042499%
Foscue,0.042499%
Fuller,0.042499%
Feldman,0.042499%
Optustrade,0.042499%
Owens,0.042499%
Ocean,0.042499%
Oliver,0.042499%
Ogorzaly,0.042499%
Hans,0.042499%
Howe,0.042499%
Harry,0.042499%
Hammer,0.042499%
Hempel,0.042499%
Hopkins,0.042499%
Haycraft,0.042499%
Huntums,0.042499%
Hughes,0.042499%
Hnatovskyi,0.042499%
Huggins,0.042499%
Hastings,0.042499%
Harrichand,0.042499%
Halff,0.042499%
Hubb,0.042499%
Hart,0.042499%
Harmann,0.042499%
Hodeige,0.042499%
Hall,0.042499%
Hafiiak,0.042499%
Hazel,0.042499%
Hewlett,0.042499%
Haddock,0.042499%
Hatchett,0.042499%
Hagenson,0.042499%
Hasegawa,0.042499%
Huffman,0.042499%
Hutchison,0.042499%
Macshane,0.042499%
Marsh,0.042499%
Mcananey,0.042499%
Mornix,0.042499%
Mwe,0.042499%
Magriso,0.042499%
Maccallum,0.042499%
Meyers,0.042499%
Mertens,0.042499%
Merry,0.042499%
Mango,0.042499%
Mak,0.042499%
More,0.042499%
Magnusson,0.042499%
Moore,0.042499%
Mason,0.042499%
Magnan,0.042499%
Moninski,0.042499%
Michael,0.042499%
Moriyama,0.042499%
Manning,0.042499%
Mccall,0.042499%
Mone,0.042499%
Mcdonald,0.042499%
Marques,0.042499%
Mariaca,0.042499%
Jarett,0.042499%
Jex,0.042499%
Juhen,0.042499%
Johnston,0.042499%
Jeremiah,0.042499%
Jeremy,0.042499%
Cleland,0.042499%
Casey,0.042499%
Collazo,0.042499%
Cornwall,0.042499%
Casimir,0.042499%
Chamok,0.042499%
Cass,0.042499%
Carlson,0.042499%
Chen,0.042499%
Cibernatico,0.042499%
Crawford,0.042499%
Chung,0.042499%
Calabria,0.042499%
Campesi,0.042499%
Carl,0.042499%
Christie,0.042499%
Clapton,0.042499%
Customer,0.042499%
Chao,0.042499%
Corea,0.042499%
Clausen,0.042499%
Dzyuba,0.042499%
Domain,0.042499%
Driver,0.042499%
Dippenaar,0.042499%
Diaz,0.042499%
Donov,0.042499%
Datu,0.042499%
Dneshmic-general,0.042499%
Demmings,0.042499%
Delville,0.042499%
Dyro,0.042499%
Dunne,0.042499%
Deloitte,0.042499%
Dobson,0.042499%
Douglas,0.042499%
Dubois,0.042499%
Durrant,0.042499%
Duffy,0.042499%
Doyle,0.042499%
Dwan,0.042499%
Daylerov,0.042499%
Davies,0.042499%
Domains,0.042499%
Vigilante,0.042499%
Value,0.042499%
Valrose,0.042499%
Vernon,0.042499%
Questelles,0.042499%
Quach,0.042499%
Xu,0.042499%
Egor,0.042499%
Elizabeth,0.042499%
Estridge,0.042499%
Equity,0.042499%
Elkayam,0.042499%
Brooks,0.042499%
Bloch-lambert,0.042499%
Bondariev,0.042499%
Barron,0.042499%
Burmus,0.042499%
Brodie,0.042499%
Bryan,0.042499%
Buxiangshuo,0.042499%
Buckell,0.042499%
Brut,0.042499%
Buderas,0.042499%
Blaquiere,0.042499%
Behrens,0.042499%
Beck,0.042499%
Bouchnik,0.042499%
Bannis,0.042499%
Baird,0.042499%
Barbir,0.042499%
Brletic,0.042499%
Berger,0.042499%
Brader,0.042499%
Brunn,0.042499%
Burnett,0.042499%
Bowens,0.042499%
Black,0.042499%
Keegan,0.042499%
Kalachev,0.042499%
Kellman,0.042499%
Khan,0.042499%
Knight,0.042499%
Kyprianou,0.042499%
Kelly,0.042499%
