LastName,Percentage
Smith,1.041489%
Williams,0.631723%
Johnson,0.597576%
Brown,0.495134%
Jones,0.392693%
Hodge,0.358545%
Thomas,0.341472%
Thompson,0.324398%
Scott,0.290251%
Miller,0.290251%
Davis,0.290251%
Harris,0.273177%
Jackson,0.273177%
George,0.256104%
Anderson,0.256104%
Jr,0.256104%
Baker,0.256104%
Llc,0.256104%
Rodriguez,0.239030%
Lewis,0.239030%
Taylor,0.221957%
Clark,0.221957%
Young,0.221957%
Wilson,0.221957%
White,0.221957%
Alexander,0.204883%
Lee,0.204883%
Roduler,0.187809%
James,0.187809%
Roberts,0.170736%
Ii,0.170736%
Allen,0.170736%
Francis,0.170736%
Mitchell,0.170736%
Richardson,0.153662%
Singh,0.153662%
Hill,0.153662%
Moore,0.153662%
Campbell,0.153662%
Kelly,0.153662%
Walker,0.153662%
Ross,0.136589%
Robinson,0.136589%
Gonzalez,0.136589%
Garcia,0.136589%
Graham,0.136589%
Hayes,0.136589%
Murray,0.136589%
Martin,0.136589%
Morgan,0.136589%
Phillips,0.136589%
Romero,0.119515%
Inc,0.119515%
Green,0.119515%
Turner,0.119515%
Tulloch,0.119515%
Freeman,0.119515%
Howard,0.119515%
Hohenadel,0.119515%
Hernandez,0.119515%
Joseph,0.119515%
Cole,0.119515%
Cooper,0.119515%
Cook,0.119515%
Daniel,0.119515%
Perez,0.119515%
Wright,0.119515%
Robbins,0.102442%
Rogers,0.102442%
Nguyen,0.102442%
Sharma,0.102442%
Foster,0.102442%
Hall,0.102442%
Henry,0.102442%
Martinez,0.102442%
Jacobs,0.102442%
Cruz,0.102442%
Coleman,0.102442%
Cohen,0.102442%
Charles,0.102442%
David,0.102442%
Bennett,0.102442%
Bell,0.102442%
Kumar,0.102442%
Lopez,0.102442%
Ltd,0.102442%
Lane,0.102442%
Peterson,0.102442%
Reyes,0.085368%
Rhodes,0.085368%
Gray,0.085368%
Garnett,0.085368%
Gumbs,0.085368%
Stevens,0.085368%
Simmons,0.085368%
Sullivan,0.085368%
Solomon,0.085368%
Summers,0.085368%
Shah,0.085368%
Silva,0.085368%
Augustine,0.085368%
Adams,0.085368%
Alvarez,0.085368%
Fahie,0.085368%
Ortiz,0.085368%
Hughes,0.085368%
Mena,0.085368%
Man,0.085368%
Callwood,0.085368%
Daas,0.085368%
Ellis,0.085368%
Brooks,0.085368%
Byrd,0.085368%
King,0.085368%
Lu,0.085368%
Levy,0.085368%
Love,0.085368%
Patel,0.085368%
Perkins,0.085368%
Parker,0.085368%
Pierre,0.085368%
Wheatley,0.085368%
Wallace,0.085368%
Watson,0.085368%
Rivera,0.068294%
